Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16
Net Sales/Income from operations,3853.38,32.82,522.33,60.75,667.67,48.33,134.14,9.43,109.81,7.95,92.98,7.82,104.06,284.0,22.94,41.73,76.86,5.51,17.49,8.03,98.66,6.84,89.32,5.0,78.9,2.96,81.41,14.51,12.37,142.48,10.22,9.72,26.62,0.08,8.21,0.08
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,3853.38,32.82,522.33,60.75,667.67,48.33,134.14,9.43,109.81,7.95,92.98,7.82,104.06,284.0,22.94,41.73,76.86,5.51,17.49,8.03,98.66,6.84,89.32,5.0,78.9,2.96,81.41,14.51,12.37,142.48,10.22,9.72,26.62,0.08,8.21,0.08
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,273.48,6.16,8.34,6.97,8.68,7.72,7.24,7.02,7.69,6.7,6.51,4.96,5.04,4.9,5.48,5.06,5.81,4.62,5.3,6.25,2.1,5.11,3.53,11.29,4.39,6.96,7.2,8.5,6.93,10.07,3.1,2.18,10.54,5.96,6.15,1.8
Depreciation,35.58,0.21,0.2,0.19,0.18,0.2,0.17,0.21,0.19,0.2,0.22,0.2,0.21,0.22,0.22,0.24,0.35,0.31,0.27,0.42,0.26,0.34,0.35,0.33,0.21,0.22,0.23,0.21,0.15,0.09,0.19,0.06,-0.01,0.08,0.04,0.03
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,352.4,--,--,-0.03,-0.13,0.16,--,-0.02,-0.29,-0.21,0.04,-0.14,0.3,0.07,0.17,-0.31,0.33,-0.15,0.14,0.02,-0.42,0.06,0.35,-0.04,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,259.44,6.38,16.85,7.06,19.06,6.77,6.1,1.9,5.18,2.08,2.15,2.76,6.55,2.28,2.67,1.79,4.79,3.91,1.51,2.46,11.4,9.85,11.9,11.03,10.98,13.62,9.96,8.8,17.44,43.65,2.64,1.9,3.62,0.67,0.77,0.6
"P/L Before Other Inc. , Int., Excpt. Items & Tax",2932.48,20.07,496.94,46.56,639.88,33.48,120.63,0.32,97.04,-0.82,84.06,0.04,91.96,276.53,14.4,34.95,65.58,-3.18,10.27,-1.12,85.32,-8.52,73.19,-17.61,63.32,-17.84,64.02,-3.0,-12.15,88.67,4.29,5.58,12.47,-6.63,1.25,-2.35
Other Income,25.54,0.26,1.99,0.26,0.27,0.26,0.25,0.39,1.59,1.68,0.53,0.16,0.3,0.64,0.18,0.25,0.13,0.14,0.17,0.44,0.88,0.2,0.16,0.22,0.19,0.42,0.06,0.04,0.46,--,--,--,--,0.01,0.02,--
"P/L Before Int., Excpt. Items & Tax",2958.02,20.33,498.93,46.82,640.15,33.74,120.88,0.71,98.63,0.86,84.59,0.2,92.26,277.17,14.58,35.2,65.71,-3.04,10.44,-0.68,86.2,-8.32,73.35,-17.39,63.51,-17.42,64.08,-2.96,-11.69,88.67,4.29,5.58,12.47,-6.62,1.27,-2.35
Interest,2079.37,0.03,0.04,0.03,0.04,0.03,0.05,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.03,0.03,0.04,5.5,14.13,28.35,29.04,26.67,29.44,17.93,14.49,6.86,4.14,5.93,8.45,0.53,--,--,--
P/L Before Exceptional Items & Tax,878.65,20.3,498.89,46.79,640.11,33.71,120.83,0.69,98.61,0.84,84.57,0.18,92.24,277.14,14.55,35.17,65.67,-3.07,10.41,-0.72,80.7,-22.45,45.0,-46.43,36.84,-46.86,46.15,-17.45,-18.55,84.53,-1.64,-2.87,11.94,-6.62,1.27,-2.35
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-29.17,--,--,--,-30.32,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,878.65,20.3,498.89,46.79,640.11,33.71,120.83,0.69,98.61,0.84,84.57,0.18,92.24,277.14,14.55,35.17,65.67,-3.07,10.41,-0.72,51.53,-22.45,45.0,-46.43,6.52,-46.86,46.15,-17.45,-18.55,84.53,-1.64,-2.87,11.94,-6.62,1.27,-2.35
Tax,225.03,6.79,95.89,9.08,42.99,8.13,29.77,0.17,21.72,1.69,21.03,-1.53,24.68,37.28,3.72,8.68,3.27,-0.19,-3.82,--,--,--,-2.2,--,--,-1.81,-0.23,--,--,--,--,--,--,--,--,--
P/L After Tax from Ordinary Activities,653.62,13.51,403.0,37.71,597.12,25.58,91.06,0.52,76.89,-0.85,63.54,1.71,67.56,239.86,10.83,26.49,62.4,-2.88,14.23,-0.72,51.53,-22.45,47.2,-46.43,6.52,-45.05,46.38,-17.45,-18.55,84.53,-1.64,-2.87,11.94,-6.62,1.27,-2.35
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,653.62,13.51,403.0,37.71,597.12,25.58,91.06,0.52,76.89,-0.85,63.54,1.71,67.56,239.86,10.83,26.49,62.4,-2.88,14.23,-0.72,51.53,-22.45,47.2,-46.43,6.52,-45.05,46.38,-17.45,-18.55,84.53,-1.64,-2.87,11.94,-6.62,1.27,-2.35
