Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,128.89,128.89,0.0,3.58,2.52,56.52,66.27,4.31,70.58,4.1,66.47,0.0,66.47,16.25,50.23,-0.59,-0.15,49.49,59.02,1.68,1.68,11.19,37.84,18.34,100.0,62.16
2012-12-31,172.93,172.93,0.0,4.13,2.55,95.91,70.34,3.97,74.31,4.05,70.26,-0.02,70.24,16.99,53.26,0.0,-0.15,53.11,59.02,1.8,1.8,11.17,37.84,18.34,100.0,62.16
2013-03-31,127.25,127.25,0.0,4.19,2.75,162.42,-42.11,3.51,-38.6,3.84,-42.44,-0.34,-42.78,-7.55,-35.23,0.0,0.07,-35.16,59.02,-1.19,-1.19,11.16,37.81,18.35,100.0,62.19
2013-06-30,59.74,59.74,0.0,3.73,2.61,34.45,18.95,3.1,22.05,3.29,18.76,0.13,18.89,4.73,14.16,0.0,0.04,14.2,59.02,0.48,0.48,11.16,37.81,18.35,100.0,62.19
2013-09-30,92.65,92.65,0.0,4.09,2.78,51.66,34.13,3.19,37.32,4.57,32.75,0.38,33.13,7.88,25.25,0.0,-0.01,25.23,59.02,0.86,0.86,10.86,36.79,18.65,100.0,63.21
2013-12-31,146.19,146.19,0.0,4.22,2.93,110.98,28.06,2.6,30.66,4.22,26.44,1.64,28.08,5.75,22.33,0.0,-0.63,21.7,59.02,0.74,0.74,10.77,36.56,18.72,100.0,63.44
2014-03-31,139.78,139.78,0.0,4.23,2.99,96.81,35.75,1.75,37.5,6.86,30.65,-2.15,28.5,2.92,25.58,1.61,0.0,27.2,59.02,0.92,0.92,10.79,36.56,18.72,100.0,63.44
2014-06-30,56.03,56.03,0.0,3.56,4.76,33.1,14.61,0.67,15.28,4.48,10.8,0.0,10.8,2.06,8.74,0.0,0.0,8.73,59.01,0.3,0.3,10.79,36.56,18.72,100.0,63.44
2014-09-30,188.77,188.77,0.0,4.11,5.1,24.61,154.96,0.98,155.93,27.77,128.16,0.0,128.16,27.09,101.07,-0.05,0.0,101.02,59.02,3.42,3.42,10.79,36.56,18.72,100.0,63.44
2014-12-31,66.01,66.01,0.0,3.47,6.36,36.39,19.79,0.49,20.28,6.52,13.76,0.0,13.76,2.45,11.31,0.0,-0.01,11.29,59.02,0.38,0.38,10.79,36.56,18.72,100.0,63.44
2015-03-31,119.67,119.67,0.0,3.9,5.24,100.33,10.2,1.41,11.61,10.36,1.25,1.94,3.19,-0.73,3.92,0.0,0.06,3.98,59.02,0.13,0.13,10.79,36.56,18.72,100.0,63.44
2015-06-30,74.1,74.1,0.0,3.21,4.75,46.99,19.15,0.83,19.98,7.52,12.46,-0.23,12.23,2.18,10.05,0.0,-0.01,10.04,59.02,0.34,0.34,10.79,36.56,18.72,100.0,63.44
2015-09-30,124.34,124.34,73.96,3.77,4.83,8.88,32.9,0.8,33.7,7.47,26.23,0.0,26.23,5.2,21.03,0.0,-0.01,21.02,59.02,0.71,0.71,10.79,36.56,18.72,100.0,63.44
2015-12-31,102.57,102.57,0.0,4.05,5.24,68.12,25.16,0.87,26.03,8.63,17.4,0.02,17.42,4.84,12.58,2.39,0.0,14.97,59.02,0.51,0.51,0.0,0.0,0.0,0.0,0.0
2016-03-31,107.19,107.19,0.0,4.43,5.15,93.17,4.44,22.37,26.81,10.15,16.66,-2.63,14.03,7.06,6.97,2.62,0.02,9.61,59.02,0.33,0.33,0.0,0.0,0.0,0.0,0.0
2016-06-30,73.62,73.62,0.0,3.43,4.89,42.96,22.34,4.5,26.84,11.41,15.43,0.0,15.43,3.1,12.33,0.0,0.0,12.33,59.02,0.42,0.42,0.0,0.0,0.0,0.0,0.0
2016-09-30,102.96,102.96,0.0,3.67,4.87,70.13,24.29,6.98,31.27,9.79,21.48,0.0,21.48,8.24,13.24,0.0,0.0,13.24,59.02,0.45,0.45,0.0,0.0,0.0,0.0,0.0
2016-12-31,126.55,126.55,0.0,3.82,4.92,85.15,32.66,5.48,38.14,10.53,27.61,0.0,27.61,9.45,18.16,0.0,0.0,18.16,59.02,0.62,0.62,0.0,0.0,0.0,0.0,0.0
2017-03-31,126.19,126.19,85.53,4.63,5.4,9.18,21.45,3.11,24.56,11.59,12.97,0.0,12.97,-3.54,16.51,0.0,0.0,16.51,59.02,0.57,0.57,0.0,0.0,0.0,0.0,0.0
2017-06-30,92.72,92.72,57.62,3.72,4.06,7.38,19.94,5.59,25.53,9.98,15.55,0.0,15.55,5.89,9.66,0.0,0.0,9.66,59.02,0.33,0.33,0.0,0.0,0.0,0.0,0.0
2017-09-30,103.81,103.81,65.99,3.74,4.71,8.53,20.84,0.64,21.48,9.08,12.4,0.0,12.4,3.98,8.42,0.0,0.0,8.42,59.02,0.29,0.29,0.0,0.0,0.0,0.0,0.0
2017-12-31,111.71,111.71,0.0,4.19,5.3,78.13,24.09,0.9,24.99,7.57,17.42,0.0,17.42,4.98,12.44,0.0,0.0,12.44,59.02,0.42,0.42,0.0,0.0,0.0,0.0,0.0
2018-03-31,131.41,131.41,0.0,5.49,4.89,108.39,12.64,9.19,21.83,6.28,15.55,0.0,15.55,3.21,12.34,0.0,0.0,12.34,59.02,0.42,0.42,0.0,0.0,0.0,0.0,0.0
2018-06-30,86.19,86.19,0.0,3.68,4.51,70.45,7.55,3.86,11.41,6.39,5.02,0.0,5.02,1.91,3.11,0.0,0.0,3.11,59.02,0.11,0.11,0.0,0.0,0.0,0.0,0.0
2018-12-31,130.81,130.81,0.0,4.02,4.79,98.59,23.41,1.94,25.35,7.98,17.37,0.0,17.37,2.78,14.59,0.0,0.0,14.59,59.02,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2019-03-31,145.62,145.62,0.0,3.81,4.7,103.41,33.7,1.39,35.09,8.4,26.69,0.0,26.69,5.79,20.9,0.0,0.0,20.9,59.02,0.69,0.69,0.0,0.0,0.0,0.0,0.0
2019-06-30,86.34,86.34,0.0,3.8,4.41,65.44,12.69,0.67,13.36,7.29,6.07,0.0,6.07,2.25,3.82,0.0,0.0,3.82,59.02,0.13,0.13,0.0,0.0,0.0,0.0,0.0
2019-09-30,84.15,84.15,52.36,4.16,4.47,9.47,13.69,1.18,14.87,8.58,6.29,0.0,6.29,2.25,4.04,0.0,0.0,4.04,59.02,0.14,0.14,0.0,0.0,0.0,0.0,0.0
2019-12-31,265.06,265.06,220.37,5.38,4.5,8.19,26.62,4.06,30.68,10.24,20.44,0.0,20.44,3.54,16.9,0.0,0.0,16.9,59.02,0.57,0.57,0.0,0.0,0.0,0.0,0.0
2020-03-31,81.71,81.71,0.0,3.52,4.0,57.28,16.91,4.19,21.1,3.85,17.25,0.0,17.25,6.71,10.54,0.0,0.0,10.54,59.02,0.36,0.36,0.0,0.0,0.0,0.0,0.0
2020-06-30,18.52,18.52,0.0,2.34,3.72,18.72,-6.26,4.62,-1.64,5.56,-7.2,0.0,-7.2,2.03,-9.23,0.0,0.0,-9.23,59.02,-0.31,-0.31,0.0,0.0,0.0,0.0,0.0
2020-09-30,39.81,39.81,0.0,2.53,3.75,29.19,4.34,5.37,9.71,6.0,3.71,0.0,3.71,0.85,2.86,0.0,0.0,2.86,59.02,0.1,0.1,0.0,0.0,0.0,0.0,0.0
2020-12-31,87.04,87.04,53.91,2.77,3.76,4.61,21.99,4.05,26.04,6.98,19.06,0.0,19.06,6.08,12.98,0.0,0.0,12.98,59.02,0.44,0.44,0.0,0.0,0.0,0.0,0.0
2021-03-31,111.11,111.11,0.0,3.66,3.88,87.93,15.64,4.99,20.63,5.89,14.74,0.0,14.74,1.23,13.51,0.0,0.0,13.51,59.02,0.46,0.46,0.0,0.0,0.0,0.0,0.0
2021-06-30,63.2,63.2,47.07,2.8,3.62,2.28,7.43,9.6,17.03,4.41,12.62,0.0,12.62,4.01,8.61,0.0,0.0,8.61,59.02,0.29,0.27,0.0,0.0,0.0,0.0,0.0
2021-09-30,80.71,80.71,57.1,2.85,3.64,4.29,12.83,6.26,19.09,5.08,14.01,0.0,14.01,2.99,11.02,0.0,0.0,11.02,59.02,0.37,0.34,0.0,0.0,0.0,0.0,0.0
2021-12-31,95.01,95.01,65.22,2.71,3.63,4.99,18.46,6.07,24.53,4.26,20.27,0.0,20.27,8.52,11.75,0.0,0.0,11.75,59.02,0.4,0.36,0.0,0.0,0.0,0.0,0.0
2022-03-31,114.16,114.16,94.11,3.64,3.67,9.99,2.75,26.77,29.52,7.08,22.44,0.0,22.44,-2.07,24.51,0.0,0.0,24.51,59.02,0.84,0.76,0.0,0.0,0.0,0.0,0.0
2022-06-30,142.74,142.74,102.19,2.94,3.45,7.21,26.95,8.04,34.99,7.02,27.97,0.0,27.97,6.88,21.09,0.0,0.0,21.09,59.02,0.71,0.65,0.0,0.0,0.0,0.0,0.0
2022-09-30,173.35,173.35,130.76,3.43,3.56,7.1,28.5,12.37,40.87,4.14,36.73,0.0,36.73,11.06,25.67,0.0,0.0,25.67,64.82,0.79,0.84,0.0,0.0,0.0,0.0,0.0
