Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Intangible Assets Under Development,Current Investments,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Borrowings,Deferred Tax Liabilities [Net],Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Expenditure In Foreign Currency
2013-03-31,115.0,115.0,936.18,936.18,1051.18,46.94,62.73,109.68,0.0,286.37,5679.15,124.23,6089.75,7250.61,267.33,9.23,63.27,0.0,346.09,0.54,27.0,13.39,45.65,432.65,1001.33,275.45,3962.26,1447.98,130.94,6817.96,7250.61,345.58,0.0,0.54,6.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,115.0,115.0,1160.96,1160.96,1275.96,44.99,0.0,44.99,0.0,363.18,6431.45,130.12,6924.74,8245.69,342.39,17.73,63.82,0.0,430.27,0.54,1.59,11.77,43.74,487.91,1375.0,413.2,4266.54,1505.08,197.96,7757.78,8245.69,458.53,0.0,0.54,6.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,115.0,115.0,1537.67,1537.67,1652.67,1915.29,2.19,1917.48,0.0,514.08,4126.74,201.0,4841.82,8411.97,387.86,129.83,135.11,0.01,659.97,2.93,39.8,3.8,87.33,793.82,1475.67,334.79,3668.92,2.45,2136.32,7618.15,8411.97,815.44,0.0,2.93,7.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,97.75,97.75,1702.27,1702.27,1800.02,1270.66,1.14,1271.8,0.0,1383.63,4856.83,347.4,6587.87,9659.69,553.76,139.12,125.06,0.01,819.08,2.95,104.46,3.82,89.21,1019.52,2057.66,140.18,3242.49,2.56,3197.28,8640.17,9659.69,604.2,0.0,2.95,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,122.19,122.19,2072.79,2072.79,2194.98,480.75,17.87,498.63,0.0,1529.36,3649.0,508.13,5686.5,8380.1,596.99,160.14,134.75,0.01,893.02,2.95,141.45,3.23,83.22,1123.86,2240.42,154.55,1738.01,2.89,3120.38,7256.25,8380.1,269.65,24.44,2.95,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,183.28,183.28,1773.1,1773.1,1956.38,410.0,0.0,410.0,0.0,1011.51,2587.63,632.86,4231.99,6598.37,720.16,148.21,129.84,0.01,998.22,3.69,192.56,2.94,83.28,1280.7,1925.87,528.56,356.79,2.24,2268.92,5317.67,6598.37,426.68,24.44,3.69,0.0,235.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,183.28,183.28,2085.26,2085.26,2268.55,280.75,0.0,280.75,1.82,519.46,2039.12,358.73,2919.12,5468.42,812.47,144.49,47.03,0.01,1004.0,3.72,71.77,2.99,76.44,1158.92,1664.53,587.21,371.32,2.45,1684.0,4309.5,5468.42,521.8,24.44,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,183.28,183.28,2423.55,2423.55,2606.83,763.48,0.29,763.77,2.17,345.49,1640.68,326.25,2314.58,5685.17,794.57,137.79,42.06,0.01,974.43,3.9,54.25,3.0,75.61,1111.2,856.52,338.37,663.49,2.37,2713.23,4573.98,5685.17,422.68,24.44,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,183.28,183.28,2501.47,2501.47,2684.75,726.97,29.07,756.04,0.0,742.6,1548.39,229.98,2520.97,5961.76,782.48,132.5,21.5,0.01,936.49,4.52,47.73,2.52,71.5,1062.76,1397.01,322.69,1560.95,1.97,1616.37,4899.0,5961.76,357.28,116.08,4.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,183.28,183.28,2847.28,2847.28,3030.56,907.61,44.66,952.27,0.0,553.79,1717.96,309.31,2581.06,6563.88,761.09,112.75,40.73,0.01,914.58,0.0,57.11,2.04,66.92,1040.65,1654.45,304.16,1899.53,1.84,1663.25,5523.24,6563.88,471.52,116.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
