Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Equity Share Application Money,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Non-Current Investments,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,8.87,8.87,27.68,27.68,0.0,36.55,0.0,43.88,11.33,0.0,0.0,55.22,21.72,8.54,8.3,1.31,39.87,131.64,69.27,0.0,0.97,0.0,70.24,0.0,1.99,74.51,0.0,25.68,20.07,1.24,10.15,0.0,57.13,131.64,9.2,16.63,0.0,0.0,0.21,19.26,0.19,3.65,2.59,0.83,0.0,2.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,8.87,8.87,28.77,28.77,0.0,37.65,0.0,44.15,11.64,0.0,0.0,55.78,16.93,16.58,9.55,1.65,44.7,138.13,65.71,0.0,10.06,0.0,75.78,0.0,1.4,79.45,0.0,29.06,21.15,0.67,7.79,0.0,58.68,138.13,14.67,24.57,0.0,0.0,0.29,18.29,0.0,3.65,6.47,0.83,0.0,2.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,8.87,8.87,31.12,31.12,0.0,40.0,0.0,52.25,13.0,0.0,0.0,65.25,33.11,9.18,7.53,4.8,54.61,159.86,63.68,0.0,16.4,0.0,80.08,0.0,0.98,83.32,0.0,32.67,23.32,3.53,17.01,0.0,76.54,159.86,5.86,27.42,0.0,0.0,1.58,18.07,0.0,3.65,12.92,0.82,0.0,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,8.87,18.87,37.3,37.3,0.0,56.17,0.0,40.78,15.02,0.0,0.0,55.8,41.02,16.75,11.13,6.26,75.16,187.14,76.7,0.0,4.0,0.0,80.69,0.0,0.55,83.5,0.0,44.54,34.76,1.53,22.81,0.0,103.64,187.14,3.69,8.88,0.0,0.0,1.58,24.99,0.0,3.65,10.77,0.82,0.0,2.26,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,8.87,18.87,42.66,42.66,0.0,61.53,0.0,37.12,17.26,0.0,0.0,54.38,57.14,26.7,13.18,10.74,107.77,223.68,86.59,0.0,5.61,0.0,92.2,0.0,0.14,95.29,0.0,47.94,44.3,2.01,34.14,0.0,128.39,223.68,3.71,17.31,0.0,0.0,1.36,36.49,0.0,3.65,7.84,0.82,0.0,2.26,0.69,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,10.21,10.21,52.96,52.96,0.0,63.17,0.0,48.92,19.13,0.0,0.0,68.05,63.58,42.61,10.95,10.75,127.88,259.1,102.41,0.2,7.45,0.0,110.06,0.0,0.0,113.23,0.0,72.51,37.88,4.9,30.58,0.0,145.88,259.1,4.58,40.58,0.0,0.0,2.15,38.96,0.0,3.65,4.48,0.86,0.0,2.3,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,10.21,10.21,59.42,59.42,0.0,69.63,0.0,44.9,18.61,0.0,0.0,63.51,68.68,22.29,5.92,18.66,115.54,248.67,98.26,0.23,13.53,0.0,112.02,0.0,0.0,115.76,0.0,55.62,38.98,3.33,34.99,0.0,132.92,248.67,9.71,18.1,0.0,0.0,1.97,40.73,0.08,3.65,9.58,0.89,0.0,2.33,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,10.21,10.21,66.26,66.26,0.0,76.46,0.0,54.38,15.74,0.0,3.34,73.46,55.0,21.78,18.23,4.25,99.27,249.19,97.77,0.16,21.96,1.33,121.2,6.97,8.72,139.24,0.0,51.96,47.33,1.25,9.14,0.26,109.95,249.19,8.02,24.78,3.07,0.0,1.91,40.73,0.08,3.65,14.48,0.9,0.0,2.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,10.21,10.21,78.68,78.68,0.0,88.88,0.0,52.3,16.68,0.0,2.08,71.06,58.29,25.38,24.13,5.79,113.59,273.53,122.16,0.17,4.21,1.44,127.98,8.06,3.26,141.64,0.0,49.73,60.56,11.07,9.95,0.57,131.89,273.53,8.3,1.91,1.35,0.0,3.1,63.61,0.15,3.65,12.08,0.9,0.0,2.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,10.21,10.21,96.65,96.65,0.0,106.85,0.0,59.97,18.28,0.0,2.04,80.28,73.47,37.93,25.55,7.76,144.71,331.84,126.0,0.11,7.32,1.61,135.03,14.77,0.0,152.14,0.0,72.69,75.97,15.44,15.32,0.3,179.7,331.84,20.43,19.85,0.2,0.58,3.11,77.25,0.0,3.65,7.33,0.9,0.0,2.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,10.21,10.21,129.98,129.98,0.0,140.19,0.0,64.84,21.0,0.0,1.83,87.68,70.57,49.12,30.38,10.49,160.55,388.41,153.69,1.11,1.69,0.9,157.39,11.39,2.95,173.98,0.0,82.72,89.8,22.86,18.68,0.38,214.43,388.41,20.09,33.37,0.39,1.19,2.81,93.15,0.45,3.65,6.24,0.82,0.0,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,10.21,10.21,164.61,164.61,0.0,174.81,0.0,56.01,20.78,0.0,2.24,79.03,60.48,38.69,37.71,11.22,148.1,401.94,148.92,1.62,31.0,0.08,181.61,17.04,2.68,203.6,0.0,70.54,98.93,7.86,19.23,1.78,198.34,401.94,22.42,11.47,0.13,0.19,2.49,84.97,0.0,3.65,8.1,0.82,0.0,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
