Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19
Net Sales/Income from operations,1123.0,1199.0,1085.0,1043.2,907.72,926.46,1144.77,1470.39,1440.27,1453.12,1258.2,1052.97,972.56,952.05,839.13,776.55,599.97,591.7,556.58,562.1,542.13,657.03,735.13
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,1123.0,1199.0,1085.0,1043.2,907.72,926.46,1144.77,1470.39,1440.27,1453.12,1258.2,1052.97,972.56,952.05,839.13,776.55,599.97,591.7,556.58,562.1,542.13,657.03,735.13
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,411.0,415.0,368.0,379.3,349.54,371.46,437.15,456.9,453.55,462.26,387.81,311.76,275.72,305.91,285.34,284.27,183.64,213.65,193.56,195.27,211.95,257.77,281.92
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.28,0.08,0.23
Increase/Decrease in Stocks,-84.0,7.0,4.0,4.33,-1.84,-22.42,-109.83,-56.0,-43.03,-37.88,-29.72,-3.41,-3.71,18.41,0.19,-32.64,5.86,-22.68,5.9,-5.64,-42.38,-0.62,-26.07
Power & Fuel,200.0,207.0,201.0,--,176.62,182.35,--,235.78,237.59,--,--,--,--,--,--,--,106.73,110.7,93.45,106.62,115.51,128.08,126.08
Employees Cost,102.0,96.0,91.0,78.14,74.86,78.99,84.69,77.77,72.86,72.8,72.36,58.6,61.9,61.91,58.32,49.09,50.38,48.54,49.89,44.19,46.26,46.81,49.35
Depreciation,76.0,74.0,71.0,71.4,65.68,61.81,60.36,58.89,55.16,53.39,50.64,48.29,47.57,46.45,45.8,45.95,46.7,46.39,45.52,45.0,43.64,44.19,43.24
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,187.0,176.0,177.0,379.67,144.96,142.43,391.57,200.47,167.22,425.91,410.29,356.42,330.43,278.32,254.41,294.63,94.6,82.47,66.4,199.7,95.16,102.99,119.94
"P/L Before Other Inc. , Int., Excpt. Items & Tax",231.0,224.0,173.0,130.36,97.9,111.84,280.83,496.58,496.92,476.64,366.82,281.31,260.65,241.05,195.07,135.25,112.06,112.63,101.86,-23.04,71.71,77.73,140.44
Other Income,14.0,13.0,11.0,18.53,13.04,6.66,27.69,18.69,23.94,26.87,27.35,26.92,28.45,46.16,26.44,29.34,29.34,31.84,27.16,173.46,3.2,3.88,3.06
"P/L Before Int., Excpt. Items & Tax",245.0,237.0,184.0,148.89,110.94,118.5,308.52,515.27,520.86,503.51,394.17,308.23,289.1,287.21,221.51,164.59,141.4,144.47,129.02,150.42,74.91,81.61,143.5
Interest,40.0,41.0,35.0,31.81,35.92,33.19,27.46,34.15,34.23,24.97,21.65,12.86,19.42,19.61,24.05,22.19,26.79,27.53,32.68,32.62,26.86,23.56,18.34
P/L Before Exceptional Items & Tax,205.0,196.0,149.0,117.08,75.02,85.31,281.06,481.12,486.63,478.54,372.52,295.37,269.68,267.6,197.46,142.4,114.61,116.94,96.34,117.8,48.05,58.05,125.16
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-26.04,--
P/L Before Tax,205.0,196.0,149.0,117.08,75.02,85.31,281.06,481.12,486.63,478.54,372.52,295.37,269.68,267.6,197.46,142.4,114.61,116.94,96.34,117.8,48.05,32.01,125.16
Tax,52.0,52.0,38.0,31.07,19.28,22.99,66.38,124.41,122.65,121.42,94.73,74.43,68.89,61.58,51.07,41.44,6.3,38.3,29.43,89.24,15.06,15.33,13.44
P/L After Tax from Ordinary Activities,153.0,144.0,111.0,86.01,55.74,62.32,214.68,356.71,363.98,357.12,277.79,220.94,200.79,206.02,146.39,100.96,108.31,78.64,66.91,28.56,32.99,16.68,111.72
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-582.99,--,--,--,--,--,--
Net Profit/(Loss) For the Period,153.0,144.0,111.0,86.01,55.74,62.32,214.68,356.71,363.98,357.12,277.79,220.94,200.79,206.02,146.39,100.96,-474.68,78.64,66.91,28.56,32.99,16.68,111.72
Equity Share Capital,11.0,11.0,11.0,10.99,10.99,10.99,10.99,10.99,10.99,10.99,10.99,10.99,10.99,10.99,10.99,10.99,10.99,10.99,10.99,10.99,10.99,10.99,10.99
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,13.93,13.11,10.14,7.83,5.07,5.67,19.54,32.47,33.13,32.51,25.29,20.11,18.28,18.76,13.33,9.19,-43.21,7.16,6.09,2.6,3.0,1.52,10.17
Diluted EPS,13.93,13.11,10.14,7.83,5.07,5.67,19.54,32.47,33.13,32.51,25.29,20.11,18.28,18.76,13.33,9.19,-43.21,7.16,6.09,2.6,3.0,1.52,10.17
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,
