Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12
Net Sales/Income from operations,1452.02,1461.84,1619.11,1496.71,1480.66,1395.65,1471.09,1323.67,1341.69,1281.21,1378.37,1186.59,1293.35,1271.29,1343.96,1165.97,1275.01,1224.21,1277.66,1033.6,1062.35,1136.02,1213.21,1075.99,1146.63,1091.63,1160.63,1033.55,1085.06,1026.97,1077.98,969.43,1032.58,864.98,1048.32,1005.59,1007.88,948.35,958.13,923.7,1022.0,988.56,993.57,950.64,920.59,883.98,895.69,844.62,811.58,762.68
Other Operating Income,10.49,--,--,--,9.35,--,--,--,8.94,10.06,9.11,10.22,7.92,8.83,8.46,--,8.18,7.72,7.82,7.02,8.91,11.15,8.59,8.87,7.12,7.72,7.4,7.75,6.6,6.35,6.9,8.68,4.94,9.6,8.26,7.55,7.71,8.49,6.69,7.24,6.51,7.45,6.95,6.26,6.69,7.13,5.04,15.07,19.95,21.09
Total Income From Operations,1462.51,1461.84,1619.11,1496.71,1490.01,1395.65,1471.09,1323.67,1350.63,1291.27,1387.48,1196.81,1301.27,1280.12,1352.42,1165.97,1283.19,1231.93,1285.48,1040.62,1071.26,1147.17,1221.8,1084.86,1153.75,1099.35,1168.03,1041.3,1091.66,1033.32,1084.88,978.11,1037.52,874.58,1056.58,1013.14,1015.59,956.84,964.82,930.94,1028.51,996.01,1000.52,956.9,927.28,891.11,900.73,859.69,831.53,783.77
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,386.47,345.42,445.66,401.56,387.72,334.36,369.94,365.58,361.02,369.37,406.24,355.87,366.67,337.66,352.94,310.73,324.31,317.31,365.71,242.25,321.12,365.95,351.83,311.43,318.15,330.69,366.42,313.21,305.28,274.56,314.23,294.9,263.49,256.26,313.32,303.29,308.09,252.1,277.73,289.33,300.53,298.86,298.64,287.68,351.2,259.16,264.32,254.73,257.09,250.48
Purchase of Traded Goods,65.31,98.63,87.59,58.33,52.27,63.52,70.36,58.76,70.46,75.76,85.39,66.16,62.17,86.33,66.45,81.14,72.28,64.82,103.83,82.66,58.84,64.65,61.78,58.84,74.99,76.79,56.22,46.58,54.24,82.82,75.65,71.72,104.54,71.16,82.44,76.71,91.5,102.13,92.99,67.05,73.41,68.77,86.03,70.14,9.55,90.14,110.6,89.09,63.48,59.01
Increase/Decrease in Stocks,-22.01,-4.19,-23.94,-20.56,17.34,-9.54,19.13,-6.45,16.01,-4.41,11.29,-18.97,2.81,3.55,29.2,-32.13,18.26,-9.6,-59.91,27.45,-1.34,-37.48,17.15,0.11,15.68,-24.21,-11.12,-4.83,15.44,2.4,7.07,-8.23,19.7,-11.53,-4.8,2.21,-5.67,-1.36,-4.95,7.73,-0.17,-3.9,-11.69,-0.59,5.14,-3.55,-12.8,-15.56,1.62,-5.04
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,107.27,108.83,118.35,112.33,99.92,109.83,106.21,95.77,89.82,98.91,94.53,93.71,84.9,100.57,104.68,94.98,91.48,86.88,96.6,90.68,89.89,77.04,81.89,83.46,73.47,71.1,76.41,74.92,75.83,75.04,82.34,72.72,76.31,65.21,73.06,73.92,74.53,65.85,58.07,63.95,66.34,66.11,68.09,58.39,43.38,52.95,53.46,61.99,69.61,63.11
Depreciation,38.37,41.13,41.73,41.51,42.1,41.37,44.28,43.76,43.11,43.67,43.86,44.16,43.81,43.92,44.89,44.7,45.45,45.56,46.11,45.38,46.17,51.5,50.42,49.85,39.35,40.6,39.83,39.39,40.48,39.57,39.17,37.29,34.13,34.17,33.3,31.64,29.73,29.49,26.92,25.27,20.46,20.28,17.73,16.55,15.3,12.05,11.66,11.74,11.27,11.32
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,142.9,169.93,158.24,163.0,146.79,150.89,185.3,160.15,148.89,198.3,164.41,113.93,155.5,143.39,175.82,151.31,156.27,125.99,138.94,143.51,143.55,120.7,119.23,143.35,144.25,83.91,127.97,155.6,116.37,105.84,99.79,125.55,154.49,178.21,201.0,180.55,99.46,121.46,119.47,101.39,82.1,99.85
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
