Item,Mar 25,Mar 24,Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12,Mar 11
EQUITIES AND LIABILITIES,,,,,,,,,,,,,,,
SHAREHOLDER'S FUNDS,,,,,,,,,,,,,,,
Equity Share Capital,994.11,993.96,993.28,992.33,990.92,956.52,954.38,952.82,920.45,917.19,386.18,385.16,373.3,370.34,368.44
Preference Share Capital,0.0,0.0,500.0,500.0,500.0,500.0,500.0,0.0,0.0,,,,,,0.0
Total Share Capital,994.11,993.96,1493.28,1992.33,1990.92,1456.52,1454.38,952.82,920.45,917.19,386.18,385.16,373.3,370.34,368.44
Reserves and Surplus,116151.51,95645.5,81966.67,70964.14,62236.05,47558.78,41444.0,36528.83,26695.62,23041.87,13754.91,11889.93,9073.65,7575.59,6428.04
Total Reserves and Surplus,116151.51,95645.5,81966.67,70964.14,62236.05,47558.78,41444.0,36528.83,26695.62,23041.87,13754.91,11889.93,9073.65,7575.59,6428.04
Employees Stock Options,94.27,79.29,60.31,31.31,2.16,2.87,2.07,2.17,1.87,3.41,3.0,8.53,17.53,34.82,36.92
Total ShareHolders Funds,117239.89,96718.75,83520.26,72487.78,63729.13,49018.17,42900.45,37483.82,27617.94,23962.47,14144.08,12283.61,9464.49,7980.76,6833.39
Deposits,499055.13,448953.75,363096.05,311684.11,280100.04,262820.52,225880.36,192643.27,157425.86,138643.02,74860.31,59072.33,51028.77,38536.52,29260.97
Borrowings,48442.76,28368.1,23416.27,25967.12,23650.65,37993.31,32248.29,25154.15,21095.48,20975.34,12149.71,12895.58,20410.62,16595.52,11723.95
Other Liabilities and Provisions,28886.4,26316.45,19829.9,19289.39,16008.8,10419.68,11142.98,9652.15,8450.68,8678.96,4857.97,3333.82,2789.81,2553.99,3032.36
Total Capital and Liabilities,693624.18,600357.05,489862.48,429428.4,383488.62,360251.68,312172.09,264933.4,214589.96,192259.79,106012.07,87585.34,83693.69,65666.79,50850.67
ASSETS,,,,,,,,,,,,,,,
Cash and Balances with Reserve Bank of India,41699.19,36252.04,19965.56,16026.22,12493.61,9505.05,10877.52,8908.51,7492.43,6903.43,3928.3,2948.23,2207.9,2016.49,2107.72
Balances with Banks Money at Call and Short Notice,24079.96,16536.36,12576.75,26897.72,27132.92,43787.25,13798.02,10711.6,15079.58,3976.28,2334.06,3031.66,1481.26,618.06,363.26
Investments,181907.45,155403.76,121403.73,100580.22,105099.19,75051.55,71189.09,64562.35,45074.19,51260.22,30421.09,25484.55,28873.43,21566.81,17121.44
Advances,426909.2,376075.27,319861.21,271253.6,223688.62,219748.19,205694.81,169717.92,136082.13,118665.3,66160.71,53027.63,48468.98,39079.23,29329.31
Fixed Assets,2358.86,2155.3,1920.32,1643.72,1535.27,1623.13,1651.55,1527.16,1537.63,1551.59,1206.71,1106.94,464.42,449.97,425.61
Other Assets,16669.52,13934.32,14134.91,13026.92,13539.01,10536.52,8961.11,9505.86,9324.0,9902.97,1961.21,1986.33,2197.69,1936.23,1503.33
Total Assets,693624.18,600357.05,489862.48,429428.4,383488.62,360251.68,312172.09,264933.4,214589.96,192259.79,106012.07,87585.34,83693.69,65666.79,50850.67
OTHER ADDITIONAL INFORMATION,,,,,,,,,,,,,,,
Number of Branches,0.0,0.0,0.0,0.0,0.0,1600.0,1500.0,1388.0,1369.0,1333.0,684.0,605.0,437.0,355.0,321.0
Number of Employees,0.0,0.0,0.0,0.0,0.0,50034.0,41753.0,50000.0,44000.0,31410.0,18000.0,16000.0,13500.0,12000.0,11000.0
Capital Adequacy Ratios (%),22.25,20.55,21.8,22.69,22.26,17.89,17.45,18.0,17.0,16.34,17.17,18.83,16.05,17.52,19.92
KEY PERFORMANCE INDICATORS,,,,,,,,,,,,,,,
Tier 1 (%),0.0,0.0,0.0,0.0,0.0,17.27,16.93,18.0,16.0,15.28,16.18,17.77,14.71,15.74,17.99
Tier 2 (%),0.0,0.0,0.0,0.0,0.0,0.62,0.52,1.0,1.0,1.06,0.99,1.06,1.34,1.78,1.93
ASSETS QUALITY,,,,,,,,,,,,,,,
Gross NPA,6133.85,5274.78,5768.32,6469.74,7425.51,5026.89,4467.94,3825.38,3578.6,2838.11,1237.23,1059.44,758.11,614.19,603.49
Gross NPA (%),1.42,1.39,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0
Net NPA,1343.44,1270.57,1193.3,1736.71,2705.17,1557.89,1544.37,1665.1,1718.1,1261.96,609.08,573.56,311.41,237.38,211.16
Net NPA (%),0.31,0.34,0.37,0.64,1.21,0.71,0.75,1.0,1.0,1.06,0.92,1.08,0.64,0.61,0.72
Net NPA To Advances (%),2.65,2.61,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,,,,,,,,,,
Bills for Collection,0.0,0.0,0.0,0.0,0.0,39518.98,31852.23,24255.31,20318.26,25578.12,4419.99,3015.6,1913.48,1576.66,1053.47
Contingent Liabilities,0.0,0.0,0.0,0.0,0.0,187277.36,212082.27,205104.84,193067.54,257574.33,68092.15,46903.54,42117.47,40052.52,35422.71
Revaluation Reserve,,,,,,,,,,,,,,,0.0
Money Against Share Warrants,,,,,,,,,,,,,,,0.0
Equity Share Application Money,,,,,,,,,,,,,,,0.0
Preference Share Application Money,,,,,,,,,,,,,,,0.0
Share Capital Suspense,,,,,,,,,,,,,,,0.0
