Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17
Net Sales/Income from operations,393.97,346.34,331.27,282.77,349.68,298.88,263.96,223.6,283.44,234.9,201.76,167.7,210.57,186.2,169.44,144.58,183.82,169.12,145.17,112.29,171.37,161.33,131.13,113.57,187.99,137.72,135.22,91.12,168.98,107.77,104.73,78.05
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,393.97,346.34,331.27,282.77,349.68,298.88,263.96,223.6,283.44,234.9,201.76,167.7,210.57,186.2,169.44,144.58,183.82,169.12,145.17,112.29,171.37,161.33,131.13,113.57,187.99,137.72,135.22,91.12,168.98,107.77,104.73,78.05
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,158.58,157.21,153.37,147.38,146.15,138.26,132.52,120.55,119.43,107.59,103.64,96.54,93.64,87.59,87.93,79.74,82.14,71.23,60.54,65.34,71.55,76.76,78.18,66.23,64.76,64.44,63.17,56.36,58.49,58.44,59.29,46.65
Depreciation,8.04,8.08,7.4,7.15,6.86,6.37,6.32,5.33,5.33,4.79,4.74,4.31,3.92,3.87,3.84,3.7,4.73,4.04,4.45,5.29,4.8,4.44,4.48,4.37,1.45,1.49,1.45,1.41,1.49,1.43,1.27,1.49
