Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12
Net Sales/Income from operations,2883.56,2757.88,2460.09,2894.03,2663.87,2648.41,2363.53,3483.8,3418.47,2970.18,2735.09,2877.83,2614.43,2872.18,2885.64,4103.61,3701.14,4425.43,3337.25,3534.28,3258.1,3145.12,2997.03,3196.2,3160.5,3090.38,2491.62,2296.32,2620.35,2993.51,2131.78,2361.39,2460.35,2349.21,2328.58,2375.88,2339.01,2161.93,2163.14,2020.42,2074.36,1988.66,1934.56,1979.26,1892.91,1581.62,1595.78,1455.24,1412.63,1372.48
Other Operating Income,33.07,66.71,--,--,28.16,20.35,27.29,63.64,13.79,55.48,51.83,9.34,8.62,11.0,8.11,10.42,9.72,98.91,82.45,86.04,87.57,76.54,81.8,84.38,87.6,80.01,67.2,58.4,65.93,80.35,56.51,58.7,61.02,60.95,61.18,71.6,62.76,52.96,56.48,17.99,23.63,19.04,16.44,23.76,5.04,16.38,15.96,17.69,18.74,18.79
Total Income From Operations,2916.63,2824.59,2460.09,2894.03,2692.03,2668.76,2390.82,3547.44,3432.26,3025.66,2786.92,2887.17,2623.05,2883.18,2893.75,4114.03,3710.86,4524.34,3419.7,3620.32,3345.67,3221.66,3078.83,3280.58,3248.1,3170.39,2558.82,2354.72,2686.28,3073.86,2188.29,2420.09,2521.37,2410.16,2389.76,2447.48,2401.77,2214.89,2219.62,2038.41,2097.99,2007.7,1951.0,2003.02,1897.95,1598.0,1611.74,1472.93,1431.37,1391.27
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,1506.59,1424.74,1318.18,1401.56,1465.93,1518.33,1375.26,2057.46,1988.67,1730.04,1471.52,1420.78,1417.49,1402.17,1543.49,1803.16,1750.7,1833.2,1791.43,1792.76,1753.23,1586.16,1615.4,1708.2,1704.14,1608.99,1433.97,1191.49,1241.49,1262.39,1197.9,1119.78,1178.22,1227.83,1122.31,1123.99,1149.86,1085.76,1105.15,1040.33,983.65,982.5,913.85,938.09,880.28,808.38,795.59,732.22,854.23,805.47
Purchase of Traded Goods,19.06,16.16,13.6,17.01,155.09,15.77,15.53,15.22,13.43,21.74,38.84,1.15,3.9,5.83,5.93,15.02,3.48,2.45,5.14,0.68,1.11,1.34,2.38,0.58,3.71,7.43,2.53,0.42,1.6,0.6,1.1,5.0,2.48,2.54,1.19,1.55,2.73,1.94,0.09,1.14,1.79,7.35,5.48,9.52,64.24,4.29,18.84,16.71,22.29,15.02
Increase/Decrease in Stocks,-61.37,-31.25,-35.56,-13.1,-59.76,-27.12,-16.25,-260.97,-123.86,-85.69,4.52,21.8,7.06,128.36,-111.71,127.33,-97.45,361.51,-380.86,-126.92,-64.9,38.01,-75.72,-136.9,-22.43,-11.34,-119.13,-90.49,11.1,-38.82,-215.97,0.52,13.14,-40.43,58.09,1.46,-74.62,-16.12,-52.31,-103.82,12.16,-61.4,-6.03,-64.4,-46.48,18.55,56.58,53.97,-88.73,-26.84
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,265.15,265.48,259.33,248.91,248.08,247.51,236.06,406.77,418.3,402.47,414.34,386.38,393.61,389.28,430.77,444.73,431.08,426.62,424.69,424.94,384.91,374.06,377.56,361.82,349.86,331.8,319.29,317.39,283.18,271.31,259.76,252.5,230.81,219.45,224.54,213.68,208.76,195.32,189.29,188.51,172.62,159.62,148.0,137.63,133.47,119.64,123.46,111.27,109.95,108.09
Depreciation,68.28,68.16,66.88,64.81,64.35,65.79,59.63,115.0,108.5,108.8,103.05,101.22,101.2,98.18,114.65,124.07,120.63,120.14,119.79,118.85,118.55,117.93,115.15,109.33,109.1,100.94,93.66,91.55,90.28,89.61,83.39,73.38,71.14,71.25,70.4,67.11,67.21,65.53,63.15,62.66,59.55,59.54,63.4,45.82,47.19,47.03,45.93,45.98,42.24,42.13
