Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12
Net Sales/Income from operations,2408.66,2573.76,2363.91,2306.99,2159.34,2221.18,2017.43,2029.4,1799.88,1797.42,1608.7,1611.44,1310.88,1278.89,1113.87,1258.89,1117.23,986.03,431.39,1671.3,948.51,1593.0,1784.43,1805.4,1683.45,1950.23,1956.78,2068.12,1759.6,1812.69,1667.9,1691.17,1498.3,1556.5,1395.76,1432.08,1232.44,1320.41,1180.62,1252.41,1219.32,1246.74,1201.36,1223.26,1086.19,1101.56,1062.76,1208.21,1040.86,947.4
Other Operating Income,--,--,119.04,59.23,43.58,--,--,37.54,--,13.32,9.53,19.16,10.5,--,--,10.11,9.67,9.54,6.92,63.91,13.41,59.71,58.45,46.03,46.15,45.86,47.37,38.93,34.78,43.59,52.8,47.81,68.05,29.54,25.74,29.88,31.72,34.34,21.36,30.26,20.11,23.82,23.75,26.92,19.72,14.91,15.46,23.86,23.67,16.04
Total Income From Operations,2408.66,2573.76,2482.95,2366.22,2202.92,2221.18,2017.43,2066.94,1799.88,1810.74,1618.23,1630.6,1321.38,1278.89,1113.87,1269.0,1126.9,995.57,438.31,1735.21,961.92,1652.71,1842.88,1851.43,1729.6,1996.09,2004.15,2107.05,1794.38,1856.28,1720.7,1738.98,1566.35,1586.04,1421.5,1461.96,1264.16,1354.75,1201.98,1282.67,1239.43,1270.56,1225.11,1250.18,1105.91,1116.47,1078.22,1232.07,1064.53,963.44
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,1481.1,1631.64,1481.04,1470.21,1355.46,1400.89,1219.53,1216.37,1145.57,1154.48,1048.19,995.26,774.85,854.11,759.25,804.9,649.59,592.03,236.29,875.25,512.49,858.94,1006.3,1007.62,984.46,1079.45,1128.73,1053.24,1007.45,923.59,856.68,867.24,719.2,793.72,737.68,710.96,638.83,672.06,634.09,653.84,633.69,691.37,661.03,644.79,617.6,592.54,567.59,674.83,611.57,548.46
Purchase of Traded Goods,48.92,61.04,56.16,69.79,60.01,52.5,30.56,40.25,40.2,35.6,33.19,37.24,31.88,20.64,2.27,13.6,18.55,19.23,18.69,24.25,41.47,14.94,17.87,12.07,7.82,9.09,32.89,107.01,56.16,109.6,74.51,86.05,86.15,58.78,52.35,71.91,50.26,59.23,37.31,83.83,64.09,33.23,38.06,30.64,22.96,6.95,46.37,32.95,11.15,39.39
Increase/Decrease in Stocks,29.64,-47.12,-16.36,-32.26,-0.38,-25.4,16.47,4.86,-74.03,-14.67,-6.95,-9.5,51.5,-47.48,-77.31,-37.47,13.04,-22.15,-32.32,8.36,11.63,37.21,-20.03,20.92,-34.62,17.77,-56.23,12.27,-62.75,-22.53,-16.47,-14.21,29.32,3.45,-35.21,-8.5,-1.44,5.65,-16.89,-25.37,-6.21,-22.07,-7.4,-1.62,-22.0,8.5,-0.12,-4.79,-12.65,-0.12
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,281.7,282.32,281.65,256.5,244.95,244.84,230.12,217.92,206.77,194.79,180.02,158.77,150.81,151.94,146.13,132.69,141.86,129.44,202.91,315.37,127.52,293.54,306.44,291.56,295.51,293.71,297.72,281.29,264.49,264.36,251.71,247.59,208.2,199.91,200.27,205.11,183.59,164.65,159.95,150.25,151.39,150.19,150.95,127.67,122.18,124.17,123.53,111.67,113.78,104.46
Depreciation,89.51,88.75,85.94,81.08,80.79,69.32,68.67,61.79,57.54,56.21,55.74,52.93,51.88,49.86,49.57,49.08,48.6,50.31,63.21,92.52,12.52,68.31,61.9,54.99,55.51,54.39,54.37,53.08,53.68,58.62,52.92,50.68,49.99,49.15,47.87,50.55,49.38,50.33,50.59,47.84,51.26,59.75,48.24,36.82,39.59,38.84,37.69,42.93,35.79,34.04
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,368.11,341.77,322.7,346.93,284.56,265.59,255.52,381.13,278.0,234.02,219.75,233.17,180.32,170.89,158.2,180.99,143.74,137.7,128.17,218.76,141.27,198.44,219.37,183.32,219.0,260.18,257.52,262.49,216.0,217.18,238.88,194.93,191.65,203.66,206.18,178.05,164.74,177.4,165.23,155.68,182.37,198.7,167.62,153.27,137.75,184.24,192.86,126.2,147.49,96.29
"P/L Before Other Inc. , Int., Excpt. Items & Tax",109.68,215.36,271.82,173.97,177.53,213.44,196.56,144.62,145.83,150.31,88.29,162.73,80.14,78.93,75.76,125.21,111.52,89.01,-178.64,200.7,115.02,181.33,251.03,280.95,201.92,281.5,289.15,337.67,259.35,305.46,262.47,306.7,281.84,277.37,212.36,253.88,178.8,225.43,171.7,216.6,162.84,159.39,166.61,258.61,187.83,161.23,110.3,248.28,157.4,140.92
Other Income,159.56,533.25,22.03,325.77,53.18,152.78,79.37,44.99,248.37,144.77,86.67,383.89,36.54,222.53,68.45,22.68,45.41,30.38,15.66,281.12,33.89,40.74,16.12,30.93,30.5,113.36,11.74,11.1,10.2,66.17,1.56,45.74,40.14,10.49,10.53,37.63,1.87,70.23,61.12,1.94,2.09,42.13,2.44,57.18,1.52,10.62,12.73,16.58,15.11,20.96
"P/L Before Int., Excpt. Items & Tax",269.24,748.61,293.85,499.74,230.71,366.22,275.93,189.61,394.2,295.08,174.96,546.62,116.68,301.46,144.21,147.89,156.93,119.39,-162.98,481.82,148.91,222.07,267.15,311.88,232.42,394.86,300.89,348.77,269.55,371.63,264.03,352.44,321.98,287.86,222.89,291.51,180.67,295.66,232.82,218.54,164.93,201.52,169.05,315.79,189.35,171.85,123.03,264.86,172.51,161.88
Interest,90.57,84.06,70.14,63.76,76.2,62.76,49.81,65.13,27.96,21.76,29.78,58.93,30.53,27.36,24.26,23.88,30.57,21.01,15.67,-5.24,51.2,4.44,17.43,-8.12,-3.63,15.32,14.08,22.65,7.82,7.32,5.53,-12.37,9.98,1.28,13.51,7.33,9.05,18.34,12.72,8.98,7.79,6.56,6.93,11.29,11.74,8.81,9.82,12.77,14.21,13.82
P/L Before Exceptional Items & Tax,178.67,664.55,223.71,435.98,154.51,303.46,226.12,124.48,366.24,273.32,145.18,487.69,86.15,274.1,119.95,124.01,126.36,98.38,-178.65,487.06,97.71,217.63,249.72,320.0,236.05,379.54,286.81,326.12,261.73,364.31,258.5,364.81,312.0,286.58,209.38,284.18,171.62,277.32,220.1,209.56,157.14,194.96,162.12,304.5,177.61,163.04,113.21,252.09,158.3,148.06
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,-47.56,--,--,-0.49,--,--,-19.85,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,178.67,664.55,223.71,435.98,154.51,303.46,226.12,124.48,366.24,273.32,145.18,440.13,86.15,274.1,119.46,124.01,126.36,78.53,-178.65,487.06,97.71,217.63,249.72,320.0,236.05,379.54,286.81,326.12,261.73,364.31,258.5,364.81,312.0,286.58,209.38,284.18,171.62,277.32,220.1,209.56,157.14,194.96,162.12,304.5,177.61,163.04,113.21,252.09,158.3,148.06
Tax,57.09,22.54,55.76,41.81,34.45,52.93,46.73,18.44,32.64,59.41,25.18,42.86,29.71,29.91,17.75,49.29,17.59,12.76,-53.36,101.04,14.6,43.4,77.67,109.21,94.44,106.17,98.81,84.29,87.14,92.8,67.3,92.09,99.04,88.61,65.71,45.37,50.84,78.39,59.99,63.42,43.35,50.39,51.76,92.01,53.94,44.87,32.41,72.91,41.42,40.75
P/L After Tax from Ordinary Activities,121.58,642.01,167.95,394.17,120.06,250.53,179.39,106.04,333.6,213.91,120.0,397.27,56.44,244.19,101.71,74.72,108.77,65.77,-125.29,386.02,83.11,174.23,172.05,210.79,141.61,273.37,188.0,241.83,174.59,271.51,191.2,272.72,212.96,197.97,143.67,238.81,120.78,198.93,160.11,146.14,113.79,144.57,110.36,212.49,123.67,118.17,80.8,179.18,116.88,107.31
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,151.89,133.51,78.83,170.16,140.48,86.09,--,--,83.42,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,121.58,642.01,167.95,394.17,120.06,250.53,179.39,106.04,333.6,213.91,120.0,397.27,208.33,377.7,180.54,244.88,249.25,151.86,-125.29,386.02,166.53,174.23,172.05,210.79,141.61,273.37,188.0,241.83,174.59,271.51,191.2,272.72,212.96,197.97,143.67,238.81,120.78,198.93,160.11,146.14,113.79,144.57,110.36,212.49,123.67,118.17,80.8,179.18,116.88,107.31
Equity Share Capital,703.63,703.63,677.64,677.64,677.64,677.64,677.64,677.64,677.64,451.76,451.76,451.76,315.79,315.79,315.79,315.79,315.79,315.79,315.79,315.79,315.79,315.79,315.79,315.79,315.79,210.53,210.53,210.53,210.53,210.53,140.36,140.36,140.36,140.36,132.29,132.29,132.29,132.29,88.19,88.19,88.19,88.19,88.19,88.19,88.19,58.79,58.79,58.79,58.79,39.2
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
