Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Trade/Other Goods,Capital Goods,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
2016-03-31,282.08,282.08,21214.49,21214.49,21496.57,28.16,0.0,206.24,344.08,578.48,0.03,453.92,3962.7,96.34,4512.99,26588.04,2762.9,53.34,582.12,3398.36,3502.58,1179.72,15.0,852.2,8947.86,471.72,128.56,4084.53,8662.96,2014.37,2278.04,17640.18,26588.04,259.91,70.67,95.14,1236.42,383.82,11625.13,222.26,0.0,3502.58,0.0,471.72
2017-03-31,285.0,285.0,25688.0,25688.0,25973.0,31.0,0.0,41.0,411.0,483.0,0.0,485.0,5319.0,111.0,5915.0,32371.0,3126.0,4863.0,411.0,8400.0,3810.0,1211.0,0.0,834.0,14255.0,914.0,90.0,4418.0,7962.0,2543.0,2189.0,18116.0,32371.0,408.0,19.0,209.0,2164.0,576.0,19545.0,222.26,0.0,3810.0,0.0,914.0
2018-03-31,278.0,278.0,27285.0,27285.0,27563.0,33.0,0.0,58.0,471.0,562.0,0.0,544.0,4020.0,129.0,4693.0,32818.0,3293.0,7135.0,298.0,10726.0,4068.0,1506.0,235.0,835.0,17370.0,2130.0,40.0,5427.0,2325.0,3438.0,2088.0,15448.0,32818.0,202.0,203.0,2952.0,2012.0,285.0,19275.0,216.8,260.0,3808.0,0.0,2130.0
2019-03-31,271.0,271.0,30168.0,30168.0,30439.0,32.0,0.0,53.0,553.0,638.0,0.0,2367.0,3871.0,141.0,6379.0,37456.0,3507.0,7728.0,212.0,11447.0,3808.0,2107.0,355.0,1032.0,18749.0,2002.0,18.0,6245.0,6273.0,1244.0,2925.0,18707.0,37456.0,263.0,325.0,1561.0,4470.0,183.0,22892.0,211.34,0.0,3808.0,1226.0,776.0
2020-03-31,543.0,543.0,36753.0,36753.0,37296.0,160.0,0.0,1343.0,775.0,2278.0,0.0,2273.0,11499.0,169.0,13941.0,53515.0,4571.0,18050.0,311.0,22932.0,4207.0,1997.0,0.0,849.0,29985.0,6668.0,14.0,7504.0,1291.0,3391.0,4662.0,23530.0,53515.0,318.0,344.0,163.0,6913.0,224.0,29195.0,482.74,0.0,4207.0,3691.0,2977.0
2021-03-31,543.0,543.0,43010.0,43010.0,43553.0,207.0,0.0,716.0,866.0,1789.0,0.0,2707.0,7085.0,227.0,10019.0,55361.0,4502.0,16403.0,245.0,21150.0,5041.0,668.0,0.0,788.0,27647.0,6605.0,18.0,5217.0,5056.0,4841.0,5977.0,27714.0,55361.0,200.0,348.0,175.0,6922.0,510.0,31907.0,482.74,0.0,5041.0,5749.0,856.0
2022-03-31,543.0,543.0,42048.0,42048.0,42591.0,164.0,0.0,667.0,958.0,1789.0,62.0,2783.0,5958.0,240.0,9043.0,53423.0,4769.0,14755.0,79.0,19603.0,5057.0,736.0,200.0,940.0,26536.0,6039.0,23.0,11147.0,4849.0,3008.0,1821.0,26887.0,53423.0,305.0,413.0,107.0,6702.0,1786.0,35935.0,482.74,0.0,5057.0,3783.0,2256.0
2023-03-31,543.0,543.0,40561.0,40561.0,41104.0,51.0,0.0,659.0,879.0,1589.0,140.0,4650.0,5594.0,283.0,10667.0,53360.0,4551.0,13384.0,21.0,17956.0,5057.0,543.0,0.0,1233.0,24789.0,5102.0,35.0,12913.0,6231.0,2602.0,1688.0,28571.0,53360.0,93.0,366.0,0.0,6451.0,2041.0,40884.0,482.74,0.0,5057.0,3601.0,1501.0
2024-03-31,543.0,543.0,38927.0,38927.0,39470.0,26.0,465.0,817.0,1065.0,2373.0,27.0,4092.0,6003.0,342.0,10464.0,52307.0,4273.0,12060.0,22.0,16355.0,5040.0,0.0,286.0,1081.0,22762.0,6801.0,25.0,12158.0,7629.0,793.0,2139.0,29545.0,52307.0,135.0,42.0,0.0,6559.0,2210.0,44927.0,482.74,0.0,5040.0,3491.0,3310.0
2025-03-31,543.0,543.0,34397.0,34397.0,34940.0,11.0,1321.0,905.0,1291.0,3528.0,15.0,3873.0,9759.0,388.0,14035.0,52503.0,9003.0,7215.0,29.0,16247.0,4960.0,0.0,586.0,1675.0,23468.0,7357.0,12.0,14685.0,4439.0,714.0,1828.0,29035.0,52503.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
