Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20
Net Sales/Income from operations,119.14,109.41,102.83,93.59,38.3,25.21,26.95,74.32,54.08,51.75,37.65,49.91,44.91,49.39,4.35,38.67,43.22,40.61,23.31
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,119.14,109.41,102.83,93.59,38.3,25.21,26.95,74.32,54.08,51.75,37.65,49.91,44.91,49.39,4.35,38.67,43.22,40.61,23.31
EXPENDITURE,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,2.78,1.45,2.59,--,--,--,--,11.25,11.93,13.82,21.91,24.94,16.15,14.66,1.63,8.51,17.25,0.17,2.15
Purchase of Traded Goods,44.58,44.97,31.34,32.72,14.34,5.08,4.67,12.7,4.0,1.45,2.86,5.64,8.92,3.64,0.12,6.39,2.1,7.27,4.73
Increase/Decrease in Stocks,2.81,10.32,8.39,2.14,2.82,6.72,8.49,7.45,-0.53,4.83,-5.98,-16.3,-12.33,-1.83,-0.22,5.17,-2.62,7.4,5.88
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,15.26,15.54,18.74,14.15,11.03,10.18,10.84,7.82,10.37,9.19,9.15,10.32,7.85,6.62,0.57,2.16,6.62,6.77,3.51
Depreciation,2.87,3.0,2.32,2.05,1.92,1.75,1.84,1.74,1.95,1.98,1.4,1.25,1.18,1.13,0.11,2.26,2.39,2.03,1.74
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,57.87,50.59,52.84,47.01,34.24,31.56,33.1,32.86,33.67,37.27,25.34,22.42,24.69,21.08,1.36,21.86,14.64,19.18,9.56
"P/L Before Other Inc. , Int., Excpt. Items & Tax",-7.03,-16.46,-13.39,-4.48,-26.06,-30.09,-31.98,0.51,-7.3,-16.78,-17.03,1.65,-1.55,4.09,0.77,-7.68,2.85,-2.21,-4.27
Other Income,41.01,39.81,39.18,61.44,45.09,39.1,38.8,31.58,35.17,31.72,30.21,51.99,24.22,20.58,1.89,13.02,22.08,14.61,10.54
"P/L Before Int., Excpt. Items & Tax",33.98,23.35,25.79,56.96,19.04,9.01,6.82,32.09,27.87,14.94,13.19,53.65,22.67,24.66,2.66,5.34,24.94,12.41,6.27
Interest,2.5,1.56,1.86,1.67,1.71,1.75,1.77,1.61,1.87,2.13,1.84,1.71,1.4,1.41,0.14,1.02,0.97,1.03,1.11
P/L Before Exceptional Items & Tax,31.48,21.79,23.93,55.29,17.32,7.26,5.05,30.48,26.0,12.8,11.35,51.93,21.27,23.25,2.52,4.32,23.97,11.38,5.16
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,31.48,21.79,23.93,55.29,17.32,7.26,5.05,30.48,26.0,12.8,11.35,51.93,21.27,23.25,2.52,4.32,23.97,11.38,5.16
Tax,7.02,5.63,-18.3,-33.38,4.2,1.27,0.79,7.88,6.23,2.92,2.29,3.28,4.51,5.0,0.54,1.4,4.15,2.0,1.09
P/L After Tax from Ordinary Activities,24.46,16.16,42.23,88.67,13.12,5.99,4.25,22.6,19.77,9.88,9.05,48.66,16.76,18.26,1.98,2.93,19.81,9.38,4.07
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
