Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16
Net Sales/Income from operations,526.46,545.44,527.03,466.27,431.75,392.32,368.07,328.97,325.23,330.39,308.98,294.61,314.04,315.0,304.0,280.94,279.75,250.87,240.51,215.41,254.51,285.37,283.57,308.22,323.94,334.13,379.32,378.0,412.0,394.0,372.0,354.0,354.0,319.63,313.0,283.0
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,526.46,545.44,527.03,466.27,431.75,392.32,368.07,328.97,325.23,330.39,308.98,294.61,314.04,315.0,304.0,280.94,279.75,250.87,240.51,215.41,254.51,285.37,283.57,308.22,323.94,334.13,379.32,378.0,412.0,394.0,372.0,354.0,354.0,319.63,313.0,283.0
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,94.25,92.87,94.07,92.68,78.33,78.93,70.91,70.94,63.21,68.15,70.63,70.72,68.69,67.2,67.48,64.49,60.33,60.71,62.0,65.7,45.89,75.66,79.85,77.06,72.53,71.35,69.87,64.0,70.0,56.0,52.0,37.0,46.0,38.56,46.0,51.0
Depreciation,8.09,7.51,7.2,6.64,--,6.34,7.01,7.9,7.96,7.56,6.91,6.65,6.88,6.32,6.38,7.15,6.91,7.6,7.74,10.34,8.32,9.12,7.57,7.61,-16.38,8.96,8.69,8.0,8.0,9.0,119.0,115.0,10.0,-110.15,95.0,23.0
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
