Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Dec '20
Net Sales/Income from operations,1990.41,1500.53,1128.08,1896.54,2255.35,1806.42,1573.79,2152.41,1994.92,1898.81,1777.17,2476.68,2268.08,1818.44,1699.48,2133.18,2215.93
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,1990.41,1500.53,1128.08,1896.54,2255.35,1806.42,1573.79,2152.41,1994.92,1898.81,1777.17,2476.68,2268.08,1818.44,1699.48,2133.18,2215.93
EXPENDITURE,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,104.18,91.56,48.71,58.07,78.85,66.33,90.77,49.63,51.77,49.4,43.38,87.3,108.53,73.41,82.05,51.08,33.36
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,0.93,1.0,-0.13,0.38,-7.49,7.98,-3.62,3.73,4.96,3.28,3.65,-13.03,3.08,-3.41,-5.45,-0.4,-0.98
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,117.93,139.71,145.79,171.91,166.56,168.2,161.53,168.12,156.72,153.64,161.89,175.01,156.28,148.68,150.25,131.21,157.24
Depreciation,57.25,61.19,63.15,63.24,61.22,61.03,61.74,60.24,58.99,61.25,62.02,63.4,61.74,82.31,70.99,66.59,59.37
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,1418.92,1075.95,816.57,1419.56,1618.4,1335.9,1131.41,1616.23,1491.63,1415.64,1308.28,1740.99,1597.23,1344.95,1194.73,1605.92,1535.89
"P/L Before Other Inc. , Int., Excpt. Items & Tax",291.2,131.12,54.0,183.37,337.82,166.98,131.96,254.46,230.86,215.6,197.96,423.02,341.22,172.5,206.91,278.79,431.05
Other Income,138.89,122.23,131.08,108.14,55.0,57.78,61.4,51.11,54.92,42.13,51.9,31.95,33.13,35.14,33.94,30.19,31.1
"P/L Before Int., Excpt. Items & Tax",430.08,253.36,185.08,291.51,392.81,224.76,193.36,305.57,285.77,257.73,249.86,454.97,374.35,207.65,240.85,308.98,462.16
Interest,15.47,20.73,21.42,28.07,25.0,24.46,27.74,26.61,26.91,24.81,23.56,26.94,27.3,29.74,31.07,38.76,27.83
P/L Before Exceptional Items & Tax,414.61,232.63,163.67,263.44,367.82,200.3,165.62,278.97,258.86,232.92,226.3,428.03,347.04,177.91,209.78,270.22,434.33
Exceptional Items,37.37,--,35.61,-49.41,1371.96,8.3,--,--,--,--,--,--,--,-3.08,--,--,--
P/L Before Tax,451.98,232.63,199.28,214.04,1739.78,208.61,165.62,278.97,258.86,232.92,226.3,428.03,347.04,174.83,209.78,270.22,434.33
Tax,80.75,64.04,84.46,62.08,249.0,53.22,42.35,70.97,66.66,58.78,61.98,106.94,81.85,45.85,46.75,66.61,113.07
P/L After Tax from Ordinary Activities,371.24,168.59,114.82,151.96,1490.78,155.39,123.27,207.99,192.21,174.14,164.33,321.09,265.19,128.98,163.04,203.61,321.26
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,371.24,168.59,114.82,151.96,1490.78,155.39,123.27,207.99,192.21,174.14,164.33,321.09,265.19,128.98,163.04,203.61,321.26
Equity Share Capital,48.37,48.37,48.36,48.34,48.34,48.34,48.34,48.34,48.34,48.34,48.34,48.34,48.34,48.34,48.34,48.34,48.48
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,
Basic EPS,38.37,17.43,11.87,15.72,154.18,16.07,12.75,21.51,19.88,18.01,17.0,33.21,27.43,13.34,16.86,21.06,33.13
Diluted EPS,38.35,17.42,11.87,15.7,154.18,16.07,12.75,21.51,19.88,18.01,17.0,33.21,27.43,13.34,16.86,21.06,33.13
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,
