Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Equity Share Application Money,Long Term Provisions,Short Term Provisions,Short Term Loans And Advances,Capital Goods,Short Term Borrowings,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Borrowings,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods
2004-03-31,0.01,0.01,0.52,0.52,0.53,0.04,0.0,0.04,0.0,0.54,4.69,5.27,2.47,0.0,0.17,2.64,2.12,0.0,0.0,0.0,4.76,0.0,0.0,0.27,0.0,0.51,5.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.15,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,0.01,0.01,6.42,6.42,6.43,0.0,0.0,0.0,0.0,1.68,3.32,9.75,3.12,0.0,0.15,3.27,0.0,0.0,0.0,0.0,3.27,0.0,4.21,1.85,0.0,6.48,9.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.64,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,1.01,1.01,11.74,11.74,12.75,0.0,0.0,0.0,0.0,0.45,13.5,26.26,8.09,0.0,0.0,8.09,1.26,0.0,0.0,0.0,9.36,0.0,6.64,5.9,0.0,16.9,26.26,0.0,0.0,0.0,44.13,0.0,0.1,0.0,0.0,0.0,0.0,0.0,13.06,4.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,1.01,1.01,28.32,28.32,29.33,0.0,0.0,0.0,0.0,2.31,6.2,35.55,7.65,0.0,0.04,7.69,0.0,0.0,0.0,0.0,7.7,0.0,11.92,7.35,0.0,27.85,35.55,0.0,0.0,0.0,79.54,0.0,0.1,0.0,0.0,0.0,0.02,0.0,3.89,8.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,18.87,18.87,113.31,113.31,132.18,0.0,0.0,0.0,0.0,13.73,29.21,161.48,8.83,2.41,6.89,18.14,78.77,0.23,0.0,0.0,97.13,0.0,24.57,12.45,0.0,64.34,161.48,4.98,15.83,6.81,95.63,0.0,16.45,78.77,0.0,0.0,0.09,0.0,11.48,27.32,3.52,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,18.93,18.93,146.22,146.22,165.15,0.0,0.0,0.0,9.79,13.63,47.86,213.1,16.11,3.69,0.03,19.82,98.47,0.71,0.0,0.0,119.01,0.0,45.06,18.92,0.0,94.1,213.1,1.17,18.91,4.7,180.42,0.0,16.5,98.47,0.0,0.0,0.1,0.0,24.44,30.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,19.03,19.03,180.25,180.25,199.28,0.0,0.0,0.0,12.78,9.89,47.56,247.09,14.16,4.88,2.21,21.24,90.86,0.72,0.0,0.0,112.82,0.0,39.23,45.33,0.0,134.27,247.09,6.81,38.86,18.26,242.62,0.0,16.55,90.86,0.0,0.0,0.25,0.0,24.9,49.71,3.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,28.85,28.85,204.98,204.98,233.83,0.0,0.0,2.51,20.24,4.74,113.18,349.59,26.6,2.95,6.53,36.08,0.75,0.68,6.0,0.0,43.52,27.83,65.94,149.27,41.16,306.07,349.59,3.97,44.66,13.81,0.0,339.37,26.11,0.75,27.83,0.0,0.06,2.51,88.2,21.87,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,29.06,29.06,306.07,306.07,335.13,0.0,0.0,4.51,28.82,5.04,111.48,451.4,39.91,2.81,4.5,47.21,0.75,0.93,7.87,0.0,56.76,99.88,42.11,161.29,63.56,394.64,451.4,3.33,70.15,34.49,0.0,466.32,26.11,0.75,99.88,0.0,0.28,4.51,77.63,27.8,13.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,29.88,29.88,380.87,380.87,410.75,0.0,0.0,6.21,25.75,6.06,142.34,559.31,42.66,2.59,0.32,45.57,126.58,1.34,7.89,0.0,181.38,35.16,56.49,169.5,70.95,377.93,559.31,2.44,101.93,24.29,0.0,560.67,26.11,126.58,35.16,0.0,0.0,6.21,110.53,45.83,7.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
