Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Bonus Equity Share Capital,Current Investments Quoted Market Value,Long Term Loans And Advances,Short Term Loans And Advances,Raw Materials,"Stores, Spares And Loose Tools",Equity Share Application Money,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Non-Current Investments,Trade/Other Goods,Capital Goods
2009-03-31,0.56,0.56,2.93,2.93,3.49,16.42,0.11,0.0,0.0,16.53,0.0,0.0,16.33,0.3,16.63,37.89,1.79,0.0,0.0,0.0,1.79,0.0,0.0,1.79,0.0,0.0,0.0,21.8,0.0,36.1,37.89,48.32,17.63,0.0,0.0,0.0,0.0,14.29,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,1.81,1.81,3.46,3.46,5.26,12.91,0.08,0.0,0.0,12.99,0.0,0.0,13.75,0.59,14.33,32.59,1.59,0.0,0.0,0.0,1.59,0.0,0.0,1.59,0.0,0.0,0.0,20.15,0.0,31.0,32.59,62.79,17.56,0.0,0.0,0.0,0.0,10.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,1.81,1.81,4.19,4.19,6.0,0.0,0.09,0.0,0.0,0.09,10.7,20.96,23.52,0.4,55.59,61.68,1.39,0.0,0.0,0.0,1.39,0.0,0.0,1.39,0.0,4.43,32.77,7.98,0.0,60.29,61.68,0.0,0.0,0.0,0.0,0.0,0.0,15.11,27.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,1.81,1.81,9.97,9.97,11.78,0.0,0.07,0.0,0.0,0.07,8.88,24.8,12.76,3.02,49.46,66.81,1.19,0.0,0.0,0.0,1.19,0.0,0.0,1.19,0.0,1.33,54.91,6.42,0.0,65.63,66.81,0.0,0.05,0.0,0.0,0.0,0.0,2.97,60.31,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,7.31,7.31,12.72,12.72,20.03,6.17,0.01,0.0,0.0,6.18,7.94,25.31,55.4,1.59,90.24,116.44,1.91,0.0,0.0,0.0,10.17,0.0,0.0,10.17,0.0,16.57,77.58,8.85,0.0,106.27,116.44,0.0,0.11,0.0,0.0,0.0,0.0,3.27,71.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,7.31,7.31,13.36,13.36,20.66,2.88,1.13,0.0,0.89,4.89,8.44,7.23,44.71,0.37,60.75,86.3,11.64,0.0,0.0,0.0,11.64,0.0,0.0,13.94,0.0,5.61,56.68,7.76,0.0,72.37,86.3,0.0,0.11,1.18,0.0,0.0,2.3,2.32,71.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,7.31,7.31,15.35,15.35,22.66,0.24,1.08,0.0,1.0,2.31,18.34,12.13,43.13,0.14,73.74,98.71,12.06,0.0,0.0,0.0,12.06,0.0,0.0,13.96,0.0,7.75,71.34,4.68,0.0,84.75,98.71,0.0,0.08,2.16,0.0,0.0,1.9,0.98,23.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,7.31,7.31,16.19,16.19,23.49,0.0,0.81,0.0,1.09,1.9,21.26,20.99,34.61,0.0,76.86,102.26,11.13,0.15,0.0,0.0,11.28,0.0,0.0,13.2,0.0,14.2,68.02,5.27,0.0,89.06,102.26,0.0,0.02,1.76,0.0,0.0,1.92,1.57,16.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,7.31,7.31,17.46,17.46,24.77,0.0,0.75,0.0,1.43,2.18,20.65,24.99,30.28,0.35,76.27,103.22,10.12,0.13,0.0,0.0,10.25,0.0,0.0,12.23,0.0,12.77,68.74,6.47,0.0,90.99,103.22,0.0,0.0,7.7,0.0,0.0,1.98,3.02,0.0,29.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,7.31,7.31,21.21,21.21,28.52,0.0,0.43,0.0,1.39,1.82,12.65,50.99,41.22,1.41,106.28,136.61,9.1,0.15,0.0,0.0,9.25,0.0,0.0,11.21,0.0,21.9,81.54,15.8,0.0,125.4,136.61,109.52,0.0,5.05,0.0,0.0,1.96,6.17,0.0,24.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
