Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16
Net Sales/Income from operations,141.26,131.31,139.24,123.56,121.28,115.3,108.53,104.04,107.03,100.28,95.2,98.35,111.73,114.2,109.16,90.46,95.02,85.02,70.77,66.31,69.34,59.68,67.45,60.55,56.45,63.8,66.86,66.97,55.18,64.75,55.82,54.7,50.99,55.12,50.79,47.02
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,141.26,131.31,139.24,123.56,121.28,115.3,108.53,104.04,107.03,100.28,95.2,98.35,111.73,114.2,109.16,90.46,95.02,85.02,70.77,66.31,69.34,59.68,67.45,60.55,56.45,63.8,66.86,66.97,55.18,64.75,55.82,54.7,50.99,55.12,50.79,47.02
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,11.07,11.26,11.96,10.69,10.08,9.0,9.29,9.86,9.01,8.84,8.8,8.01,11.19,8.39,9.55,8.05,10.48,8.95,10.33,9.23,9.03,7.94,8.24,7.32,6.17,6.63,5.93,6.11,6.15,7.46,5.83,4.63,3.73,4.05,4.2,3.6
Depreciation,5.26,5.39,5.32,5.23,5.21,5.17,5.06,5.0,4.91,4.92,4.57,4.19,4.1,4.13,4.11,3.98,3.41,3.99,4.06,4.4,4.55,4.09,3.35,3.26,2.55,2.65,2.64,2.58,2.93,2.97,2.9,1.47,0.86,0.91,0.86,0.84
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,8.24,7.22,7.0,12.85,6.33,6.42,7.04,12.62,4.76,8.15,7.46,9.33,5.47,7.66,3.84,5.82,3.71,3.95,2.89,8.15,6.15,4.09,5.96,3.84,5.52,8.28,6.25,6.38,5.5,4.75,3.44,7.81,12.09,14.02,10.22,8.73
"P/L Before Other Inc. , Int., Excpt. Items & Tax",116.69,107.44,114.97,94.8,99.66,94.7,87.14,76.55,88.36,78.36,74.37,76.82,90.97,94.02,91.66,72.61,77.43,68.13,53.49,44.53,49.61,43.57,49.9,46.14,42.21,46.25,52.05,51.9,40.6,49.56,43.64,40.79,34.32,36.15,35.52,33.84
Other Income,30.98,28.55,28.61,30.78,28.19,25.84,24.36,23.24,22.52,17.07,18.57,15.04,16.02,12.48,11.91,11.91,6.79,10.67,8.59,14.23,10.04,9.7,11.27,9.11,11.39,13.12,8.35,7.22,7.68,5.46,5.28,7.21,7.69,7.33,11.09,7.4
"P/L Before Int., Excpt. Items & Tax",147.68,135.98,143.58,125.58,127.85,120.55,111.49,99.79,110.88,95.43,92.94,91.86,106.99,106.5,103.56,84.52,84.22,78.8,62.07,58.76,59.65,53.28,61.17,55.25,53.6,59.37,60.4,59.12,48.28,55.03,48.92,47.99,42.01,43.48,46.61,41.24
Interest,0.61,0.67,0.66,0.67,0.72,0.71,0.7,0.7,0.73,0.66,0.52,0.55,0.46,0.5,0.47,0.55,0.48,0.52,0.51,0.54,0.51,0.0,0.52,0.54,0.56,0.06,0.06,0.06,0.05,0.07,0.05,0.06,0.17,-0.21,0.08,0.08
P/L Before Exceptional Items & Tax,147.06,135.31,142.92,124.91,127.13,119.83,110.79,99.09,110.15,94.77,92.42,91.32,106.53,106.0,103.09,83.97,83.74,78.28,61.56,58.21,59.15,53.28,60.65,54.71,53.04,59.31,60.34,59.06,48.23,54.95,48.87,47.94,41.84,43.69,46.53,41.15
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
