Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12
Net Sales/Income from operations,1078.68,946.92,1003.04,1034.08,1088.94,904.36,947.9,1000.19,1131.72,1148.39,1073.67,1269.29,1171.12,1007.55,1064.23,754.68,893.45,771.76,816.14,399.87,717.88,669.62,662.27,764.38,822.67,650.72,668.09,760.52,696.92,642.44,616.53,543.45,638.11,492.17,524.62,508.72,536.25,452.82,482.73,447.39,519.91,509.2,530.59,475.85,559.11,495.03,471.47,406.69,439.23,341.94
Other Operating Income,39.37,37.3,32.07,44.21,41.72,--,34.12,36.44,35.77,--,36.99,43.72,37.42,27.95,--,10.72,8.28,23.95,26.56,13.63,--,16.6,30.01,37.31,31.95,23.51,21.07,--,--,--,--,12.18,19.0,14.07,9.9,13.97,13.37,8.12,7.96,12.63,9.83,11.25,18.26,5.59,7.34,7.92,7.18,5.8,6.67,19.83
Total Income From Operations,1118.05,984.22,1035.11,1078.29,1130.66,904.36,982.02,1036.63,1167.49,1148.39,1110.66,1313.01,1208.54,1035.5,1064.23,765.4,901.73,795.71,842.7,413.5,717.88,686.22,692.28,801.69,854.62,674.23,689.16,760.52,696.92,642.44,616.53,555.63,657.11,506.24,534.52,522.69,549.62,460.94,490.69,460.02,529.74,520.45,548.85,481.44,566.45,502.95,478.65,412.49,445.9,361.77
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,614.89,622.32,634.77,613.4,536.27,602.88,588.87,671.37,675.19,707.35,803.66,853.53,709.94,621.85,537.39,409.57,453.19,427.74,422.75,74.84,370.55,410.08,457.17,457.42,469.57,448.88,435.81,444.88,448.45,414.15,407.6,376.89,387.3,335.15,348.41,327.62,325.07,290.13,281.2,300.82,300.51,301.54,405.15,351.4,346.86,334.38,326.51,276.04,240.51,225.93
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,137.5,--,--,--,--,--,--,--,--,--,197.18,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,67.37,-76.44,-24.84,14.2,185.71,-92.17,18.19,-2.73,132.57,51.08,-311.9,-66.46,2.47,-64.47,8.95,-30.18,45.69,-38.78,67.06,126.9,-93.21,-21.6,-83.21,14.32,68.15,-73.59,-58.34,13.5,-1.33,2.68,-11.31,-35.17,43.51,-34.35,-38.5,-6.8,19.66,-10.9,26.77,-41.54,40.23,28.85,-9.17,-38.4,41.92,-24.77,-22.58,-27.57,30.64,-18.6
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,142.19,134.0,137.26,138.13,120.58,124.77,121.53,121.01,117.33,114.85,111.74,118.08,104.2,110.34,114.55,103.8,99.32,109.05,102.17,74.25,75.61,101.47,103.0,103.17,94.23,90.49,93.2,79.03,59.57,61.8,55.33,56.35,50.83,49.65,50.9,42.75,39.31,37.45,37.85,34.81,33.69,31.84,32.02,30.99,30.08,27.56,27.5,24.09,22.06,27.89
Depreciation,22.76,23.2,22.15,21.62,20.53,20.42,20.41,20.27,19.24,19.23,19.52,19.65,18.76,19.08,18.98,18.83,20.54,24.38,26.21,26.79,25.9,24.89,24.35,23.77,23.4,24.12,24.56,23.75,23.97,25.01,26.48,29.51,28.59,29.61,29.57,29.66,30.4,31.47,31.43,30.54,29.84,30.42,32.58,33.03,30.29,33.29,33.28,32.96,45.86,32.51
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,116.54,121.99,93.72,102.07,128.78,115.98,99.04,118.36,137.56,128.5,104.96,125.06,133.62,136.31,95.06,96.62,94.16,92.64,80.52,59.01,89.5,82.43,71.19,88.44,105.87,85.51,72.76,83.44,73.58,61.13,52.78,59.16,56.3,46.24,57.43,58.68,90.59,61.09,43.58,69.39,67.36,67.19,32.84,48.07,76.99,82.33,36.72,52.51,59.18,44.2
"P/L Before Other Inc. , Int., Excpt. Items & Tax",154.3,159.15,172.05,188.87,138.79,132.48,133.98,108.35,85.6,127.38,245.18,263.15,239.55,212.39,289.3,166.76,188.83,180.68,143.99,51.71,52.35,88.95,119.78,114.57,93.4,98.82,121.17,115.92,92.68,77.67,85.65,68.89,90.58,79.94,86.71,70.78,44.59,51.7,69.86,66.0,58.11,60.61,55.43,56.35,40.31,50.16,77.22,54.46,47.65,49.84
