Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14
Net Sales/Income from operations,462.51,386.7,334.16,385.35,426.76,420.6,407.72,423.86,411.45,348.3,348.11,362.25,349.37,314.75,313.27,277.62,280.3,271.36,238.76,212.81,203.67,181.76,180.6,175.31,248.91,234.64,253.04,194.16,217.48,178.11,152.78,123.1,135.99,124.89,125.86,130.23,146.4,136.18,142.59,120.94,124.08,118.87,103.1,107.05
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,462.51,386.7,334.16,385.35,426.76,420.6,407.72,423.86,411.45,348.3,348.11,362.25,349.37,314.75,313.27,277.62,280.3,271.36,238.76,212.81,203.67,181.76,180.6,175.31,248.91,234.64,253.04,194.16,217.48,178.11,152.78,123.1,135.99,124.89,125.86,130.23,146.4,136.18,142.59,120.94,124.08,118.87,103.1,107.05
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,249.4,235.63,236.74,230.56,228.77,212.93,201.75,196.09,198.26,182.48,168.89,160.99,147.31,141.71,138.7,130.53,123.4,125.03,122.1,123.24,95.37,121.3,128.29,116.71,187.41,149.57,156.99,131.2,138.85,125.27,112.59,93.51,121.92,115.57,104.45,100.27,102.79,109.71,104.27,99.77,114.83,115.44,110.29,92.46
Depreciation,28.58,26.5,25.37,23.56,22.46,22.9,22.46,21.44,20.77,20.22,19.81,19.28,18.47,17.82,17.18,15.57,12.51,12.24,1.99,3.48,12.62,11.97,11.89,12.07,9.82,8.66,8.5,7.96,7.79,6.15,5.62,5.58,5.74,5.66,5.68,5.53,5.19,4.86,4.52,4.48,4.14,4.2,4.03,4.69
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,79.76,89.68,67.69,83.35,129.03,138.25,142.01,138.41,137.3,118.11,142.32,126.34,122.16,114.87,84.65,81.44,86.55,69.54,53.46,39.69,62.66,92.5,57.81,57.72,40.76,55.92,44.22,36.87,47.75,34.01,32.11,44.81,37.59,27.62,33.44,30.6,32.0,23.6,25.31,25.15,30.34,24.37,23.39,21.07
"P/L Before Other Inc. , Int., Excpt. Items & Tax",104.78,34.88,4.36,47.88,46.52,46.52,41.5,67.93,55.12,27.5,17.1,55.64,61.44,40.35,72.74,50.08,57.85,64.55,61.2,46.4,33.02,-44.02,-17.38,-11.2,10.91,20.48,43.34,18.14,23.1,12.67,2.47,-20.8,-29.25,-23.96,-17.71,-6.17,6.42,-2.0,8.5,-8.45,-25.23,-25.15,-34.6,-11.17
Other Income,17.43,12.16,29.46,13.5,17.18,25.28,10.12,10.9,10.64,24.09,8.4,6.01,10.89,10.31,4.48,17.07,2.55,6.37,2.75,8.19,1.69,11.85,8.16,8.87,5.25,4.28,10.61,41.36,13.53,8.26,7.15,2.4,8.18,5.49,6.53,11.26,4.52,4.25,4.16,4.65,2.92,6.71,6.8,5.94
"P/L Before Int., Excpt. Items & Tax",122.2,47.04,33.82,61.38,63.69,71.8,51.62,78.83,65.76,51.59,25.5,61.65,72.33,50.66,77.22,67.14,60.4,70.92,63.96,54.59,34.71,-32.17,-9.22,-2.33,16.16,24.76,53.94,59.51,36.63,20.93,9.62,-18.4,-21.07,-18.47,-11.18,5.09,10.94,2.25,12.66,-3.81,-22.31,-18.44,-27.81,-5.23
Interest,0.53,0.57,0.69,0.53,0.17,0.2,0.22,0.24,0.28,0.74,0.56,0.61,0.64,0.68,0.77,0.88,1.07,0.96,12.91,12.36,4.27,4.2,4.1,3.24,2.69,2.23,3.41,3.08,2.61,3.07,3.93,4.11,3.86,3.12,2.18,1.37,0.1,--,--,--,--,--,--,--
P/L Before Exceptional Items & Tax,121.68,46.47,33.13,60.85,63.52,71.6,51.4,78.59,65.48,50.85,24.93,61.04,71.69,49.98,76.45,66.26,59.33,69.97,51.05,42.23,30.44,-36.37,-13.32,-5.56,13.47,22.53,50.53,56.43,34.02,17.86,5.68,-22.51,-24.93,-21.59,-13.36,3.72,10.84,2.25,12.66,-3.81,-22.31,-18.44,-27.81,-5.23
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5.06,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,121.68,46.47,33.13,60.85,63.52,71.6,51.4,78.59,65.48,50.85,24.93,61.04,71.69,49.98,76.45,66.26,59.33,69.97,51.05,42.23,30.44,-36.37,-13.32,-0.51,13.47,22.53,50.53,56.43,34.02,17.86,5.68,-22.51,-24.93,-21.59,-13.36,3.72,10.84,2.25,12.66,-3.81,-22.31,-18.44,-27.81,-5.23
Tax,31.24,12.3,8.99,14.93,22.83,22.91,15.52,25.74,25.53,14.68,7.99,20.1,19.95,10.3,20.24,11.8,3.6,3.38,5.05,3.3,11.53,--,--,--,7.92,--,--,-2.2,1.89,0.32,--,--,--,--,--,--,-11.18,--,--,0.43,-1.35,0.19,-0.74,-0.72
P/L After Tax from Ordinary Activities,90.44,34.17,24.14,45.92,40.69,48.69,35.88,52.85,39.94,36.17,16.94,40.94,51.74,39.68,56.21,54.46,55.73,66.59,46.0,38.94,18.92,-36.37,-13.32,-0.51,5.56,22.53,50.53,58.63,32.13,17.54,5.68,-22.51,-24.93,-21.59,-13.36,3.72,22.01,2.25,12.66,-4.23,-20.96,-18.63,-27.07,-4.51
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,-12.51,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,90.44,34.17,24.14,45.92,28.18,48.69,35.88,52.85,39.94,36.17,16.94,40.94,51.74,39.68,56.21,54.46,55.73,66.59,46.0,38.94,18.92,-36.37,-13.32,-0.51,5.56,22.53,50.53,58.63,32.13,17.54,5.68,-22.51,-24.93,-21.59,-13.36,3.72,22.01,2.25,12.66,-4.23,-20.96,-18.63,-27.07,-4.51
Equity Share Capital,69.43,69.32,69.09,68.62,68.41,68.35,68.26,68.07,67.86,67.77,67.71,67.49,67.28,67.17,67.06,66.88,66.49,66.33,66.27,66.22,66.17,66.13,66.1,65.96,65.89,65.75,65.58,62.93,62.76,62.56,62.54,50.9,50.87,50.56,50.55,50.52,50.39,50.31,50.28,50.2,50.1,49.92,49.92,49.83
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,636.02,--,--,--,--,--,--,--,--,--,--,--,--,536.46
