Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18
Net Sales/Income from operations,335.8,337.2,331.8,315.3,299.3,291.4,280.7,267.6,256.2,240.2,229.1,213.31,200.7,187.4,181.6,181.1,179.05,172.9,161.8,151.3,165.8,160.5,152.9,144.3,135.1,130.7,119.9,111.5
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,335.8,337.2,331.8,315.3,299.3,291.4,280.7,267.6,256.2,240.2,229.1,213.31,200.7,187.4,181.6,181.1,179.05,172.9,161.8,151.3,165.8,160.5,152.9,144.3,135.1,130.7,119.9,111.5
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,145.8,140.2,135.3,131.3,138.3,128.9,123.8,116.4,115.3,101.6,94.3,87.97,86.2,63.5,59.1,54.0,56.02,50.7,47.2,44.8,62.3,67.8,66.2,58.5,65.5,55.4,49.4,51.5
Depreciation,5.0,5.1,5.2,5.2,9.7,5.3,5.1,4.5,5.5,5.6,4.7,3.47,2.9,3.0,2.8,3.2,3.47,3.8,4.3,4.3,5.8,5.7,5.0,4.4,1.2,1.1,1.0,0.7
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,57.3,53.0,77.0,66.7,70.6,75.5,76.3,75.3,74.0,68.8,69.6,65.55,56.2,44.1,38.2,37.4,36.59,33.5,31.7,31.2,49.4,48.7,49.5,48.3,54.8,46.9,47.5,112.2
"P/L Before Other Inc. , Int., Excpt. Items & Tax",127.7,138.9,114.3,112.1,80.7,81.7,75.5,71.4,61.4,64.2,60.5,56.31,55.4,76.8,81.5,86.5,82.97,84.9,78.6,71.0,48.3,38.3,32.2,33.1,13.6,27.3,22.0,-52.9
Other Income,148.1,22.9,62.2,50.6,44.9,38.6,32.4,53.7,31.6,47.1,36.9,-2.74,24.9,21.9,31.4,29.6,6.26,24.5,21.0,33.4,17.3,16.5,20.3,14.3,10.0,13.3,8.5,4.2
"P/L Before Int., Excpt. Items & Tax",275.8,161.8,176.5,162.7,125.6,120.3,107.9,125.1,93.0,111.3,97.4,53.58,80.3,98.7,112.9,116.1,89.23,109.4,99.6,104.4,65.6,54.8,52.5,47.4,23.6,40.6,30.5,-48.7
Interest,0.9,0.9,0.9,1.1,1.0,1.1,1.1,1.1,1.2,1.1,1.2,1.22,1.3,1.3,1.4,1.4,1.46,1.6,1.7,1.9,1.7,0.5,0.7,0.4,--,--,--,--
P/L Before Exceptional Items & Tax,274.9,160.9,175.6,161.6,124.6,119.2,106.8,124.0,91.8,110.2,96.2,52.35,79.0,97.4,111.5,114.7,87.77,107.8,97.9,102.5,63.9,54.3,51.8,47.0,23.6,40.6,30.5,-48.7
Exceptional Items,--,--,--,--,--,--,--,--,-5.3,--,--,--,--,--,--,--,--,--,--,--,-6.9,--,--,--,--,--,--,--
P/L Before Tax,274.9,160.9,175.6,161.6,124.6,119.2,106.8,124.0,86.5,110.2,96.2,52.35,79.0,97.4,111.5,114.7,87.77,107.8,97.9,102.5,57.0,54.3,51.8,47.0,23.6,40.6,30.5,-48.7
Tax,43.6,36.0,48.6,37.6,32.3,27.6,23.9,28.7,19.0,28.6,22.0,3.49,19.3,23.1,26.4,24.0,33.56,26.3,23.4,26.0,17.0,-9.2,42.2,13.8,5.7,11.8,9.5,6.7
P/L After Tax from Ordinary Activities,231.3,124.9,127.0,124.0,92.3,91.6,82.9,95.3,67.5,81.6,74.2,48.86,59.7,74.3,85.1,90.7,54.21,81.5,74.5,76.5,40.0,63.5,9.6,33.2,17.9,28.8,21.0,-55.4
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,231.3,124.9,127.0,124.0,92.3,91.6,82.9,95.3,67.5,81.6,74.2,48.86,59.7,74.3,85.1,90.7,54.21,81.5,74.5,76.5,40.0,63.5,9.6,33.2,17.9,28.8,21.0,-55.4
Equity Share Capital,60.0,60.0,60.0,60.0,59.9,59.9,59.9,61.2,30.6,30.6,30.6,30.62,30.6,30.6,30.3,30.3,30.3,29.1,28.9,28.9,28.9,28.9,28.8,28.8,28.59,28.6,28.6,24.7
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,38.55,20.84,21.17,20.69,15.4,15.29,13.57,15.58,22.11,26.67,24.38,15.99,19.55,24.39,28.02,29.92,18.31,28.09,25.78,26.44,13.84,21.95,3.33,11.56,6.27,10.09,8.38,-26.04
Diluted EPS,38.55,20.78,21.12,20.65,15.4,15.26,13.54,15.55,22.09,26.66,24.28,15.9,19.55,24.18,27.66,29.52,18.06,28.09,25.78,26.01,13.62,21.61,3.26,11.36,6.24,9.98,7.3,-26.04
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
