Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Trade/Other Goods,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Equity Share Application Money,Non-Current Investments,Long Term Loans And Advances,Short Term Loans And Advances,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Long Term Borrowings
2004-12-31,39.5,39.5,218.93,218.93,258.43,24.91,0.0,0.0,67.24,35.27,174.47,18.32,20.79,248.85,574.52,125.68,9.33,8.8,0.0,0.0,143.81,31.43,0.0,187.25,0.0,133.93,157.11,52.45,0.59,387.26,574.52,57.81,0.0,7.6,6.04,68.82,0.21,12.63,19.85,0.25,0.0,0.0,12.01,0.0,43.17,111.74,0.0,0.78,42.34
2005-12-31,39.5,39.5,246.17,246.17,285.66,20.79,0.0,0.0,100.34,36.5,157.79,21.66,28.25,244.19,630.2,146.05,9.33,7.95,0.0,0.0,163.33,22.29,0.0,189.62,0.0,176.06,168.24,30.97,3.46,440.58,630.2,30.18,0.0,11.09,6.04,86.78,2.21,12.63,16.75,0.26,0.0,0.0,4.0,0.0,61.85,137.75,0.0,6.41,79.56
2006-12-31,39.5,39.5,291.93,291.93,331.43,15.84,0.0,0.0,52.08,71.9,160.68,19.81,23.41,275.8,659.32,142.35,9.33,3.75,0.0,0.0,155.43,18.41,0.0,177.84,0.0,188.72,214.41,26.59,1.16,481.47,659.32,29.63,0.0,11.64,6.04,123.33,19.49,12.63,20.09,0.26,0.0,0.0,4.0,0.0,50.6,180.55,0.0,4.88,36.25
2008-03-31,39.5,39.5,329.94,329.94,369.44,14.27,0.0,0.0,14.27,69.21,305.72,65.49,30.42,470.84,854.55,227.36,9.33,11.2,0.0,0.0,247.89,30.78,0.0,339.0,0.0,201.82,180.87,27.58,0.0,515.55,854.55,41.07,0.0,13.63,6.58,142.36,28.85,12.63,60.13,0.21,0.0,0.0,60.33,0.0,105.29,239.18,0.0,1.15,0.0
2009-03-31,39.5,39.5,411.46,411.46,450.96,13.29,0.0,0.0,13.29,42.69,334.98,71.54,37.05,486.27,950.52,250.17,9.33,10.58,0.0,0.0,270.08,27.69,0.0,307.99,0.0,323.68,199.58,18.34,0.0,642.53,950.52,95.71,0.0,19.47,6.58,169.54,49.04,12.63,10.0,0.21,0.0,0.0,10.22,0.0,100.94,301.78,0.0,6.08,0.0
2010-03-31,39.5,39.5,520.29,520.29,559.79,13.64,0.0,0.0,13.64,113.97,264.05,88.24,43.46,509.72,1083.15,281.01,11.1,28.74,0.0,0.0,320.85,20.25,0.0,403.92,0.0,348.0,197.6,15.35,0.0,679.24,1083.15,150.38,0.0,28.86,7.68,151.85,62.95,12.63,62.6,0.21,0.0,0.0,62.82,0.0,118.29,350.02,0.0,9.16,0.0
2011-03-31,39.5,39.5,633.5,633.5,673.0,0.0,264.9,15.0,279.9,108.5,295.0,172.7,30.6,606.8,1559.7,344.0,3.6,6.1,0.0,0.0,353.7,6.0,0.0,432.5,0.0,437.4,281.4,363.0,0.9,1127.2,1559.7,126.3,190.2,25.2,11.0,236.3,74.2,12.63,0.0,3.6,0.0,0.0,3.6,69.2,44.5,269.4,0.9,10.3,0.0
2012-03-31,39.5,39.5,753.2,753.2,792.7,0.0,6.5,29.5,36.0,0.0,260.5,722.7,28.8,1012.0,1840.7,244.9,2.9,8.0,0.8,0.0,256.6,10.4,0.0,340.4,0.0,499.5,256.2,429.9,106.4,1500.3,1840.7,158.2,197.2,30.0,11.0,309.6,14.5,12.63,0.0,3.6,0.0,0.0,3.6,69.8,208.3,264.2,1.0,10.7,0.0
2013-03-31,39.5,39.5,1891.8,1891.8,1931.3,1.8,7.5,38.4,47.7,0.0,197.2,194.9,43.9,436.0,2415.0,215.7,2.9,127.1,0.0,0.0,345.7,0.0,0.0,423.7,0.0,500.0,322.4,974.1,9.7,1991.3,2415.0,269.9,243.6,35.7,11.5,458.2,14.2,12.63,0.0,3.7,0.0,0.0,3.7,74.3,185.1,379.6,1.5,0.9,0.0
2014-03-31,36.6,36.6,1705.7,1705.7,1742.3,0.0,9.9,40.1,50.0,0.0,292.1,251.0,51.5,594.6,2386.9,226.0,1.8,216.8,0.0,0.0,444.6,13.9,0.0,534.0,0.3,549.5,409.9,486.2,3.1,1852.9,2386.9,249.7,261.8,47.1,10.7,496.0,19.5,11.71,0.0,3.4,0.3,0.0,3.4,72.1,403.9,476.8,0.7,8.1,0.0
2015-03-31,36.6,36.6,1996.3,1996.3,2032.9,0.0,10.2,52.5,62.7,0.0,268.1,312.2,97.7,678.0,2773.6,321.0,0.8,0.2,0.4,0.0,322.4,9.6,0.0,403.9,25.4,564.7,571.1,1130.4,11.1,2369.7,2773.6,190.2,296.3,46.7,16.2,628.7,24.7,11.71,0.0,3.4,25.4,0.0,3.4,68.5,67.0,522.6,0.1,3.2,0.0
2016-03-31,35.4,35.4,1720.5,1720.5,1755.9,0.0,9.4,56.3,65.7,0.0,245.3,283.2,88.2,616.7,2438.3,315.6,2.5,6.7,0.3,0.0,325.1,6.9,0.0,407.5,36.4,658.2,496.3,763.2,5.3,2030.8,2438.3,227.2,442.0,45.2,29.0,544.2,20.6,11.32,0.0,3.4,36.4,0.0,3.4,72.1,71.4,595.1,0.1,5.4,0.0
2017-03-31,35.4,35.4,2021.3,2021.3,2056.7,2.0,0.0,83.6,85.6,0.0,287.4,183.5,212.2,683.1,2825.4,305.2,6.1,1.0,23.1,30.7,366.1,0.0,85.1,451.2,49.7,768.1,556.5,839.0,160.9,2374.2,2825.4,128.2,1136.3,48.4,0.0,424.1,19.6,11.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,34.3,34.3,1744.0,1744.0,1778.3,10.4,0.0,84.2,94.6,0.0,283.8,184.2,193.9,661.9,2534.8,300.0,4.2,1.2,34.9,30.2,370.5,0.0,88.2,458.7,0.0,739.9,658.8,417.8,259.6,2076.1,2534.8,136.8,895.1,43.4,0.0,247.8,22.4,10.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
