Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Equity Share Application Money,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Preference Share Capital,Employees Stock Options,Short Term Provisions,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Borrowings,Foreign Currency Monetary Item Translation Difference A/C,Short Term Borrowings,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2012-03-31,10.51,10.71,1190.25,1190.25,1200.96,0.0,0.0,0.0,3.21,3.21,81.87,26.75,299.26,1503.43,18.43,1.07,0.0,19.49,3.19,1081.36,377.43,9.0,12.0,22.34,1.3,422.07,1503.43,0.0,0.0,0.0,0.0,0.0,69.42,156.1,81.47,297.43,0.2,0.0,190.63,223.59,8.36,826.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,11.27,11.47,1406.35,1406.35,1417.82,0.0,0.0,0.0,2.82,2.82,50.27,34.62,88.06,1508.7,15.71,3.65,0.0,19.36,3.42,1122.6,259.81,12.15,40.34,69.2,4.6,386.11,1508.7,13.81,7.15,49.07,0.73,0.76,171.01,146.23,77.45,184.56,0.2,0.0,3.17,313.57,3.5,782.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,11.27,11.27,1526.96,1526.96,1538.23,0.0,0.0,0.0,2.35,2.35,74.08,63.34,140.63,1681.21,11.18,2.56,0.0,13.74,3.66,472.15,429.62,9.36,31.06,725.74,13.27,1209.06,1681.21,0.0,4.86,49.07,17.17,0.76,172.65,153.42,188.8,253.22,0.0,0.0,3.22,324.01,11.21,119.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,11.27,41.27,1477.48,1477.48,1518.75,0.0,0.0,0.0,3.21,3.21,86.08,45.55,141.04,1663.0,4.23,2.67,0.0,6.9,3.94,751.11,411.01,15.58,24.29,444.22,16.8,911.89,1663.0,16.59,5.41,0.0,4.89,0.76,209.97,243.21,192.43,233.51,30.0,0.0,9.42,433.9,12.13,294.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,11.52,41.52,1723.48,1723.48,1765.0,0.0,0.0,0.0,7.44,7.44,58.85,51.18,113.35,1885.79,8.34,3.36,0.0,11.69,7.24,969.14,364.12,47.0,41.83,449.24,14.47,916.66,1885.79,16.98,5.27,0.0,19.98,0.76,229.49,302.49,52.05,322.12,30.0,0.0,3.32,561.6,12.21,376.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,11.52,41.52,1808.83,1808.83,1850.35,0.0,0.0,0.0,11.21,11.21,103.17,45.45,158.3,2019.86,8.48,242.45,0.0,250.93,7.29,1039.35,337.11,40.65,4.74,571.0,27.01,980.51,2019.86,0.0,6.59,0.0,26.06,0.76,320.89,349.06,20.19,320.91,30.0,0.0,9.68,636.65,7.59,136.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,612.0,612.0,1726.83,1726.83,2340.22,0.0,0.0,52.46,29.35,81.81,112.21,55.74,167.95,2589.98,12.18,245.22,2.59,259.99,276.83,545.16,950.9,37.32,560.23,439.06,57.31,2044.82,2589.98,36.97,8.34,0.0,28.69,576.76,0.0,0.0,0.0,0.0,0.0,1.39,0.0,0.0,8.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,612.0,612.0,1907.54,1907.54,2532.25,0.0,0.0,39.12,43.04,82.16,42.29,55.08,97.37,2711.78,12.33,243.55,0.7,256.58,96.47,365.27,1279.96,90.17,490.47,431.81,54.1,2346.51,2711.78,22.88,7.28,0.0,26.86,576.76,0.0,0.0,0.0,0.0,0.0,12.71,0.0,0.0,12.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,612.11,612.11,1873.43,1873.43,2548.99,0.0,0.0,28.33,38.19,66.52,66.35,129.49,195.84,2811.35,9.03,312.92,2.0,323.95,71.82,403.95,1870.41,50.94,409.11,48.83,28.11,2407.4,2811.35,13.47,7.24,0.0,28.97,576.76,0.0,0.0,0.0,1870.41,0.0,63.45,0.0,0.0,8.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,616.5,616.5,2409.02,2409.02,3025.52,0.53,33.84,35.72,23.06,92.62,59.53,110.32,169.85,3288.52,10.68,289.07,1.31,301.06,78.01,379.07,2513.01,36.73,304.17,35.21,20.33,2909.45,3288.52,17.93,6.49,0.0,21.79,576.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
