Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Current Investments,"Stores, Spares And Loose Tools",Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Deferred Tax Assets [Net],Raw Materials,Trade/Other Goods
2013-03-31,0.05,0.05,-3.87,-3.87,-3.82,1500.0,0.0,3.19,0.0,1503.19,0.0,2.05,0.0,0.74,2.79,1850.16,0.0,0.0,0.0,0.0,0.0,0.0,347.68,0.0,0.0,347.68,0.0,0.0,0.06,0.24,2.27,1502.48,1850.16,2463.8,0.0,263.84,0.0,1499.91,1499.91,0.0,0.0,0.0,0.0,0.0,0.0,348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,137.68,137.68,1498.12,1498.12,1635.8,1592.43,289.23,522.53,9.85,2414.04,3.69,526.04,2073.73,0.6,2604.06,6653.9,4327.91,145.53,0.0,0.2,0.0,4743.51,162.11,35.8,7.51,4948.93,37.54,545.13,211.58,187.53,44.31,1704.97,6653.9,0.0,0.13,0.0,162.18,678.88,678.88,0.64,11.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,137.68,137.68,1853.23,1853.23,1990.91,1490.78,352.77,561.44,21.9,2426.89,0.0,426.24,1963.07,85.5,2474.81,6892.61,4320.87,165.79,0.0,0.2,0.0,4844.05,162.03,67.31,0.01,5073.4,41.09,360.6,237.79,202.09,40.65,1819.21,6892.61,0.0,0.47,0.0,162.03,936.99,936.99,0.22,4.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,137.68,137.68,1965.1,1965.1,2102.78,1707.56,410.28,610.02,25.03,2752.89,0.0,251.61,914.63,53.07,1219.31,6074.98,4472.86,201.29,467.97,0.2,0.0,5142.32,162.03,335.96,0.0,5640.31,41.34,265.86,67.84,24.13,35.5,434.67,6074.98,0.0,0.24,0.0,162.03,0.0,0.0,0.39,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,137.68,137.68,1507.2,1507.2,1644.88,2291.41,984.89,0.0,30.8,3307.1,7.28,313.97,1065.99,9.14,1396.38,6348.36,4631.69,269.99,504.9,0.82,1.3,5408.7,68.28,65.36,282.6,5824.94,41.65,347.51,60.82,1.43,72.01,523.42,6348.36,0.0,0.07,0.0,68.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,137.68,137.68,1708.73,1708.73,1846.41,2212.99,1045.5,0.0,33.4,3291.89,1.28,293.09,1195.74,4.9,1495.01,6633.31,4793.14,299.57,478.33,0.0,1.3,5572.34,16.09,69.5,273.04,5930.97,56.78,391.71,136.3,1.5,116.05,702.34,6633.31,1360.89,0.6,0.0,16.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,137.68,137.68,2046.31,2046.31,2183.99,2089.15,1081.6,59.54,39.68,3269.97,0.0,352.33,1312.88,8.3,1673.51,7127.47,4964.63,324.43,488.49,0.0,1.3,5778.85,16.05,67.79,232.22,6094.91,69.41,510.31,309.16,1.19,142.49,1032.56,7127.47,1738.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,137.68,137.68,3152.94,3152.94,3290.62,1834.36,800.49,108.62,45.33,2788.8,0.0,366.99,1437.88,12.98,1817.85,7897.27,5248.63,335.15,568.57,0.92,1.3,6154.57,17.25,60.96,226.26,6459.04,46.26,510.14,691.88,0.92,189.03,1438.23,7897.27,2297.42,1.5,0.0,17.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,137.68,137.68,4344.97,4344.97,4482.65,769.95,806.31,127.93,51.77,1755.96,0.0,445.8,1740.45,24.54,2210.79,8449.4,5612.78,351.62,687.59,0.23,1.3,6653.52,19.77,71.19,295.27,7039.75,52.21,783.09,318.66,1.29,254.4,1409.65,8449.4,3146.45,0.49,0.0,19.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,137.68,137.68,5461.62,5461.62,5599.3,390.97,807.72,194.16,53.78,1446.63,90.1,445.63,1940.7,32.92,2509.35,9555.28,6225.98,403.92,965.91,26.39,1.3,7623.5,22.39,3.56,518.21,8167.66,53.39,930.05,21.11,2.91,380.16,1387.62,9555.28,2728.18,0.62,0.0,22.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
