Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16
Net Sales/Income from operations,23860.71,24827.54,20266.1,15105.48,25116.47,22316.47,20049.66,13104.49,19896.92,19170.8,16477.26,11036.02,17433.77,18025.34,14660.64,8312.55,15555.74,13766.49,12857.95,7588.09,11862.98,11694.51,10111.51,6655.02,11333.02,9141.26,7661.55,4754.52,9236.7,6776.21,5384.57,3762.58,7346.05,5242.88,4921.47,145.38
Other Operating Income,-789.76,-5965.56,20035.63,19548.26,11138.72,16716.08,8754.98,14790.93,1398.66,7645.98,11239.89,-6229.87,3237.71,2646.62,10975.07,7691.6,4733.31,12951.36,5782.16,8677.68,-6688.67,4247.3,2766.35,3148.52,4286.69,3127.95,2079.83,2219.24,834.57,2911.69,2448.79,2713.93,3437.92,800.89,2912.44,79.25
Total Income From Operations,23070.95,18861.98,40301.73,34653.74,36255.19,39032.55,28804.64,27895.42,21295.58,26816.78,27717.15,4806.15,20671.48,20671.96,25635.71,16004.15,20289.05,26717.85,18640.11,16265.77,5174.31,15941.81,12877.86,9803.54,15619.71,12269.21,9741.38,6973.76,10071.27,9687.9,7833.36,6476.51,10783.97,6043.77,7833.91,224.63
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,681.9,737.82,683.87,625.21,598.58,647.82,603.01,548.88,536.92,532.19,499.48,477.76,482.17,482.94,464.11,387.15,371.23,398.44,367.62,353.69,369.46,363.61,333.72,294.6,346.85,299.81,297.88,292.65,244.6,241.3,246.48,225.82,192.85,194.29,231.11,--
Depreciation,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
