Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12
Net Sales/Income from operations,215.93,406.91,213.41,172.96,238.44,187.21,170.98,162.14,201.53,181.58,164.21,147.86,177.37,146.58,142.13,102.23,121.0,131.17,107.69,74.39,105.45,123.65,150.18,120.83,124.03,150.64,138.42,111.28,105.37,93.74,84.46,62.04,57.67,54.19,47.82,48.26,53.14,53.82,55.75,51.95,59.13,39.19,41.13,42.19,43.22,42.89,45.45,35.78,47.91,51.38
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.03,0.04,0.08,0.07,0.07,0.04,0.05,0.02,0.03,0.02,0.07,0.12,0.13,0.13,0.08,0.03,0.04,0.05
Total Income From Operations,215.93,406.91,213.41,172.96,238.44,187.21,170.98,162.14,201.53,181.58,164.21,147.86,177.37,146.58,142.13,102.23,121.0,131.17,107.69,74.39,105.45,123.65,150.18,120.83,124.03,150.64,138.42,111.28,105.37,93.74,84.46,62.04,57.7,54.23,47.9,48.33,53.21,53.86,55.8,51.97,59.16,39.21,41.2,42.31,43.35,43.02,45.53,35.81,47.95,51.43
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,14.88,7.48,--,--,8.99,--,--,--,--,--,--,--,--,--,--,--,--,22.96,3.55,2.26,--,0.66,1.07,0.95,1.05,0.25,0.13,1.16,0.33,0.22,0.33,0.46,0.85,0.7,0.46,1.37,3.45
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,-11.9,-1.74,-9.65,4.18,9.69,2.31,7.43,2.12,2.9,-6.55,4.9,-12.61,-13.16,-31.16,11.73,-10.22,-19.87,-7.49,0.22,-8.0,0.14,0.07,-1.13,0.35,1.42,1.04,1.02,-2.37,-0.62,-0.26,0.5,1.06,1.13,0.24,2.29,0.91,1.32
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,19.68,21.05,24.73,18.97,20.45,20.69,21.61,33.96,20.47,18.78,18.89,15.89,15.13,15.29,17.11,13.55,14.04,13.98,14.51,14.36,12.11,17.23,11.56,12.54,11.59,12.95,8.26,11.26,9.21,16.58,12.65,10.19,10.98,9.57,8.98,8.91,8.81,11.34,11.41,8.8,8.43,7.01,6.78,7.36,5.75,8.33,8.71,7.02,6.67,7.64
Depreciation,15.39,14.02,12.42,11.52,9.99,8.92,8.25,7.04,6.5,5.87,4.46,3.99,4.48,3.52,2.74,2.28,1.76,1.2,1.2,1.24,1.12,1.1,1.1,1.13,0.41,0.87,0.86,0.87,0.93,0.96,0.97,0.93,0.15,1.06,1.71,1.01,0.36,2.05,1.81,1.04,26.8,0.97,1.25,0.79,0.73,0.69,0.69,0.7,2.75,3.22
