Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Long Term Borrowings,Deferred Tax Liabilities [Net],Intangible Assets Under Development,Non-Current Investments,Raw Materials,Trade/Other Goods,Assets Held For Sale,Current Investments,Capital Goods
2009-11-30,29.84,29.84,964.49,964.49,994.33,0.0,0.0,3.87,0.0,116.25,16.65,76.14,209.04,1207.24,92.33,0.16,0.8,0.0,93.28,31.37,0.0,0.0,125.16,113.37,64.39,527.4,376.42,0.5,1082.08,1207.24,97.12,8.29,15.38,3.49,22.1,19.11,0.0,0.5,0.0,0.0,3.87,0.0,0.5,74.57,0.0,0.0,0.0,0.04
2011-03-31,29.84,29.84,1133.6,1133.6,1163.45,6.38,28.2,34.58,0.0,98.03,42.78,47.42,188.23,1386.25,35.01,0.0,1.64,0.0,37.53,35.54,92.72,0.0,214.74,159.32,100.17,578.46,325.23,8.33,1171.51,1386.25,347.27,5.47,52.78,1.9,36.21,19.11,0.0,48.95,0.0,0.0,0.0,0.0,48.95,56.97,32.3,0.88,0.0,0.0
2012-03-31,29.84,29.84,1274.85,1274.85,1304.7,0.0,25.83,25.83,0.0,130.93,35.64,79.36,245.93,1576.45,30.67,0.0,0.7,0.0,32.25,37.08,128.88,0.0,245.65,183.24,141.78,866.27,129.83,9.64,1330.8,1576.45,349.9,4.51,8.45,1.71,20.39,19.11,0.0,47.44,0.05,0.0,0.0,0.0,47.44,57.65,45.34,0.88,0.05,0.0
2013-03-31,29.84,29.84,1664.58,1664.58,1694.42,0.1,14.07,14.17,0.0,150.59,39.56,160.76,350.91,2059.5,24.84,0.0,0.37,0.0,25.94,39.88,143.31,0.0,255.11,165.15,142.09,1432.94,43.23,20.98,1804.39,2059.5,411.8,6.94,26.39,1.24,14.27,19.11,0.0,45.99,0.0,0.0,0.0,0.0,45.99,68.75,24.41,0.72,0.0,0.0
2014-03-31,29.84,29.84,628.57,628.57,658.41,0.1,15.55,15.65,0.0,159.93,54.68,35.67,250.28,924.35,20.02,0.0,3.16,0.0,23.9,34.19,136.54,0.0,239.12,151.5,173.39,307.79,47.17,5.38,685.23,924.35,372.46,9.37,828.69,0.5,7.78,19.11,0.0,44.49,0.0,0.0,0.0,0.0,44.49,72.46,32.54,0.72,0.0,0.0
2015-03-31,45.75,45.75,1927.26,1927.26,1973.01,0.1,29.56,32.17,0.0,334.2,86.6,185.56,606.37,2611.55,75.09,869.25,12.56,0.0,956.9,67.14,291.56,0.0,1358.26,387.9,157.87,609.29,83.93,14.3,1253.28,2611.55,454.58,10.95,0.0,0.93,10.76,19.11,0.0,42.66,0.0,2.5,0.0,0.0,42.66,139.23,288.15,0.0,0.0,0.0
2016-03-31,45.75,45.75,2117.75,2117.75,2163.5,0.1,35.3,66.14,0.0,337.92,265.46,55.03,658.41,2888.05,98.33,826.53,3.27,36.51,964.64,0.0,30.63,260.31,1255.58,360.68,142.3,1024.65,24.7,80.14,1613.88,2888.05,689.38,0.0,0.0,0.0,0.0,19.11,0.08,0.0,0.0,2.5,28.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,45.75,45.75,2373.13,2373.13,2418.88,0.0,44.85,62.41,2.5,0.0,718.98,58.19,779.67,3260.96,83.27,527.49,3.92,35.11,906.11,0.0,32.12,271.42,1209.65,321.9,110.32,1523.09,27.0,69.0,2051.31,3260.96,498.58,0.0,0.0,0.0,0.0,19.11,0.0,0.0,0.0,0.0,17.56,256.32,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,45.75,45.75,2637.45,2637.45,2683.2,0.0,37.74,52.32,2.5,0.0,888.42,63.52,954.44,3689.96,81.5,527.49,1.04,33.72,951.36,0.0,43.3,278.58,1273.24,297.06,154.8,1771.86,28.04,164.96,2416.72,3689.96,471.89,148.87,0.0,0.0,2.24,19.11,0.0,0.0,0.0,0.0,14.58,307.61,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,45.75,45.75,2965.59,2965.59,3011.34,0.0,34.73,36.96,2.5,435.92,390.9,62.37,891.69,3939.99,71.43,782.43,0.0,32.33,886.19,0.0,31.77,305.36,1223.32,386.66,171.66,1914.34,5.38,238.63,2716.67,3939.99,219.12,78.64,0.0,0.0,42.83,19.11,0.0,0.0,0.0,0.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
