Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total ShareHolders Funds,Deposits,Borrowings,Other Liabilities and Provisions,Total Capital and Liabilities,Cash and Balances with Reserve Bank of India,Balances with Banks Money at Call and Short Notice,Investments,Advances,Fixed Assets,Other Assets,Total Assets,Number of Branches,Number of Employees,Capital Adequacy Ratios (%),Tier 1 (%),Tier 2 (%),Gross NPA,Gross NPA (%),Net NPA,Net NPA (%),Net NPA To Advances (%),Bills for Collection,Contingent Liabilities,Money Against Share Warrants,Preference Share Capital,Revaluation Reserve,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense
2013-03-31,40.47,40.47,401.39,401.39,0.0,441.86,0.0,0.0,0.0,3112.81,0.0,0.0,0.0,0.0,16.77,0.0,3112.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,42.96,42.96,554.79,554.79,0.0,597.75,0.0,0.0,0.0,2958.59,0.0,0.0,0.0,0.0,16.86,0.0,2958.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,44.08,44.08,722.37,722.37,0.0,766.45,0.0,0.0,0.0,3979.9,0.0,0.0,0.0,0.0,18.98,0.0,3979.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,284.25,284.25,1697.19,1697.19,6.15,1987.59,0.0,7119.89,673.75,9781.22,13.43,611.53,2150.31,6550.94,275.84,179.17,9781.22,284.0,8515.0,23.04,21.46,1.58,124.51,2.0,80.46,1.22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,285.7,285.7,1977.98,1977.98,17.5,2281.18,7923.32,7638.86,989.41,18832.77,492.12,1269.1,3050.59,13312.13,386.09,322.74,18832.77,306.0,11151.0,19.31,18.42,0.89,269.73,2.0,169.33,1.27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,292.36,292.36,2652.59,2652.59,42.94,3162.89,19422.44,8613.36,1424.11,32622.8,811.14,929.05,7161.67,22818.73,447.03,455.17,32622.8,322.0,12623.0,19.31,15.96,3.35,470.14,2.0,294.5,1.29,1.0,0.0,502.14,175.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,304.12,304.12,4020.56,4020.56,52.12,4376.81,26163.93,10335.32,1267.01,42143.07,1049.64,2320.04,10668.22,26992.42,448.0,664.76,42143.07,406.0,17112.0,21.99,18.36,3.63,457.78,2.0,217.3,0.81,1.0,0.0,1360.05,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,312.21,312.21,5963.0,5963.0,0.0,6275.22,35979.31,7029.7,2307.08,51591.31,1569.35,3211.99,10815.41,34608.91,482.37,903.27,51591.31,0.0,0.0,0.0,0.0,0.0,1502.83,4.0,755.45,2.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,314.9,314.9,7199.11,7199.11,0.0,7514.01,52584.62,5990.78,2988.39,69077.8,2468.41,3460.11,15306.5,46095.26,622.57,1124.95,69077.8,0.0,0.0,0.0,0.0,0.0,924.38,2.0,230.85,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,666.75,666.75,10266.57,10266.57,44.03,10977.34,69364.99,6298.65,3575.14,90216.12,8916.09,509.08,20072.01,58421.54,740.14,1557.25,90216.12,474.0,28320.0,23.59,21.78,1.81,981.31,1.66,286.16,0.42,0.42,0.0,3498.59,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,669.16,669.16,11827.64,11827.64,62.73,12559.53,87182.12,5479.37,4204.65,109425.67,4638.01,1738.32,27133.37,73162.65,851.59,1901.72,109425.67,629.0,29738.0,20.06,18.8,1.26,1237.4,1.67,441.99,0.55,0.55,12.91,4806.25,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,744.53,744.53,16297.52,16297.52,124.24,17166.28,124268.54,11659.9,4750.94,157845.67,8604.62,861.74,37847.52,107092.48,912.47,2526.83,157845.67,0.0,0.0,0.0,0.0,0.0,2477.03,2.28,791.34,0.74,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
