Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Long Term Borrowings,Short Term Borrowings,Intangible Assets,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2015-03-31,31.4,31.4,7315.6,7315.6,7347.0,48.3,430.2,532.7,1216.5,446.3,887.0,2551.1,10430.8,967.5,276.0,0.0,1243.6,2624.6,417.2,218.9,0.0,4504.3,265.0,1276.2,1187.7,1896.0,1141.7,159.9,5926.5,10430.8,309.6,417.8,122.9,1368.1,121.7,28.14,3220.9,17.6,286.6,54.2,1.3,0.1,1382.0,110.4,1457.4,64.9
2016-03-31,31.4,31.4,9503.5,9503.5,9534.9,5.0,377.5,397.4,1308.8,574.1,617.6,2500.5,12432.8,1148.7,150.7,178.6,1478.0,4449.5,495.8,142.2,29.1,6594.6,0.0,1191.5,1322.5,1831.5,282.6,1210.1,5838.2,12432.8,236.5,0.0,0.0,0.0,0.0,28.14,4464.5,0.0,0.0,14.9,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,30.5,30.5,8769.1,8769.1,8799.6,6.0,364.2,370.2,1339.9,535.8,754.3,2630.0,11799.8,1319.4,128.9,194.3,1642.6,3658.5,467.6,117.4,14.3,5900.4,268.1,1180.4,1186.2,1717.6,320.5,1226.6,5899.4,11799.8,264.6,0.0,0.0,0.0,0.0,27.33,3674.2,17.6,268.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,30.5,30.5,9950.8,9950.8,9981.3,6.6,420.4,427.0,2023.1,751.0,745.0,3519.1,13927.4,1141.1,313.2,176.4,1630.7,4311.5,490.5,110.0,50.1,6592.8,928.9,1225.8,1615.6,1887.8,364.7,1311.8,7334.6,13927.4,295.8,4142.1,0.0,0.0,1108.6,27.33,4347.8,18.1,928.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,29.5,29.5,9096.7,9096.7,9126.2,10.7,341.6,352.3,1577.5,878.7,774.9,3231.1,12709.6,1010.8,644.2,164.9,1819.9,3816.7,459.6,106.3,64.0,6266.5,237.1,1444.3,1567.5,1252.7,458.7,1482.8,6443.1,12709.6,433.7,4419.2,0.0,899.9,1069.3,27.33,3846.0,0.5,237.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,29.5,29.5,9239.9,9239.9,9269.4,54.8,326.8,381.6,1605.0,772.9,1291.1,3669.0,13320.0,1195.4,487.0,146.6,1829.0,3744.7,456.6,109.6,160.9,6300.8,296.8,1115.9,1413.0,2256.0,609.2,1328.3,7019.2,13320.0,378.4,2214.8,0.0,786.9,486.0,27.33,3762.1,0.0,296.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,29.5,29.5,9792.6,9792.6,9822.1,221.3,238.2,459.5,2223.0,1195.8,1073.1,4491.9,14773.5,1108.9,487.8,131.8,1728.5,3429.5,505.9,26.3,321.1,6011.3,1727.6,1298.5,1389.4,2450.5,525.5,1370.7,8762.2,14773.5,287.1,3041.44,0.0,860.6,1118.53,27.33,3452.5,0.9,1727.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,29.5,29.5,10658.4,10658.4,10687.9,171.9,244.9,416.8,2240.4,945.5,1119.8,4305.7,15410.4,1094.3,605.4,117.2,1816.9,4415.4,416.1,23.2,382.6,7054.2,1112.1,1729.3,1526.7,1705.4,929.9,1352.8,8356.2,15410.4,299.4,4417.4,0.0,1305.5,1307.9,27.33,4471.9,29.0,1112.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,29.5,29.5,10982.7,10982.7,11012.2,114.2,109.5,223.7,2725.3,1158.6,1139.6,5023.5,16259.4,1200.3,365.5,531.0,2096.8,4332.5,378.1,17.9,598.0,7423.3,690.1,1902.9,1902.9,2056.9,1060.3,1223.0,8836.1,16259.4,224.9,6159.2,0.0,1474.5,1375.9,27.33,4273.1,29.6,720.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,29.5,29.5,12033.7,12033.7,12063.2,80.0,118.4,198.4,2567.6,1182.1,1343.5,5093.2,17354.8,1112.9,224.0,657.2,1994.1,4327.9,287.7,15.3,806.4,7431.4,796.9,1893.4,2181.8,2592.7,1486.7,971.9,9923.4,17354.8,262.7,6779.0,0.0,1358.1,1517.8,27.33,4260.8,30.5,796.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
