Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Revaluation Reserves,Long Term Provisions,Short Term Provisions,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Equity Share Application Money,Capital Goods
2009-09-30,31.69,31.69,1211.92,1211.92,1243.61,953.16,169.91,0.0,1123.07,346.35,760.56,82.97,1290.29,3677.56,1256.86,0.0,242.31,1499.17,105.99,83.8,0.0,1.67,1690.63,1002.32,104.27,210.28,636.23,33.83,1986.93,3677.56,389.0,1172.3,0.08,152.5,0.0,0.0,15.71,95.39,0.0,0.0,100.41,0.0,0.0,0.0,20.59,0.0
2010-09-30,67.04,67.04,1712.45,1712.45,1779.49,1320.35,233.54,0.0,1553.89,395.5,1795.87,106.95,2527.98,5861.36,1571.05,0.0,410.46,1981.51,1639.28,93.11,0.0,9.98,3723.88,1135.95,315.94,23.47,616.03,46.09,2137.49,5861.36,1224.68,3372.6,0.06,730.98,0.0,33.49,5.01,1633.96,0.0,0.0,229.66,0.0,0.0,0.0,0.0,0.0
2012-03-31,67.13,67.13,1713.37,1713.37,1780.5,1755.98,220.39,32.96,2012.02,2229.88,780.53,738.95,3749.49,7542.02,2678.36,4.7,120.48,2803.54,2013.49,0.0,339.47,3.68,5160.17,1719.16,176.51,10.39,473.26,2.52,2381.85,7542.02,2095.42,83.8,0.24,3412.56,0.0,33.49,6.26,2003.4,0.0,2.69,0.14,965.62,19.08,1246.53,0.0,36.55
2013-03-31,67.13,67.13,1725.86,1725.86,1793.0,1195.77,243.09,0.67,1442.02,790.85,3086.02,830.91,4748.4,7983.42,2727.36,7.73,27.04,2762.14,2012.89,0.0,401.67,1.21,5177.9,2058.84,173.51,91.47,479.23,2.47,2805.52,7983.42,2019.0,73.94,0.0,3626.88,4.0,33.49,5.04,2003.4,0.0,2.49,40.61,2380.09,7.26,531.99,0.0,0.0
2014-03-31,67.13,67.13,1268.56,1268.56,1335.69,1186.76,71.01,0.0,1261.03,2188.94,1086.42,784.76,4060.39,6657.12,2689.58,6.26,24.37,2720.21,2013.96,0.0,387.36,0.26,5121.79,1003.39,248.13,70.97,211.54,1.3,1535.33,6657.12,2368.44,68.24,0.06,3064.16,46.43,33.49,5.3,2004.49,0.0,3.26,0.27,957.52,12.13,574.55,0.0,0.0
2015-03-31,92.88,92.88,1444.9,1444.9,1537.78,973.37,0.0,0.0,978.46,2177.27,1821.94,603.66,4603.19,7119.43,2552.89,1.95,26.7,2581.53,1947.47,83.49,413.66,0.18,5026.32,1452.29,283.22,91.42,266.09,0.09,2093.11,7119.43,2235.94,60.39,0.0,3605.48,2.28,33.49,3.9,1938.0,0.0,5.09,0.33,1462.52,12.96,1005.63,0.0,0.0
2016-03-31,92.88,92.88,1159.62,3133.16,3226.04,2064.17,0.0,0.0,2069.19,1206.03,2575.32,487.74,4269.55,9564.77,4390.85,0.08,29.42,4420.35,1948.97,229.47,442.91,0.09,7041.8,1935.24,384.44,21.29,181.92,0.09,2522.98,9564.77,2333.35,22.65,0.0,3544.7,1.22,33.49,8.09,1939.5,1973.54,5.02,0.47,1036.83,12.49,1060.4,0.0,0.0
2017-03-31,94.53,94.53,1030.84,2261.13,2355.65,3015.44,322.1,30.29,3367.83,376.11,2281.63,469.52,3127.26,8850.74,4159.66,0.04,32.68,4192.38,1960.81,0.0,173.38,261.8,6588.36,1342.97,589.03,45.77,36.97,247.64,2262.38,8850.74,2451.44,0.0,0.0,0.0,0.0,33.49,0.0,1960.81,1230.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,191.68,191.68,-407.06,699.86,891.54,2101.72,0.0,23.12,2124.85,166.21,2663.69,697.59,3527.49,6543.88,3861.22,0.04,26.92,3888.18,126.14,325.04,0.0,210.4,4549.77,929.65,699.01,36.04,31.6,297.82,1994.11,6543.88,418.98,1211.77,0.0,3618.88,0.0,33.49,0.0,126.14,1106.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,191.68,191.68,354.77,354.77,546.45,1969.13,0.0,53.41,2022.54,547.82,2663.09,1112.75,4323.66,6892.64,3801.58,0.04,100.35,3901.97,108.63,314.81,181.53,195.59,4702.53,1642.89,180.6,22.06,26.7,317.86,2190.11,6892.64,496.78,1941.67,0.0,2772.74,0.0,33.49,0.0,108.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
