Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12,Jun '12
Net Sales/Income from operations,5.15,5.59,1024.74,2.01,2.03,1.06,1.33,0.89,1.08,1.01,1.07,0.6,0.5,0.5,1.0,0.1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,5.15,5.59,1024.74,2.01,2.03,1.06,1.33,0.89,1.08,1.01,1.07,0.6,0.5,0.5,1.0,0.1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,2.77,3.86,5.02,3.52,4.29,1.65,1.45,0.9,1.23,0.85,0.88,0.83,0.89,0.56,0.63,0.76,0.2,0.02,0.02,0.02,0.02,0.02,0.04,0.04,0.09,0.3,0.32,0.32,0.33,0.28,0.47,0.22,1.53,1.52,1.53,1.62,1.04,1.1,1.25,1.47,1.0,--,--,--,0.59,0.96,0.94,1.05,1.01,1.14
Depreciation,0.58,0.79,0.98,0.98,0.99,0.99,0.94,0.62,0.55,0.55,0.55,0.53,0.1,--,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,175.05,269.82,1.91,81.24,0.39,3.27,5.45,106.89,43.68,0.78,208.45,1.02,0.46,0.28,0.26,0.27,0.31,0.13,0.11,0.08,0.17,0.14,0.24,0.12,0.12,0.21,0.1,0.11,0.12,0.21,0.11,0.16,0.2,0.11,0.1,0.39,0.48,0.21,0.18,0.32,0.43,0.17,0.13,0.08,0.28,0.08,0.12,0.09,0.25,0.04
"P/L Before Other Inc. , Int., Excpt. Items & Tax",-173.26,-268.87,1016.83,-83.73,-3.64,-4.85,-6.51,-107.52,-44.38,-1.18,-208.81,-1.79,-0.95,-0.33,0.1,-0.93,-0.51,-0.15,-0.12,-0.1,-0.18,-0.15,-0.28,-0.16,-0.21,-0.51,-0.42,-0.43,-0.45,-0.49,-0.57,-0.38,-1.73,-1.63,-1.64,-2.01,-1.52,-1.31,-1.43,-1.79,-1.43,-0.17,-0.13,-0.08,-0.87,-1.03,-1.06,-1.15,-1.26,-1.17
Other Income,0.12,0.03,3.86,3.8,226.98,220.86,204.19,1.23,0.64,101.22,0.17,47.31,0.03,0.03,0.23,0.67,0.63,0.21,0.21,0.18,0.6,0.51,0.28,0.4,0.09,--,0.0,0.01,0.0,0.01,0.03,0.18,0.01,0.03,--,2.0,1.79,1.7,1.31,0.84,0.95,1.13,1.08,1.02,0.64,0.55,0.57,0.61,0.64,0.66
"P/L Before Int., Excpt. Items & Tax",-173.13,-268.84,1020.69,-79.93,223.34,216.01,197.68,-106.29,-43.74,100.04,-208.64,45.52,-0.92,-0.31,0.33,-0.26,0.12,0.06,0.09,0.08,0.41,0.36,0.0,0.24,-0.12,-0.51,-0.41,-0.42,-0.45,-0.48,-0.54,-0.19,-1.72,-1.61,-1.64,-0.01,0.26,0.39,-0.12,-0.96,-0.48,0.96,0.95,0.94,-0.24,-0.48,-0.49,-0.54,-0.63,-0.52
Interest,10.13,14.1,9.11,9.02,9.02,8.45,7.86,6.94,5.57,5.38,3.51,1.47,0.03,--,--,--,--,--,0.0,-0.9,1.15,0.97,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.0,--,--,--,--,--,0.0,--,0.0,--,0.0,--
P/L Before Exceptional Items & Tax,-183.26,-282.94,1011.58,-88.95,214.32,207.56,189.82,-113.23,-49.31,94.66,-212.15,44.05,-0.95,-0.31,0.33,-0.26,0.12,0.06,0.09,0.98,-0.74,-0.62,0.0,0.24,-0.12,-0.51,-0.41,-0.42,-0.45,-0.48,-0.54,-0.19,-1.72,-1.61,-1.64,-0.01,0.26,0.39,-0.12,-0.96,-0.48,0.96,0.95,0.94,-0.24,-0.48,-0.49,-0.54,-0.63,-0.52
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,-183.26,-282.94,1011.58,-88.95,214.32,207.56,189.82,-113.23,-49.31,94.66,-212.15,44.05,-0.95,-0.31,0.33,-0.26,0.12,0.06,0.09,0.98,-0.74,-0.62,0.0,0.24,-0.12,-0.51,-0.41,-0.42,-0.45,-0.48,-0.54,-0.19,-1.72,-1.61,-1.64,-0.01,0.26,0.39,-0.12,-0.96,-0.48,0.96,0.95,0.94,-0.24,-0.48,-0.49,-0.54,-0.63,-0.52
Tax,-25.04,-38.26,148.49,-8.21,20.08,--,--,--,--,--,--,0.2,-0.05,--,0.05,-0.04,0.02,0.01,0.01,--,--,--,--,--,--,--,--,--,--,--,--,-0.05,--,--,--,-0.05,-0.08,0.04,--,-0.19,-0.55,0.33,0.29,0.27,0.14,0.02,-0.02,-0.03,0.02,0.01
P/L After Tax from Ordinary Activities,-158.23,-244.68,863.09,-80.74,194.24,207.56,189.82,-113.23,-49.31,94.66,-212.15,43.84,-0.9,-0.31,0.28,-0.22,0.1,0.05,0.08,0.98,-0.74,-0.62,0.0,0.24,-0.12,-0.51,-0.41,-0.42,-0.45,-0.48,-0.54,-0.14,-1.72,-1.61,-1.64,0.05,0.34,0.35,-0.12,-0.77,0.07,0.64,0.66,0.68,-0.38,-0.51,-0.47,-0.51,-0.65,-0.53
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,-158.23,-244.68,863.09,-80.74,194.24,207.56,189.82,-113.23,-49.31,94.66,-212.15,43.84,-0.9,-0.31,0.28,-0.22,0.1,0.05,0.08,0.98,-0.74,-0.62,0.0,0.24,-0.12,-0.51,-0.41,-0.42,-0.45,-0.48,-0.54,-0.14,-1.72,-1.61,-1.64,0.05,0.34,0.35,-0.12,-0.77,0.07,0.64,0.66,0.68,-0.38,-0.51,-0.47,-0.51,-0.65,-0.53
Equity Share Capital,276.45,276.45,276.45,276.45,276.45,276.45,276.45,276.45,276.45,276.45,276.45,276.45,276.45,276.45,276.45,276.45,276.45,276.45,276.45,276.45,276.45,276.45,276.45,276.45,276.45,276.45,276.45,276.45,276.45,276.45,276.45,276.45,276.45,276.45,276.45,276.45,276.45,276.45,276.45,265.29,265.29,265.29,254.59,254.59,254.59,254.59,254.59,254.59,254.59,254.59
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,-1.15,-1.77,6.25,-0.58,1.41,1.5,1.37,-0.82,-0.36,0.68,-1.53,0.32,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,-0.01,--,--,--,--,--,--,--,--,--,--,--,-0.01,-0.01,-0.01,--,--,--,--,--,--,--,0.01,--,--,--,--,--,-0.01,--
Diluted EPS,-1.15,-1.77,6.25,-0.58,1.41,1.5,1.37,-0.82,-0.36,0.68,-1.53,0.32,-0.01,--,--,--,--,--,--,0.01,-0.01,--,--,--,--,--,--,--,--,--,--,--,-0.01,-0.01,-0.01,--,--,--,--,--,--,--,0.01,--,--,--,--,--,-0.01,--
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,73.24,74.45,76.89,76.89,76.89,80.09,79.74,81.57,86.04,86.04,86.04,86.04,86.04
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,52.98,53.86,57.97,57.97,57.97,62.92,62.64,64.08,67.59,67.59,67.59,67.59,67.59
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,64.99,63.78,55.75,55.75,55.75,47.2,47.56,45.73,41.26,41.26,41.26,41.26,41.26
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,47.02,46.14,42.03,42.03,42.03,37.08,37.36,35.92,32.41,32.41,32.41,32.41,32.41
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
