Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12
Net Sales/Income from operations,1480.07,1185.25,1229.02,1414.53,1261.63,1078.26,1071.86,1147.68,1080.14,977.23,980.66,1009.64,1050.27,960.7,902.96,560.72,849.1,827.41,616.66,405.83,536.63,626.64,619.31,699.39,739.69,594.27,597.58,634.89,658.61,523.52,559.92,559.53,623.26,457.13,493.2,569.9,510.07,414.15,431.11,494.44,439.53,389.8,427.24,473.9,418.99,349.97,331.17,406.01,371.43,348.11
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2.45,1.9,2.78,3.23,2.13,2.3,4.84,2.07,5.56,4.01,3.8,3.45,2.96,2.87,2.15,7.29,0.94
Total Income From Operations,1480.07,1185.25,1229.02,1414.53,1261.63,1078.26,1071.86,1147.68,1080.14,977.23,980.66,1009.64,1050.27,960.7,902.96,560.72,849.1,827.41,616.66,405.83,536.63,626.64,619.31,699.39,739.69,594.27,597.58,634.89,658.61,523.52,559.92,559.53,623.26,459.58,495.1,572.68,513.3,416.28,433.41,499.29,441.61,395.37,431.25,477.7,422.44,352.93,334.04,408.16,378.72,349.04
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,236.21,369.57,319.74,441.2,341.61,306.0,335.84,316.79,304.83,277.77,297.06,343.77,414.47,405.6,378.25,176.45,304.93,271.62,247.0,49.37,207.08,179.55,197.33,164.85,211.09,202.8,192.11,174.83,173.54,142.68,151.19,160.32,160.86,121.97,159.9,142.74,114.19,122.19,119.85,146.67,110.5,117.2,159.12,123.77,128.42,129.64,129.15,107.03,104.38,110.73
Purchase of Traded Goods,768.96,489.04,601.73,500.96,557.57,445.27,424.58,447.94,479.23,302.74,416.22,369.3,304.58,387.02,278.4,208.89,447.87,326.95,215.13,56.57,298.24,222.78,256.53,244.75,334.85,242.27,238.43,247.7,307.31,230.82,191.65,275.88,285.61,195.45,216.1,250.3,211.11,171.61,167.69,195.97,202.0,157.33,190.2,228.81,185.97,155.32,126.55,167.54,208.13,179.55
Increase/Decrease in Stocks,5.82,-59.95,-91.42,9.38,-24.16,-15.24,-29.67,32.86,-15.02,121.29,-13.35,-3.81,29.32,-126.25,-33.0,-9.76,-170.56,-41.3,-40.17,181.32,-147.58,16.25,-43.7,62.11,-25.13,-29.18,-9.98,19.39,-15.07,-19.81,36.86,-30.38,-2.56,-12.24,-42.83,2.68,30.4,-6.2,21.44,17.41,15.27,13.45,-39.1,1.11,4.63,-27.0,-13.87,28.33,-26.81,-37.34
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,125.74,120.93,119.56,113.2,100.21,77.99,99.74,98.82,76.01,76.32,65.0,77.53,63.57,74.99,70.72,57.61,57.05,62.74,50.23,54.64,43.15,58.41,45.02,60.23,52.54,49.15,50.58,49.76,42.05,43.14,42.19,42.82,39.86,33.79,32.69,31.17,28.24,28.69,31.21,30.17,27.87,27.4,27.47,25.43,20.63,20.49,22.02,21.67,18.24,17.35
Depreciation,20.47,19.65,17.01,16.55,17.02,16.87,16.44,16.62,16.04,15.5,14.0,12.9,12.32,13.43,10.81,10.93,11.66,9.42,8.36,7.88,7.09,7.33,6.93,6.74,5.55,5.58,5.46,5.23,5.12,4.78,4.7,4.51,4.2,4.2,3.95,3.88,3.83,3.83,3.84,3.86,4.03,3.89,3.81,3.71,3.17,3.15,2.85,2.87,2.88,2.87
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,40.02,34.6,43.58,31.29,30.1,25.64,35.94,22.23,28.21,24.45,33.0,22.86,20.82,18.58,30.8,32.29,23.82
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,222.54,182.86,188.38,221.95,186.54,179.01,161.08,163.03,148.63,139.31,145.03,140.95,127.52,134.95,115.04,84.18,99.88,93.82,70.54,54.87,90.56,90.23,86.56,96.32,88.2,84.27,76.59,96.74,112.91,77.3,71.01,78.24,80.13,42.01,41.35,38.4,34.64,35.27,31.11,29.65,28.47,30.12,33.47,25.12,24.51,24.54,24.55,21.84,22.54,29.22
"P/L Before Other Inc. , Int., Excpt. Items & Tax",100.33,63.15,74.02,111.29,82.84,68.36,63.85,71.62,70.41,44.31,56.68,68.99,98.5,70.97,82.74,32.43,98.27,104.15,65.56,1.19,38.07,52.09,70.64,64.38,72.6,39.38,44.39,41.24,32.75,44.62,62.32,28.14,55.16,34.39,49.33,59.93,59.62,30.79,32.63,39.61,31.23,17.77,31.83,36.74,32.26,25.98,24.2,28.07,17.07,22.85
