Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16
Net Sales/Income from operations,8539.5,8847.04,10063.56,7227.11,7758.28,9958.11,8632.56,7659.11,8648.76,8763.98,10736.16,8621.98,8907.0,10410.02,11354.41,7573.55,9139.16,9491.35,13661.83,7668.77,7828.48,11911.06,16737.12,5056.29,7029.46,11009.07,14584.27,7053.34,8557.68,9707.39,12777.65,9744.41,5715.56,6660.45,708.66
Other Operating Income,2627.18,3483.34,2758.99,2971.48,3093.02,3100.97,2454.93,1749.09,2600.03,3206.32,1890.63,2024.86,2271.13,2669.96,1794.6,2286.21,2624.47,2767.35,1142.83,1909.49,2018.99,1795.11,1401.91,1597.93,1521.5,2171.18,1110.73,1780.7,1195.89,1254.08,1162.6,1773.0,884.25,1156.3,258.09
Total Income From Operations,11166.68,12330.38,12822.55,10198.59,10851.3,13059.08,11087.49,9408.2,11248.79,11970.3,12626.79,10646.84,11178.13,13079.98,13149.01,9859.76,11763.63,12258.7,14804.66,9578.26,9847.47,13706.17,18139.03,6654.22,8550.96,13180.25,15695.0,8834.04,9753.57,10961.47,13940.25,11517.41,6599.81,7816.75,966.75
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,39.82,28.73,36.5,66.7,58.75,47.05,34.0,76.14,90.91,39.58,11.96,145.74,13.71,32.97,21.05,45.51,50.45,15.11,27.88,43.0,-0.28,130.74,25.39,28.08,33.83,25.76,29.72,32.86,18.58,27.54,23.59,21.26,27.87,22.85,--
Depreciation,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,-67.4,64.75,62.31,-86.13,20.82,50.07,157.92,2641.51,36.39,-60.39,225.29,1569.09,-3.14,64.34,189.87,-380.15,85.0,148.74,197.98,367.87,336.88,132.68,410.36,266.03,181.85,75.88,57.74,17.12,-79.23,92.94,96.87,-60.75,26.77,284.48,9.06
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
