Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14
Net Sales/Income from operations,2286.83,2871.97,2500.1,2365.37,2494.59,2634.59,2253.17,2237.99,2296.72,2461.49,2058.35,2006.31,2180.84,2363.99,2278.67,1917.47,1778.75,1984.1,1550.85,1687.52,1596.4,1894.65,1498.51,1467.84,1536.03,1440.22,1280.36,1165.27,1422.52,1568.02,1127.15,1005.73,1140.94,1305.68,1141.87,825.97,975.36,1080.09,932.96,743.12,782.16
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19.69,21.54,17.87,30.29,27.89,27.83,18.76,16.6,18.85
Total Income From Operations,2286.83,2871.97,2500.1,2365.37,2494.59,2634.59,2253.17,2237.99,2296.72,2461.49,2058.35,2006.31,2180.84,2363.99,2278.67,1917.47,1778.75,1984.1,1550.85,1687.52,1596.4,1894.65,1498.51,1467.84,1536.03,1440.22,1280.36,1165.27,1422.52,1568.02,1127.15,1005.73,1160.63,1327.22,1159.74,856.26,1003.25,1107.92,951.72,16.6,801.01
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,693.13,732.29,761.23,652.71,700.73,707.12,689.37,658.88,688.78,674.81,607.31,766.0,733.19,696.75,653.81,576.59,611.99,391.54,466.4,426.37,468.7,441.43,463.37,426.1,396.37,371.05,303.7,353.02,363.88,233.96,376.83,307.07,307.97,315.24,301.98,271.74,197.89,232.95,267.95,198.71,184.84
Purchase of Traded Goods,120.9,315.4,207.36,269.96,331.18,282.39,245.17,234.98,268.89,255.35,183.91,245.89,269.46,298.72,262.97,207.39,244.84,257.38,210.18,178.6,186.38,217.7,201.7,190.16,182.14,126.16,189.63,233.83,273.98,147.11,184.03,223.48,170.79,203.13,177.64,167.24,109.57,170.37,164.76,143.97,124.64
Increase/Decrease in Stocks,-88.15,39.37,-85.66,8.67,-27.41,10.66,-63.23,44.92,-38.34,124.38,126.77,-114.87,-174.82,-67.05,-4.16,-20.08,-207.36,109.56,-183.41,77.58,-101.44,83.93,-93.76,-10.32,38.94,56.82,1.12,-107.84,-128.89,204.51,-59.2,-146.92,-50.93,4.31,-18.38,-86.22,56.44,47.97,-52.25,-12.89,29.37
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,418.48,429.76,425.9,343.41,407.63,395.18,414.06,346.4,369.82,412.97,387.03,330.68,340.08,361.5,402.23,290.96,288.2,295.13,284.43,225.55,282.13,275.5,283.58,244.95,244.03,228.35,242.76,219.55,223.27,222.11,196.7,159.0,212.01,201.68,188.57,137.69,176.26,185.94,173.55,145.18,114.95
Depreciation,67.61,62.59,64.35,69.1,58.12,59.02,58.11,57.16,58.14,57.74,56.81,55.01,58.43,53.82,51.72,49.38,50.08,51.62,47.85,63.76,42.7,40.25,40.13,40.98,35.11,33.37,31.61,30.18,28.3,25.75,23.42,19.95,19.73,19.28,17.52,18.11,17.76,20.65,17.01,16.68,16.97
