Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21
Net Sales/Income from operations,802.87,624.4,664.61,611.45,578.65,561.68,580.15,544.59,502.91,489.79,494.08,472.67,411.07,467.12
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,802.87,624.4,664.61,611.45,578.65,561.68,580.15,544.59,502.91,489.79,494.08,472.67,411.07,467.12
EXPENDITURE,,,,,,,,,,,,,,
Consumption of Raw Materials,172.38,148.92,152.11,140.56,133.8,125.45,126.57,120.33,112.47,106.35,105.1,106.18,95.44,107.39
Purchase of Traded Goods,5.82,11.09,11.78,11.69,9.95,10.11,11.13,11.15,10.6,8.15,7.72,9.44,7.5,8.08
Increase/Decrease in Stocks,3.21,-0.27,0.22,-0.52,-0.16,0.52,0.04,-1.02,-1.9,0.95,1.39,-0.85,-0.8,-0.72
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,185.42,158.23,168.1,157.5,149.17,147.12,148.58,145.72,131.28,133.61,134.85,131.9,124.86,126.25
Depreciation,37.98,23.44,24.91,23.3,23.39,21.73,21.54,20.43,20.35,21.62,22.27,21.84,22.0,22.16
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,10.78,--,--,--,2.78,--,--,4.68,-1.25,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,240.85,166.91,182.09,169.92,152.89,155.96,165.52,159.06,144.85,145.25,141.86,120.51,118.44,114.78
"P/L Before Other Inc. , Int., Excpt. Items & Tax",157.22,116.09,125.4,109.0,98.83,100.8,106.76,88.92,82.47,73.86,80.87,78.98,44.87,89.18
Other Income,25.67,22.17,23.58,26.7,32.55,25.83,26.24,33.2,28.1,12.52,13.18,7.88,12.15,7.64
"P/L Before Int., Excpt. Items & Tax",182.88,138.25,148.98,135.7,131.38,126.63,133.0,122.12,110.57,86.39,94.05,86.86,57.03,96.82
Interest,7.1,5.94,5.37,5.95,6.21,5.76,6.11,6.38,6.38,6.49,6.64,6.65,6.49,6.98
P/L Before Exceptional Items & Tax,175.78,132.31,143.61,129.74,125.17,120.87,126.89,115.74,104.19,79.89,87.41,80.21,50.53,89.84
Exceptional Items,-49.9,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,125.89,132.31,143.61,129.74,125.17,120.87,126.89,115.74,104.19,79.89,87.41,80.21,50.53,89.84
Tax,32.48,33.01,39.14,33.46,32.93,33.53,31.8,29.53,23.24,21.12,22.09,22.01,12.43,21.69
P/L After Tax from Ordinary Activities,93.41,99.31,104.47,96.28,92.24,87.34,95.1,86.21,80.96,58.77,65.32,58.2,38.11,68.15
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,93.41,99.31,104.47,96.28,92.24,87.34,95.1,86.21,80.96,58.77,65.32,58.2,38.11,68.15
Equity Share Capital,53.72,53.72,53.71,53.7,53.7,53.69,53.68,53.65,53.64,53.64,50.66,53.64,50.64,50.64
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,
Basic EPS,3.48,3.7,3.89,3.58,3.43,3.25,3.54,3.21,3.02,2.25,2.58,2.17,1.5,2.69
Diluted EPS,3.48,3.7,3.89,3.58,3.43,3.25,3.54,3.21,3.02,2.25,2.58,--,1.5,2.69
EPS After Extra Ordinary,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,
