Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12
Net Sales/Income from operations,4518.35,4289.56,4396.06,3879.65,4903.52,4155.19,4042.95,4683.94,6235.14,5575.95,4956.51,4109.88,3699.21,2612.38,2390.7,2295.31,2047.88,2316.94,1621.05,2606.0,2225.87,2456.6,2409.48,2266.98,2353.52,2321.49,1943.48,1970.93,1985.06,1802.36,1560.28,2209.36,1670.88,1768.95,1537.2,2068.94,2103.34,2556.48,1898.39,2020.79,1960.41,2204.77,1497.58,1913.68,1403.35,1815.24,1435.19,2171.13,1560.73,939.58
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6.88,9.3,3.18,3.79,8.74,7.32,2.91,3.31,4.94,9.35,8.57,7.04,8.11,4.15,4.79,3.09,5.1,7.1,728.99
Total Income From Operations,4518.35,4289.56,4396.06,3879.65,4903.52,4155.19,4042.95,4683.94,6235.14,5575.95,4956.51,4109.88,3699.21,2612.38,2390.7,2295.31,2047.88,2316.94,1621.05,2606.0,2225.87,2456.6,2409.48,2266.98,2353.52,2321.49,1943.48,1970.93,1985.06,1802.36,1560.28,2216.24,1680.18,1772.13,1540.99,2077.68,2110.66,2559.39,1901.7,2025.73,1969.76,2213.34,1504.62,1921.79,1407.5,1820.03,1438.28,2176.23,1567.83,1668.57
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,1473.83,1562.17,1195.78,1415.49,1839.29,1659.49,1434.23,1896.79,2504.76,2596.02,1842.03,1885.54,1570.52,1136.04,910.73,870.93,797.94,740.34,613.46,921.13,935.46,972.09,947.54,1018.2,911.18,1014.02,936.61,827.82,779.23,717.86,670.98,749.5,722.9,750.63,586.09,710.31,979.43,999.39,810.32,763.01,871.39,795.02,683.07,690.16,652.66,737.83,565.46,605.71,701.43,694.06
Purchase of Traded Goods,852.35,1220.34,1235.74,904.15,1479.66,766.96,1160.35,1037.98,35.27,1783.26,190.92,1002.36,559.21,4.89,175.75,152.35,13.16,100.6,483.1,-25.6,-0.65,5.69,314.99,490.82,5.26,300.29,1.78,1.42,4.41,98.95,108.88,4.42,32.21,93.07,95.98,112.7,136.1,362.99,255.49,86.07,133.58,171.55,134.68,29.93,2.98,262.69,-11.48,-24.53,303.21,584.37
Increase/Decrease in Stocks,493.0,-277.34,509.79,-97.54,-283.76,33.74,-178.88,-182.11,1113.87,-1399.96,721.16,-872.54,-122.05,146.93,-11.93,-17.77,20.46,336.05,-369.47,183.05,123.12,346.11,-49.03,-474.63,268.09,-209.11,-189.62,82.89,83.83,32.23,-184.31,342.39,-39.95,-86.82,-68.69,243.15,-224.44,-73.26,-177.88,88.71,-82.35,150.27,-164.16,193.54,-49.26,8.42,156.91,579.2,-297.28,-421.69
Power & Fuel,965.9,--,823.06,965.92,--,--,--,--,--,1693.89,--,--,1000.77,--,--,612.86,565.28,501.5,442.61,698.51,672.0,697.34,691.02,653.5,652.03,703.83,685.63,621.01,596.11,525.36,499.4,533.86,397.8,512.86,443.3,509.98,655.09,711.7,464.66,389.41,397.46,353.98,327.88,325.05,316.02,327.07,278.89,297.41,311.32,310.06
Employees Cost,156.28,155.12,141.23,128.94,132.07,142.89,138.88,181.87,173.7,164.27,172.53,190.71,162.14,145.59,152.84,137.91,148.91,141.94,135.07,192.17,143.24,140.55,141.3,160.97,135.5,146.35,148.59,149.49,141.89,140.87,141.5,146.19,123.58,117.55,116.32,134.61,120.31,116.91,120.61,141.71,123.05,144.47,117.01,115.24,115.05,99.76,111.95,119.26,112.78,119.08
Depreciation,63.2,61.62,59.76,64.46,56.49,56.1,56.05,59.34,51.14,56.25,45.39,46.38,45.49,45.89,45.16,45.66,45.45,42.93,42.59,43.74,47.43,41.23,38.64,39.76,39.81,38.47,37.65,34.35,32.96,35.06,34.67,35.87,35.12,36.15,33.96,43.56,34.5,32.8,34.27,92.46,45.99,95.45,24.22,43.84,32.93,33.18,31.8,71.98,34.04,33.92
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,398.1,1427.76,374.59,367.33,1652.17,1446.19,1359.12,1552.82,1969.23,333.49,1596.56,1560.27,305.58,993.51,956.64,304.95,299.91,297.62,218.46,268.33,269.76,247.96,276.68,292.06,253.78,270.31,266.35,263.5,268.19,223.3,257.09,330.57,335.12,284.64,272.66,276.87,315.22,326.08,296.75,368.15,335.06,339.58,234.52,304.18,244.94,287.73,285.34,362.61,303.86,237.65
"P/L Before Other Inc. , Int., Excpt. Items & Tax",115.69,139.89,56.11,130.9,27.6,49.82,73.2,137.25,387.17,348.73,387.92,297.16,177.55,139.53,161.51,188.42,156.77,155.96,55.23,324.67,35.51,5.63,48.34,86.3,87.87,57.33,56.49,-9.55,78.44,28.73,32.07,73.44,73.4,64.05,61.37,46.5,94.45,82.78,97.48,96.21,145.58,163.02,147.4,219.85,92.18,63.35,19.41,164.59,98.47,111.12
Other Income,42.17,42.6,30.14,28.48,37.34,66.95,32.66,22.48,38.35,21.57,60.9,30.78,43.39,35.72,26.56,46.93,25.04,32.09,28.59,55.91,19.7,26.35,24.81,30.7,20.44,16.05,12.48,15.79,21.51,14.98,8.96,20.62,18.94,16.9,16.74,46.8,18.85,28.96,17.6,32.91,13.94,16.64,10.87,35.45,10.48,14.15,16.96,21.85,12.76,25.53
"P/L Before Int., Excpt. Items & Tax",157.86,182.49,86.25,159.38,64.94,116.77,105.86,159.73,425.52,370.3,448.82,327.94,220.94,175.25,188.07,235.35,181.81,188.05,83.82,380.58,55.21,31.98,73.15,117.0,108.31,73.38,68.97,6.24,99.95,43.71,41.03,94.06,92.34,80.95,78.11,93.3,113.3,111.74,115.08,129.12,159.52,179.66,158.27,255.3,102.66,77.5,36.37,186.44,111.23,136.65
