Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Borrowings,Foreign Currency Monetary Item Translation Difference A/C,Short Term Borrowings,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2004-03-31,104.5,104.5,11.87,11.87,116.37,1.42,0.0,0.0,1.42,0.0,7.87,3.74,11.61,129.4,10.37,0.0,0.0,0.0,10.37,79.4,0.0,0.0,89.77,0.0,0.98,28.49,10.16,0.0,39.63,129.4,0.02,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,104.5,104.5,21.46,21.46,125.96,1.03,0.0,0.0,1.03,0.0,10.4,8.47,18.87,145.86,10.81,0.0,0.0,0.0,10.81,75.07,0.0,0.0,85.88,0.0,1.81,43.03,15.14,0.0,59.98,145.86,1.27,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,104.5,104.5,36.6,36.6,141.1,0.52,0.0,0.0,0.52,0.0,11.97,0.61,12.57,154.19,8.93,0.0,0.0,0.0,8.93,52.37,0.0,0.0,61.3,0.0,1.86,83.17,7.87,0.0,92.89,154.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,104.5,104.5,48.12,48.12,152.62,0.0,0.0,0.0,0.0,0.0,13.27,8.32,21.59,174.21,6.05,0.0,0.0,0.0,6.05,107.44,0.0,0.0,113.92,0.0,2.38,54.61,3.3,0.0,60.29,174.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,104.5,104.5,72.29,72.29,176.79,0.0,0.0,0.0,0.0,0.0,17.1,13.18,30.27,207.06,4.11,0.0,0.0,0.0,4.11,162.64,0.0,0.0,168.48,0.0,3.47,30.25,4.87,0.0,38.58,207.06,0.0,0.0,0.0,0.0,162.9,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,104.5,104.5,93.5,93.5,198.0,0.0,0.0,0.0,0.0,0.0,20.05,13.38,33.43,231.44,10.98,0.0,0.0,0.0,10.98,121.58,0.0,0.0,134.52,0.0,2.87,88.6,5.45,0.0,96.91,231.44,18.52,0.3,0.0,121.4,1.0,0.0,0.0,1.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,104.5,104.5,126.39,126.39,230.89,0.0,0.0,0.0,0.0,0.0,22.5,15.86,38.37,269.25,11.91,0.0,0.0,0.0,11.91,222.51,0.0,0.0,237.07,0.0,4.6,20.54,7.04,0.0,32.18,269.25,18.85,0.21,0.0,225.23,1.0,0.0,0.0,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,104.5,104.5,159.85,159.85,264.35,0.0,19.39,0.66,20.05,0.05,5.18,16.75,21.98,306.38,7.28,0.28,0.0,0.0,7.55,58.76,0.13,0.0,69.08,146.12,4.86,81.25,3.05,2.02,237.3,306.38,23.69,0.0,0.02,0.0,0.0,0.0,0.0,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,104.5,104.5,189.09,189.09,293.59,0.0,20.71,0.67,21.39,0.06,9.29,19.86,29.21,344.19,5.22,0.02,0.0,0.0,5.23,94.07,1.4,0.0,103.7,198.1,4.43,30.8,5.16,1.99,240.49,344.19,24.74,0.0,0.03,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,104.5,104.5,205.74,205.74,310.24,0.0,21.53,0.0,21.53,4.11,21.32,26.56,51.99,383.76,6.13,1.72,0.0,0.0,7.85,62.06,10.53,0.0,85.03,261.37,3.5,30.09,1.79,1.99,298.73,383.76,26.02,0.1,0.0,0.0,36.31,0.0,12.81,4.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
