Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Government/Other Grants,Deferred Tax Liabilities [Net],Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Short Term Borrowings,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Long Term Borrowings,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2007-03-31,0.05,0.05,-0.01,-0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.24,1.19,0.0,0.0,0.0,1.19,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.04,0.0,0.0,0.04,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,9.48,9.48,158.2,158.2,167.68,0.0,0.0,23.87,98.39,0.0,27.14,125.53,317.09,169.76,0.0,4.31,0.0,174.07,8.66,0.4,0.0,0.0,183.13,0.0,31.03,75.78,11.63,15.52,0.0,133.95,317.09,117.75,2.83,9.44,18.63,9.58,6.18,2.2,0.0,0.0,3.64,35.62,0.0,18.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.23,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,9.48,9.48,188.18,188.18,197.66,0.0,0.0,60.98,53.58,0.0,17.7,76.28,334.91,191.4,0.0,3.88,0.0,195.28,9.01,1.77,0.0,0.0,206.06,0.0,46.3,70.26,1.28,11.01,0.0,128.85,334.91,30.55,3.0,6.32,34.33,21.77,6.61,2.2,0.0,0.0,5.77,33.41,0.0,7.44,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.2,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,9.48,9.48,260.84,260.84,270.32,0.0,0.0,8.51,86.1,0.0,21.78,115.08,393.9,180.16,0.0,6.61,0.0,186.77,2.2,5.26,0.0,0.0,194.24,0.0,46.07,131.43,2.38,19.78,0.0,199.66,393.9,78.93,2.03,0.0,53.67,22.39,0.0,2.2,0.0,0.0,8.51,42.65,0.0,1.55,7.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,9.48,9.48,377.24,377.24,386.73,0.04,13.25,21.45,84.0,2.02,13.8,100.39,508.56,180.3,0.1,9.92,0.0,190.31,2.2,0.0,15.82,0.0,208.33,10.0,79.86,171.18,12.86,26.28,0.05,300.23,508.56,97.79,2.02,3.56,112.37,24.96,0.0,2.2,10.01,0.0,8.15,76.65,1.87,18.02,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,9.48,9.48,519.62,519.62,529.11,0.06,11.62,22.62,108.02,2.52,14.69,126.11,677.83,229.75,0.48,12.76,0.0,243.0,2.2,0.0,18.27,0.0,263.47,21.0,115.76,157.5,81.87,38.13,0.11,414.36,677.83,77.27,8.62,7.11,143.17,37.05,0.0,2.2,21.02,0.0,10.93,81.87,3.88,18.02,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,9.48,9.48,639.31,639.31,648.8,0.04,14.27,26.02,102.47,2.98,12.86,118.31,793.12,262.09,1.41,25.42,0.0,288.92,2.2,0.0,15.66,0.0,306.78,23.25,135.62,189.84,99.13,38.43,0.07,486.34,793.12,94.08,14.78,7.11,194.33,41.71,0.0,2.2,23.27,0.0,11.71,98.0,5.41,9.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,9.48,9.48,745.7,745.7,755.18,0.04,16.61,32.79,142.03,4.98,12.81,159.81,947.78,303.45,3.01,11.1,0.0,317.56,2.2,0.0,23.69,0.0,343.45,48.0,112.44,231.47,155.41,56.34,0.67,604.33,947.78,85.06,16.97,7.11,409.86,62.45,0.0,2.2,48.07,0.0,16.14,155.53,0.68,3.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,9.48,9.48,853.55,853.55,863.04,0.03,18.04,34.52,193.58,7.63,14.71,215.92,1113.48,319.93,3.8,17.63,0.0,341.37,2.2,0.0,22.92,0.0,366.49,37.0,117.97,299.15,223.05,68.13,1.69,746.99,1113.48,19.27,18.87,7.11,431.68,60.71,0.0,2.2,37.03,0.0,16.45,134.29,4.73,6.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,9.48,9.48,1058.3,1058.3,1067.78,0.0,13.2,23.26,346.22,77.32,8.61,432.16,1523.25,330.44,4.65,37.45,0.0,372.54,0.0,0.0,4.56,29.69,406.8,218.35,175.64,436.96,213.04,1.22,71.25,1116.45,1523.25,35.5,35.47,8.54,556.83,79.99,0.0,0.0,218.35,0.06,10.06,284.67,2.1,10.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
