Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Deferred Tax Assets [Net],Long Term Loans And Advances,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2004-03-31,20.0,20.0,166.83,166.83,186.83,151.79,85.1,0.0,0.0,236.89,35.16,260.18,17.51,65.29,378.14,809.95,271.45,88.84,4.45,0.0,0.0,364.74,2.67,8.09,394.22,0.0,126.25,154.93,33.15,101.4,0.0,415.73,809.95,51.24,3.1,0.35,11.72,0.0,2.67,0.0,0.0,0.0,0.0,0.0,0.0,8.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.72,0.0,24.68,0.0,0.0,7.16
2015-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,27.16,27.16,2309.25,2309.25,2336.41,0.0,40.82,15.42,29.67,85.91,22.57,721.3,431.25,26.47,1201.59,3623.91,759.46,29.04,33.31,61.17,4.56,887.54,1486.15,200.78,2574.47,582.9,300.36,46.13,44.52,6.8,68.73,1049.44,3623.91,39.88,0.0,0.0,0.0,16.8,1469.39,0.0,582.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,27.21,27.21,3895.38,3895.38,3922.59,0.0,79.22,30.36,26.13,135.71,67.44,764.49,607.52,42.51,1481.96,5540.26,832.43,33.41,265.01,108.76,4.21,1243.82,2658.12,277.96,4179.9,883.61,322.45,48.94,20.61,0.34,84.41,1360.36,5540.26,533.61,233.79,0.0,177.01,2360.46,0.0,883.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,27.26,27.26,5344.97,5344.97,5372.23,0.0,142.97,55.72,29.12,227.81,85.98,1170.47,890.97,47.21,2194.63,7794.67,1454.76,38.66,141.89,191.32,3.86,1830.49,3232.59,207.17,5270.25,633.4,379.23,78.02,1208.82,0.28,224.67,2524.42,7794.67,456.72,369.13,0.0,213.54,3185.8,0.09,633.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,27.28,27.28,7099.17,7099.17,7126.45,0.0,276.49,73.23,23.0,372.72,76.38,1231.1,613.11,57.65,1978.24,9477.41,1688.32,178.98,272.14,177.6,3.51,2320.55,2577.72,194.71,5092.98,468.81,605.34,106.61,2940.07,1.29,262.31,4384.43,9477.41,422.79,430.69,0.0,343.95,2511.63,0.09,468.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,27.3,27.3,8248.04,8248.04,8275.34,0.0,252.04,169.31,21.2,442.55,0.0,1020.77,764.14,76.21,1861.12,10579.01,2180.76,184.83,26.75,285.42,3.16,2680.92,1413.08,148.41,4242.41,2512.5,518.05,133.97,2926.38,0.12,245.58,6336.6,10579.01,167.35,392.75,0.0,709.47,1345.11,5.13,2512.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,27.33,27.33,9677.67,9677.67,9705.0,0.0,221.13,247.51,22.56,491.2,0.0,1692.13,646.85,89.73,2428.71,12624.91,1888.3,535.06,59.78,250.38,0.0,2733.52,968.71,174.99,3877.22,1076.08,769.13,256.18,5798.91,459.16,388.23,8747.69,12624.91,197.98,337.27,0.0,682.82,0.0,0.0,1076.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,27.34,27.34,10767.23,10767.23,10794.57,0.0,222.86,349.75,38.5,611.11,5.98,1764.46,958.56,149.87,2878.87,14284.55,1891.49,509.14,133.38,370.8,0.0,2904.81,5525.26,356.68,8786.75,424.7,898.37,1169.66,26.62,2671.94,306.51,5497.8,14284.55,346.65,458.92,0.0,1475.92,0.0,0.0,424.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,27.35,27.35,12859.55,12859.55,12886.9,62.96,303.4,475.83,101.34,943.53,35.84,1752.7,1102.16,154.37,3045.07,16875.5,2138.4,461.88,74.16,394.32,0.0,3068.76,10059.71,247.12,13375.59,219.89,910.94,702.02,795.89,588.94,282.23,3499.91,16875.5,855.77,642.32,0.0,1694.28,0.0,0.0,219.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
