Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Equity Share Application Money,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Intangible Assets Under Development,Fixed Assets,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Employees Stock Options,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Short Term Loans And Advances,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Borrowings,Foreign Currency Monetary Item Translation Difference A/C,Short Term Borrowings,Capital Work-In-Progress,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2012-03-31,25.17,25.17,577.13,577.13,602.3,0.0,0.0,0.0,17.96,17.96,41.35,39.36,536.71,617.42,1237.67,17.77,8.32,0.0,26.08,0.0,110.53,492.02,11.49,1.73,0.22,1127.14,1237.67,18.17,1.9,33.21,1.11,0.0,0.0,22.8,5.22,35.6,456.42,0.0,27.71,12.43,44.31,621.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,25.24,25.24,676.76,676.76,702.0,0.0,0.0,0.0,15.0,15.0,59.74,52.7,637.43,749.87,1466.87,17.01,1.72,0.0,18.72,0.0,131.29,597.83,19.22,0.86,0.89,1335.58,1466.87,16.49,2.03,44.28,0.73,0.0,0.0,24.15,44.25,40.0,557.83,0.0,66.75,12.8,33.02,716.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,25.24,25.24,876.02,876.02,901.26,0.0,0.0,0.0,15.0,15.0,147.72,57.36,0.0,205.08,1121.34,26.26,1.54,0.2,28.0,0.0,291.0,606.18,15.48,1.04,101.31,830.34,1121.34,10.84,4.02,50.32,0.0,0.9,0.0,43.27,87.9,190.0,416.18,0.0,130.39,12.81,119.8,106.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,25.24,25.24,1094.65,1094.65,1119.89,0.0,0.0,0.0,15.0,15.0,95.09,81.77,0.0,176.86,1311.75,24.38,9.42,0.1,33.89,0.0,384.05,488.84,16.58,2.57,170.97,927.7,1311.75,1.9,6.26,65.42,0.0,0.89,0.0,47.27,116.15,137.87,350.97,0.0,161.68,13.28,175.2,248.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,25.16,25.16,1126.06,1126.06,1151.22,0.0,0.0,0.0,15.0,15.0,171.98,84.52,0.0,256.5,1422.72,22.77,8.39,1.1,32.26,0.0,303.39,825.93,38.57,0.98,81.72,1119.33,1422.72,27.64,7.74,80.52,0.0,0.88,0.0,47.26,114.82,327.87,498.06,0.0,159.86,13.89,97.38,172.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,25.17,25.17,1397.77,1397.77,1422.94,0.0,0.0,0.0,0.8,0.8,96.06,79.69,0.1,175.85,1599.59,22.63,8.55,2.42,33.6,0.0,280.77,1067.86,85.09,1.27,1.85,1318.83,1599.59,41.96,9.41,92.59,0.0,45.23,0.0,47.79,123.76,362.74,705.12,0.0,168.8,9.35,69.02,162.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,105.28,105.28,2138.99,2138.99,2253.91,0.0,4.22,34.89,0.89,40.0,111.58,66.65,0.0,178.23,2472.14,21.88,9.05,5.96,36.89,250.1,286.99,2057.74,102.98,2.06,22.37,2185.15,2472.14,60.49,16.79,0.0,0.0,14.09,39.48,0.0,0.0,0.0,2057.74,9.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,106.29,106.29,2964.3,2964.3,3070.59,0.13,2.84,36.13,1.01,39.98,47.36,65.69,0.0,113.05,3223.75,25.63,14.07,3.17,42.87,83.09,125.96,2934.96,102.86,31.99,27.98,3097.79,3223.75,56.1,17.21,0.0,0.0,13.23,39.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,106.4,106.4,3922.86,3922.86,4029.26,0.0,0.0,46.99,7.25,54.24,46.73,178.37,0.0,225.1,4308.6,141.39,15.32,4.6,161.31,59.48,242.46,3944.51,64.58,27.1,29.95,4066.14,4308.6,47.94,18.55,0.0,0.0,33.77,39.48,0.0,0.0,0.0,0.0,0.0,0.0,21.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,106.48,106.48,4669.7,4669.7,4776.18,0.0,32.13,48.5,7.88,88.51,42.11,187.9,0.0,230.01,5094.7,136.86,16.36,1.18,154.4,68.59,222.99,4753.25,83.76,2.35,32.35,4871.71,5094.7,35.46,15.35,0.0,0.0,10.34,39.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
