Item,Mar 25,Mar 24,Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12,Mar 11
EQUITIES AND LIABILITIES,,,,,,,,,,,,,,,
SHAREHOLDER'S FUNDS,,,,,,,,,,,,,,,
Equity Share Capital,1424.6,1404.68,2157.67,1656.38,1386.51,1294.76,1289.46,1285.81,1165.11,1163.17,1159.66,1155.04,1153.64,1152.77,1151.82
Total Share Capital,1424.6,1404.68,2157.67,1656.38,1386.51,1294.76,1289.46,1285.81,1165.11,1163.17,1159.66,1155.04,1153.64,1152.77,1151.82
Revaluation Reserve,0.0,0.0,0.0,0.0,0.0,3114.87,3044.51,3003.19,3042.14,2817.47,0.0,0.0,0.0,0.0,0.0
Reserves and Surplus,288581.86,236994.64,198557.72,168855.59,146122.67,112091.29,104029.4,100864.37,95737.57,85748.24,79262.26,72051.71,65547.84,59250.09,53938.82
Total Reserves and Surplus,288581.86,236994.64,198557.72,168855.59,146122.67,115206.16,107073.91,103867.56,98779.71,88565.72,79262.26,72051.71,65547.84,59250.09,53938.82
Employees Stock Options,2069.84,0.0,0.0,0.0,0.0,3.49,4.68,5.57,6.26,6.7,7.44,6.57,4.48,2.39,0.29
Total ShareHolders Funds,292076.3,238399.32,200715.39,170511.97,147509.18,116504.41,108368.04,105158.94,99951.07,89735.58,80429.36,73213.33,66705.96,60405.24,55090.94
Deposits,1610348.02,1412824.95,1180840.69,1064571.61,932522.16,770968.99,652919.67,560975.21,490039.06,421425.71,361562.73,331913.66,292613.63,255499.96,225602.11
Borrowings,123538.26,124967.58,119325.49,107231.36,91630.96,162896.76,165319.97,182858.62,147556.15,174807.38,172417.35,154759.05,145341.49,140164.91,109554.28
Other Liabilities and Provisions,92277.39,95322.73,83325.08,68982.8,58770.38,47994.99,37851.46,30196.4,34245.16,34726.44,31719.86,34755.55,32133.6,17576.98,15986.35
Total Capital and Liabilities,2118239.97,1871514.58,1584206.65,1411297.74,1230432.68,1098365.15,964459.15,879189.16,771791.45,720695.1,646129.29,594641.58,536794.68,473647.09,406233.67
ASSETS,,,,,,,,,,,,,,,
Cash and Balances with Reserve Bank of India,119928.12,89711.7,68526.17,60120.82,46031.19,35283.96,37858.01,33102.38,31702.41,27106.09,25652.91,21821.83,19052.73,20461.29,20906.97
Balances with Banks Money at Call and Short Notice,65633.88,50214.31,50912.1,107701.54,87097.06,83871.78,42438.27,51067.0,44010.66,32762.65,16651.71,19707.77,22364.79,15768.02,13183.11
Investments,504756.74,461942.27,362329.73,310241.0,281286.54,249531.48,207732.68,202994.18,161506.55,160411.8,186580.03,177021.82,171393.6,159560.04,134685.96
Advances,1341766.16,1184406.39,1019638.31,859020.44,733729.09,645289.97,586646.58,512395.29,464232.08,435263.94,387522.07,338702.65,290249.44,253727.66,216365.9
Fixed Assets,12838.74,10859.84,9599.84,9373.82,8877.58,8410.29,7931.43,7903.51,7805.21,7576.92,4725.52,4678.14,4647.06,4614.69,4744.26
Other Assets,73316.33,74380.07,73200.5,64840.12,73411.22,75977.67,81852.17,71726.8,62534.55,57573.7,24997.05,32709.39,29087.07,19515.39,16347.47
Total Assets,2118239.97,1871514.58,1584206.65,1411297.74,1230432.68,1098365.15,964459.15,879189.16,771791.45,720695.1,646129.29,594641.58,536794.68,473647.09,406233.67
OTHER ADDITIONAL INFORMATION,,,,,,,,,,,,,,,
Number of Branches,0.0,0.0,0.0,0.0,0.0,5324.0,4874.0,4867.0,4850.0,4450.0,4050.0,3753.0,3100.0,2752.0,2529.0
Number of Employees,0.0,0.0,0.0,0.0,0.0,99319.0,86763.0,81548.0,81129.0,72175.0,66327.0,72226.0,62065.0,58276.0,56969.0
Capital Adequacy Ratios (%),16.55,16.33,18.34,19.16,19.12,16.11,16.89,18.0,17.0,16.64,17.02,17.7,18.74,18.52,19.54
KEY PERFORMANCE INDICATORS,,,,,,,,,,,,,,,
Tier 1 (%),0.0,0.0,0.0,0.0,0.0,14.72,15.09,16.0,14.0,13.09,12.78,12.78,12.8,12.68,13.17
Tier 2 (%),0.0,0.0,0.0,0.0,0.0,1.39,1.8,3.0,3.0,3.55,4.24,4.92,5.94,5.84,6.37
ASSETS QUALITY,,,,,,,,,,,,,,,
Gross NPA,24166.18,27961.68,31183.7,33919.52,41373.42,40829.09,45676.04,53240.18,42159.38,26221.25,15094.69,10505.84,9607.75,9475.33,10034.26
Gross NPA (%),1.67,2.16,3.0,4.0,5.0,6.0,7.0,10.0,9.0,6.0,4.0,0.0,0.0,0.0,0.0
Net NPA,5589.41,5377.79,5155.07,6960.89,9180.2,9923.24,13449.72,27823.56,25216.81,12963.08,6255.53,3297.96,2230.56,1860.84,2407.36
Net NPA (%),0.39,0.42,0.48,0.76,1.14,1.54,2.29,5.0,5.0,2.98,1.61,0.97,0.77,0.73,1.11
Net NPA To Advances (%),2.41,2.37,2.0,2.0,1.0,2.0,2.0,5.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0
"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,,,,,,,,,,
Bills for Collection,0.0,0.0,0.0,0.0,0.0,48216.24,49391.99,28588.36,22623.19,68932.74,16212.97,13534.91,12394.53,7572.06,8530.03
Contingent Liabilities,0.0,0.0,0.0,0.0,0.0,2523825.8,1922038.29,1289244.0,1030993.71,922453.51,868190.58,794965.35,802383.84,923037.16,931651.64
Preference Share Capital,,,,,,,,,,,,,,,0.0
Money Against Share Warrants,,,,,,,,,,,,,,,0.0
Equity Share Application Money,,,,,,,,,,,,,,,0.0
