Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14
Interest Earned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(a) Int. /Disc. on Adv/Bills,7971.2,7915.12,7581.0,7367.2,6999.46,6747.47,6324.64,5844.32,5386.32,4999.88,4603.43,4169.75,3825.7,3598.96,3408.17,3341.17,3214.84,3040.02,2981.74,3005.92,3000.95,2983.59,2883.39,2766.62,2594.11,2632.06,1341.35,1250.33,1140.18,1222.93,1211.15,1148.69,1273.52,1288.46,1267.61,1262.23,1193.03,1158.38,--,--,--,--
(b) Income on Investment,1394.5,1313.54,1281.76,1327.59,1173.04,1035.36,967.52,941.77,954.43,823.02,801.76,652.99,623.46,687.13,595.38,709.4,684.65,844.13,759.98,750.45,865.29,1028.68,1062.47,960.84,982.51,976.95,947.44,998.75,1067.82,1027.86,973.41,972.22,906.08,910.3,784.62,687.78,585.63,604.45,44.2,--,--,--
(c) Int. on balances With RBI,28.2,29.2,33.29,23.86,22.47,20.69,21.46,29.02,26.15,32.64,24.31,65.27,78.82,117.09,36.29,9.04,29.88,30.89,16.32,35.08,45.38,6.06,12.6,16.49,8.35,6.91,3.11,4.81,3.44,2.44,1.14,1.25,21.92,19.5,4.35,8.05,4.48,2.82,--,--,--,--
(d) Others,19.04,85.16,60.88,69.95,24.24,75.88,42.55,52.61,57.45,56.28,40.19,33.67,25.66,25.98,60.74,29.68,63.5,37.42,42.64,39.94,44.25,81.83,59.71,49.17,43.81,48.15,42.25,67.26,69.85,30.5,34.13,23.0,21.86,32.62,26.43,17.39,32.4,23.44,--,--,--,--
Other Income,1895.41,1779.85,1727.3,1619.15,1642.0,1516.55,1429.63,1413.82,1397.48,1152.48,1061.34,855.67,831.24,768.63,779.71,848.77,841.14,759.26,168.44,484.85,483.77,578.98,348.96,310.45,316.21,304.32,119.32,198.72,93.05,230.79,145.23,648.83,56.27,335.03,410.13,212.83,137.66,217.93,47.61,--,--,--
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Expended,4505.78,4440.96,4169.08,4093.7,3750.34,3592.83,3405.98,3122.6,2827.6,2626.52,2467.51,2170.58,1884.4,1849.2,1828.42,1904.5,2032.61,2208.55,2140.95,2205.49,2392.37,2565.89,2655.09,2618.65,2515.93,2518.9,1882.94,1831.31,1828.07,1788.76,1757.96,1757.13,1721.3,1730.11,1587.41,1476.57,1398.72,1402.79,--,--,--,--
Employees Cost,1528.15,1420.33,1424.07,1337.35,1328.01,1221.67,1190.1,1152.75,1040.68,952.78,918.61,830.16,784.63,721.74,635.76,554.4,519.59,525.54,488.68,443.16,363.56,398.57,404.37,361.09,348.03,358.86,209.75,201.56,181.14,171.4,158.02,165.41,94.8,197.5,149.74,131.58,136.15,120.47,--,--,--,--
Other Expenses,3462.81,3502.64,3129.23,3094.25,3118.95,3018.98,2679.47,2505.85,2394.89,2224.23,1976.21,1832.79,1889.33,1857.12,1723.53,1477.93,1635.97,1316.69,997.23,775.96,1163.94,953.8,816.74,728.16,738.93,724.51,293.0,199.43,265.23,199.0,164.13,184.77,166.66,144.73,141.28,117.49,158.5,94.85,0.59,0.01,0.0,2.58
