Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12
Net Sales/Income from operations,1879.93,1902.45,2066.01,1902.53,1979.32,1766.9,1867.45,1766.31,1899.73,1985.15,1796.77,1745.39,1781.11,2030.49,1913.77,2040.02,2090.42,2213.66,2193.83,2232.15,2620.39,2973.5,2907.37,3293.35,3707.91,3819.81,3612.93,3601.12,3400.84,3115.89,2908.75,2789.29,2812.49,2422.42,2329.7,2213.61,2272.6,1919.27,1812.53,1698.21,1692.59,1580.4,1390.01,1270.22,1210.88,1418.97,1348.13,1163.67,1202.63,359.33
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,92.27,67.29,93.92,--,75.16,96.03,59.13,110.69,80.32,77.3,46.22,79.81,79.37,56.11,97.36,102.63,14.94
Total Income From Operations,1879.93,1902.45,2066.01,1902.53,1979.32,1766.9,1867.45,1766.31,1899.73,1985.15,1796.77,1745.39,1781.11,2030.49,1913.77,2040.02,2090.42,2213.66,2193.83,2232.15,2620.39,2973.5,2907.37,3293.35,3707.91,3819.81,3612.93,3601.12,3400.84,3115.89,2908.75,2789.29,2812.49,2514.69,2396.99,2307.54,2272.6,1994.43,1908.56,1757.34,1803.28,1660.71,1467.3,1316.44,1290.7,1498.34,1404.24,1261.04,1305.26,374.28
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,169.72,160.12,188.59,143.63,141.04,140.28,138.91,155.91,95.31,185.49,128.33,68.15,106.08,130.5,91.08,107.49,7.51,93.21,42.42,81.58,110.08,136.85,134.98,175.06,155.18,190.96,183.16,193.78,125.77,141.46,137.03,122.33,102.69,120.69,123.03,107.17,103.34,90.43,94.03,80.83,70.31,69.51,78.82,60.66,47.02,55.76,57.04,60.75,44.28,4.37
Depreciation,22.9,18.47,19.14,18.19,19.84,21.93,21.24,17.89,21.18,22.39,21.82,17.26,19.02,19.68,17.9,17.79,21.91,24.13,20.78,24.0,25.33,18.14,27.84,26.49,10.48,9.9,9.07,7.52,7.28,6.82,6.61,6.26,5.74,5.27,4.95,4.75,5.04,5.01,4.91,4.41,4.48,4.51,3.71,5.3,1.75,1.94,1.94,2.02,2.03,0.24
