Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Hybrid/Debt/Other Securities,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Deferred Tax Liabilities [Net],Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Deferred Tax Assets [Net],Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2014-03-31,0.05,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,1090.0,1090.0,-17.93,-17.93,1072.07,0.0,0.0,0.0,7.08,7.08,2627.26,1.0,3.06,0.65,2631.97,3711.12,0.0,0.0,0.0,3683.13,0.57,0.0,3683.7,0.0,0.0,25.89,0.44,1.09,0.0,27.42,3711.12,0.0,0.0,3683.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,1099.81,1099.81,1149.05,1149.05,2248.86,0.0,2692.28,0.0,3.03,2695.31,2468.31,3.36,203.58,1.15,2676.4,7620.57,0.7,0.0,0.7,3683.28,3511.59,5.61,7201.18,2.5,4.68,76.81,101.71,228.43,5.26,419.39,7620.57,0.0,2.81,3683.28,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,1099.81,1099.81,1021.18,1021.18,2120.99,0.0,6755.47,246.36,0.21,7002.04,920.28,11.04,724.7,0.29,1656.31,10779.34,0.66,0.0,0.66,3759.95,5515.58,8.02,9284.21,54.75,4.69,111.05,338.03,608.12,378.49,1495.13,10779.34,0.0,0.0,3759.95,54.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,1099.81,1099.81,904.33,904.33,2004.14,1848.63,6211.32,279.03,0.2,6490.55,1010.65,8.63,883.98,0.1,1903.36,12246.68,0.58,0.0,0.58,3782.69,4572.55,2624.71,10980.53,0.0,3.03,29.34,519.45,106.02,608.31,1266.15,12246.68,0.0,0.0,3782.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,1099.81,1099.81,650.52,650.52,1750.33,3408.03,5176.33,137.44,0.17,5313.94,848.74,29.35,1460.4,0.13,2338.62,12810.92,1.15,0.0,1.15,6867.5,4380.22,24.03,11272.9,90.1,1.7,9.72,188.28,945.88,302.34,1538.02,12810.92,189.56,155.63,6867.5,90.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,1099.81,1099.81,431.21,431.21,1531.02,3279.42,7351.03,0.16,0.21,7351.4,0.0,124.22,648.02,0.04,772.28,12934.12,1.24,0.0,1.24,5984.47,4148.43,263.3,10397.44,0.0,0.0,96.68,1176.01,810.41,453.58,2536.68,12934.12,352.0,175.73,5984.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,1099.81,1099.81,157.1,157.1,1256.91,2829.7,6923.94,0.0,0.34,6924.28,723.16,9.04,441.77,0.06,1174.03,12184.92,0.95,0.0,0.95,6203.3,4624.73,845.41,11674.39,0.0,0.0,0.08,18.06,200.0,292.39,510.53,12184.92,361.79,335.57,6203.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,1099.81,1099.81,-254.28,-254.28,845.53,3131.28,7405.53,1.47,0.08,7407.08,1141.84,3.01,137.6,0.03,1282.48,12666.37,0.68,0.42,1.1,6681.17,4257.27,488.4,11427.94,0.0,0.0,0.01,388.72,700.0,149.7,1238.43,12666.37,287.93,526.13,6681.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,1115.49,1115.49,9211.16,9211.16,10326.65,0.0,1740.41,1.44,0.04,1741.89,860.0,2.67,35.12,0.02,897.81,12966.35,0.49,7.52,8.01,6712.37,4740.94,122.32,11583.64,0.0,0.0,2.25,816.8,469.17,94.49,1382.71,12966.35,7646.09,297.18,6712.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,1115.49,1115.49,9806.05,9806.05,10921.54,0.0,4101.78,21.91,0.18,4123.87,1062.9,99.04,174.23,13.66,1349.83,16395.24,8.58,4.27,12.85,9029.94,5062.47,600.71,14705.97,0.0,9.91,60.36,661.08,400.01,557.91,1689.27,16395.24,1970.07,5.04,9029.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,1201.28,1201.28,18497.49,18497.49,19698.77,0.0,6802.82,64.3,0.1,6867.22,1097.35,549.78,337.33,13.75,1998.21,28564.2,9.96,29.61,39.57,13125.2,8253.17,4096.91,25514.85,81.61,28.0,1036.84,1095.84,0.03,807.03,3049.35,28564.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
