Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Short Term Provisions,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Short Term Loans And Advances,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Borrowings,Foreign Currency Monetary Item Translation Difference A/C,Short Term Borrowings,Intangible Assets,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2008-03-31,72.34,72.34,1108.78,1108.78,1181.12,26.67,0.0,0.0,337.43,0.78,1.18,49.15,1567.7,99.85,0.0,0.0,99.85,0.0,1476.1,0.0,0.0,0.03,0.0,91.6,1567.7,5.04,0.0,0.0,0.0,0.0,1259.52,204.75,0.0,47.19,1346.96,29.29,0.0,91.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,72.34,72.34,1133.21,1133.21,1205.55,16.94,0.0,0.0,327.7,2.36,1.23,79.08,1612.33,71.14,19.03,0.0,90.17,0.0,1525.3,0.0,2.89,1.24,0.0,87.03,1612.33,23.56,0.41,5.27,0.0,0.0,980.97,206.75,0.0,75.49,1409.88,25.25,0.0,82.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,72.34,72.34,1145.73,1145.73,1218.07,10.55,0.0,0.0,321.31,3.79,7.79,107.39,1646.77,86.34,0.16,0.0,86.5,0.0,1562.3,0.0,0.83,2.05,0.0,84.47,1646.77,11.08,0.04,0.0,0.0,0.0,1171.71,432.17,0.0,95.81,1466.59,9.21,0.0,81.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,72.34,72.34,1317.82,1317.82,1390.16,8.67,1.98,1.07,11.72,4.1,0.79,50.98,1452.86,71.73,0.0,0.0,71.73,0.0,1220.87,185.56,1.3,25.25,3.21,231.99,1452.86,7.8,0.02,0.0,0.0,0.0,1925.09,363.0,147.71,46.09,1147.29,0.0,1.85,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,72.34,72.34,1372.69,1372.69,1445.03,7.95,0.43,1.34,9.72,4.76,2.47,36.95,1491.7,71.35,0.0,0.0,71.35,0.0,1423.35,52.14,1.94,2.54,8.24,68.35,1491.7,7.85,0.88,0.0,0.19,0.0,2237.13,270.11,15.5,29.72,1348.88,0.0,3.12,3.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,79.56,79.56,2327.95,2327.95,2407.51,8.82,2.65,1.44,12.91,2.37,4.68,61.03,2481.45,69.63,0.27,0.0,69.9,0.0,2295.67,165.16,1.63,2.11,13.41,185.78,2481.45,8.83,1.92,0.0,0.25,0.0,3831.45,288.2,165.16,53.98,2201.56,0.0,24.21,3.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,79.56,79.56,2383.49,2383.49,2463.05,10.46,3.2,2.12,15.78,1.52,5.2,58.26,2537.09,70.32,0.59,0.0,70.91,0.0,2298.2,226.29,0.7,7.59,3.81,238.89,2537.09,41.38,1.96,0.0,0.0,0.0,5740.77,565.46,226.29,51.54,2200.36,0.0,26.93,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,79.56,79.56,2480.73,2480.73,2560.29,11.36,0.0,5.98,17.34,2.1,8.52,62.38,2640.01,75.11,0.76,0.0,75.87,0.0,1907.62,712.82,3.74,3.37,11.46,732.39,2640.01,38.3,1.53,0.0,0.0,0.0,12779.28,251.24,646.05,51.76,1800.77,0.0,30.98,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,79.57,79.57,2616.41,2616.41,2695.98,10.74,1.87,6.74,19.35,2.63,7.69,31.94,2747.27,75.15,0.97,0.0,76.12,1.87,2213.07,276.0,8.19,225.25,23.92,534.2,2747.27,350.96,0.62,0.0,0.0,0.0,21617.76,798.83,276.0,21.62,2102.88,0.0,32.2,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,79.57,79.57,2686.45,2686.45,2766.02,9.49,1.87,7.64,19.0,1.54,8.32,29.11,2814.13,73.95,1.19,0.0,75.14,0.0,2593.82,182.25,0.63,1.55,34.71,220.31,2814.13,46.15,0.62,0.0,0.0,0.0,37712.63,271.26,43.12,19.25,2483.82,0.0,34.86,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
