Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Equity Share Application Money,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Other Assets,Raw Materials,Capital Goods,Deferred Tax Assets [Net]
2010-03-31,29.13,29.13,651.28,651.28,0.0,680.41,0.0,265.86,51.69,0.0,0.0,317.55,3.75,391.66,42.88,533.47,971.76,1969.72,536.56,26.08,12.4,0.0,575.05,200.09,0.0,0.0,794.51,0.0,140.3,385.44,63.66,585.82,0.0,1175.21,1969.72,108.3,20.75,107.57,2.22,200.09,0.0,0.0,159.73,8.28,19.36
2011-03-31,29.13,29.13,860.28,860.28,0.0,889.41,0.0,168.87,32.33,18.45,48.09,267.74,0.0,272.58,189.96,113.62,576.16,1733.31,583.15,7.5,8.57,0.0,599.22,3.0,87.74,25.57,715.53,294.75,138.03,381.7,22.93,26.19,154.18,1017.78,1733.31,269.66,15.42,146.17,0.14,3.0,294.75,0.0,102.78,27.98,0.0
2012-03-31,29.13,29.13,1003.52,1003.52,0.0,1032.65,0.0,78.2,38.02,46.02,31.16,193.4,8.39,248.94,179.12,105.19,541.64,1767.69,569.82,5.99,8.91,6.61,591.33,10.0,72.47,10.29,684.09,517.43,132.23,298.94,27.39,56.51,51.1,1083.6,1767.69,452.88,18.98,162.3,0.0,10.0,517.43,0.0,69.94,32.52,0.0
2013-03-31,28.92,28.92,1125.33,1125.33,0.0,1154.25,0.0,0.0,34.1,29.98,21.5,85.58,0.0,284.31,109.72,109.47,503.5,1743.33,586.05,5.43,13.62,13.26,618.36,10.0,66.31,25.78,720.45,407.61,188.54,288.66,24.78,92.77,20.52,1022.88,1743.33,427.94,14.41,167.84,0.0,10.0,407.61,0.0,115.13,13.13,0.0
2014-03-31,28.92,28.92,1238.31,1238.31,0.0,1267.23,0.0,0.0,30.27,13.07,24.64,67.98,0.0,312.43,101.52,101.82,515.77,1850.98,537.79,5.22,19.55,22.42,584.98,10.0,95.66,29.04,719.68,597.71,166.82,177.36,52.43,101.72,35.26,1131.3,1850.98,440.17,13.4,198.35,0.0,10.0,597.71,0.0,130.44,3.05,0.0
2015-03-31,28.92,28.92,1312.52,1312.52,0.0,1341.44,0.0,0.0,28.89,16.84,24.46,70.19,0.0,337.58,65.94,117.25,520.77,1932.4,476.61,36.99,5.62,15.69,534.91,5.25,108.4,31.98,680.54,871.06,171.6,52.62,25.26,100.23,31.09,1251.86,1932.4,525.98,17.2,210.98,0.19,5.25,871.06,0.0,94.59,4.11,0.0
2016-03-31,28.92,28.92,1410.83,1410.83,0.0,1439.75,0.0,0.0,17.67,17.94,22.9,58.51,0.0,331.52,95.29,33.42,460.23,1958.49,445.31,32.04,3.48,25.41,506.24,3.59,103.28,12.22,625.33,783.14,202.86,152.16,39.53,118.17,37.3,1333.16,1958.49,384.73,20.67,236.21,0.0,3.59,783.14,0.0,59.07,7.72,0.0
2017-03-31,28.92,28.92,1587.79,1587.79,0.0,1616.71,0.0,0.0,11.67,23.19,31.5,66.36,12.45,354.98,71.03,48.04,486.5,2169.57,384.95,52.5,8.71,6.2,454.53,4.29,0.42,76.86,536.1,985.54,226.09,200.97,18.04,0.38,202.45,1633.47,2169.57,133.32,89.39,158.41,0.0,4.29,985.54,2.17,0.0,0.0,0.0
2018-03-31,28.92,28.92,1608.42,1608.42,0.0,1637.34,0.0,0.0,6.59,22.24,29.79,58.62,16.5,419.57,79.27,52.52,567.86,2263.82,382.92,39.4,17.96,12.22,452.5,255.38,0.15,84.93,792.96,675.24,264.59,325.99,65.21,0.29,139.54,1470.86,2263.82,0.0,0.0,0.0,0.0,255.38,675.24,0.0,0.0,0.0,0.0
2019-03-31,28.92,28.92,1746.2,1746.2,0.0,1775.12,0.0,0.0,6.35,25.74,31.89,63.98,13.07,381.98,139.16,64.17,598.38,2437.48,372.23,27.05,17.88,23.04,440.2,282.38,0.03,114.0,836.61,711.21,242.17,355.19,186.11,0.13,106.06,1600.87,2437.48,136.58,117.45,0.0,214.29,282.38,711.21,0.0,0.0,0.0,0.0
2020-03-31,28.92,28.92,1801.32,1801.32,0.0,1830.24,0.0,0.0,5.16,35.13,34.43,74.72,15.26,348.09,132.09,57.95,553.39,2458.35,341.27,21.0,30.3,44.1,436.67,782.37,0.05,105.06,1324.15,319.04,300.33,362.83,17.13,0.03,134.84,1134.2,2458.35,169.1,113.88,0.0,239.95,782.37,319.04,0.0,0.0,0.0,0.0
2021-03-31,28.92,28.92,1953.94,1953.94,0.29,1983.15,0.0,0.0,12.5,36.24,29.17,77.91,77.68,504.78,137.9,62.16,782.52,2843.58,379.35,66.17,31.72,23.18,500.42,915.73,0.06,71.5,1487.71,618.23,265.19,355.82,29.41,0.04,87.18,1355.87,2843.58,133.93,86.59,0.0,242.35,915.73,618.23,0.0,0.0,0.0,0.0
2022-03-31,28.92,28.92,2110.54,2110.54,0.0,2139.46,0.0,34.17,14.59,37.44,35.47,121.67,62.6,509.84,108.49,70.16,751.09,3012.22,379.43,70.8,20.56,18.77,489.56,1105.17,0.06,55.69,1650.48,567.04,303.08,394.54,31.44,0.04,65.6,1361.74,3012.22,137.85,92.24,0.0,282.71,1105.17,567.04,0.0,0.0,0.0,0.0
2023-03-31,28.95,28.95,2302.82,2302.82,0.0,2331.77,0.07,0.0,6.12,43.33,33.22,82.67,75.14,632.61,126.63,90.88,925.26,3339.77,378.25,46.85,15.82,50.61,491.53,1430.87,8.04,93.03,2023.47,261.65,468.45,467.21,33.83,21.88,63.28,1316.3,3339.77,292.39,133.57,0.0,437.33,1430.87,261.65,0.0,0.0,0.0,0.0
2024-03-31,28.99,28.99,2589.04,2589.04,4.25,2622.28,0.41,67.21,9.95,38.03,38.37,153.56,141.92,727.4,184.26,91.24,1144.82,3921.07,408.11,82.73,202.28,40.29,733.41,1487.86,0.03,41.93,2263.23,388.34,523.51,568.44,98.0,10.75,68.8,1657.84,3921.07,227.96,187.27,0.0,460.75,1487.86,388.34,0.0,0.0,0.0,0.0
