Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16
Net Sales/Income from operations,763.08,688.32,659.05,495.98,379.35,278.4,206.61,156.62,156.33,154.14,147.43,141.68,155.29,160.13,159.03,132.53,129.19,101.98,107.45,85.3,99.53,93.15,90.47,95.48,97.64,87.49,96.75,97.88,125.02,115.07,100.58,91.79,99.89,77.21,81.5,72.44,83.65
Other Operating Income,95.07,44.32,88.04,49.49,99.25,41.2,62.4,33.91,22.25,26.28,61.03,0.04,17.23,14.13,43.0,16.86,7.46,30.85,27.93,47.32,23.22,26.62,47.74,41.98,45.16,64.47,48.11,38.07,45.68,35.8,47.78,65.38,42.31,45.35,43.82,58.21,49.03
Total Income From Operations,858.15,732.64,747.09,545.47,478.6,319.6,269.01,190.53,178.58,180.42,208.46,141.72,172.52,174.26,202.03,149.39,136.65,132.83,135.38,132.62,122.75,119.77,138.21,137.46,142.8,151.96,144.86,135.95,170.7,150.87,148.36,157.17,142.2,122.56,125.32,130.65,132.68
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,46.19,38.12,37.2,34.9,25.27,29.13,29.49,26.04,20.95,22.29,24.23,25.34,28.44,23.22,23.28,23.36,21.83,22.2,22.02,23.09,23.15,22.61,24.19,23.95,21.5,21.38,20.95,20.96,19.88,17.93,17.53,16.5,24.78,17.06,17.48,16.79,15.15
Depreciation,24.06,24.24,23.27,18.92,21.01,19.81,17.5,16.6,16.25,14.25,9.83,8.65,11.05,10.43,9.99,9.89,13.65,13.3,12.79,11.29,11.48,11.06,10.75,10.26,12.91,11.09,10.21,9.81,11.51,9.56,9.38,8.81,13.69,11.97,11.24,10.76,14.35
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,153.62,40.08,45.56,37.73,35.07,34.22,31.46,58.11,56.15,43.39,41.23,45.18,51.95,37.37,25.37,38.65,40.23,36.4,43.03,45.72,43.41,33.52,42.49,37.83,34.39,28.42,43.48,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,169.77,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18.61,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,239.01,276.32,165.68,225.98,126.11,105.79,80.14,58.09,40.9,43.95,46.16,42.69,34.17,39.6,36.06,37.7,50.7,38.29,31.59,32.8,33.76,37.04,32.57,33.38,29.92,32.77,32.62,31.21,25.67,59.02,53.43,57.49,66.71,53.6,51.85,55.34,55.96
"P/L Before Other Inc. , Int., Excpt. Items & Tax",548.89,393.96,367.32,225.59,90.88,127.14,106.81,55.58,69.02,41.82,72.09,21.65,57.63,55.83,80.75,41.07,25.1,20.39,28.75,29.04,-7.28,3.34,27.29,36.35,35.98,48.89,46.69,45.55,70.16,64.36,68.02,74.37,37.02,39.93,44.75,47.76,47.22
Other Income,9.06,6.76,7.54,6.04,5.8,6.72,7.91,13.63,14.12,6.28,6.58,6.04,6.25,6.43,6.08,7.06,5.23,5.57,11.31,5.46,7.76,5.17,6.12,4.89,14.7,4.31,7.61,10.2,4.79,5.1,5.98,5.78,5.16,5.17,6.66,13.27,5.42
"P/L Before Int., Excpt. Items & Tax",557.95,400.72,374.86,231.63,96.68,133.86,114.72,69.21,83.14,48.1,78.67,27.69,63.88,62.26,86.83,48.13,30.33,25.96,40.06,34.5,0.48,8.51,33.41,41.24,50.68,53.2,54.3,55.75,74.95,69.46,74.0,80.15,42.18,45.1,51.41,61.03,52.64
Interest,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0.52,0.82,0.03,--,--,--,--,--,--,--,--,--,--,--,0.01,0.02,0.02,0.02,0.02,0.04,0.03
P/L Before Exceptional Items & Tax,557.95,400.72,374.86,231.63,96.68,133.86,114.72,69.21,83.14,48.1,78.67,27.69,63.88,62.26,86.83,48.13,30.85,25.14,40.03,34.5,0.48,8.51,33.41,41.24,50.68,53.2,54.3,55.75,74.95,69.46,73.99,80.13,42.16,45.08,51.39,60.99,52.61
Exceptional Items,-37.64,-52.17,-0.19,--,--,--,--,504.17,--,--,--,--,--,--,--,--,--,--,-14.53,--,--,91.58,--,--,--,--,5.11,-0.54,--,--,-0.47,316.03,--,24.43,-7.18,-13.61,-53.36
P/L Before Tax,520.31,348.55,374.67,231.63,96.68,133.86,114.72,573.38,83.14,48.1,78.67,27.69,63.88,62.26,86.83,48.13,30.85,25.14,25.5,34.5,0.48,100.09,33.41,41.24,50.68,53.2,59.41,55.21,74.95,69.46,73.52,396.16,42.16,69.51,44.21,47.38,-0.75
Tax,123.0,88.39,92.95,58.37,17.55,38.7,42.76,66.24,24.62,17.27,22.48,6.32,10.04,20.88,24.02,11.04,15.9,3.85,-3.18,2.16,-1.11,1.59,-5.81,6.88,6.83,0.84,6.38,3.4,13.84,13.86,10.67,11.77,0.75,-0.56,2.54,1.89,-4.76
P/L After Tax from Ordinary Activities,397.31,260.16,281.72,173.26,79.13,95.16,71.96,507.14,58.52,30.83,56.19,21.37,53.84,41.38,62.81,37.09,14.95,21.29,28.68,32.34,1.59,98.5,39.22,34.36,43.85,52.36,53.03,51.81,61.11,55.6,62.85,384.39,41.41,70.07,41.67,45.49,4.01
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,397.31,260.16,281.72,173.26,79.13,95.16,71.96,507.14,58.52,30.83,56.19,21.37,53.84,41.38,62.81,37.09,14.95,21.29,28.68,32.34,1.59,98.5,39.22,34.36,43.85,52.36,53.03,51.81,61.11,55.6,62.85,384.39,41.41,70.07,41.67,45.49,4.01
Equity Share Capital,27.07,27.07,27.07,27.07,27.07,27.07,27.09,27.09,27.09,27.09,27.09,27.09,27.05,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.36,10.36,10.36,10.36,10.38,10.65,10.76,10.76,10.76,10.76,10.74,10.74,10.74,10.74
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,28.93,18.94,20.51,12.62,5.76,6.93,5.24,36.91,4.26,2.24,4.09,1.56,3.92,9.03,13.71,8.1,3.26,4.65,8.33,7.19,0.35,21.5,7.51,6.54,8.34,9.96,10.09,9.69,11.23,10.19,11.51,70.42,7.59,12.84,--,--,--
Diluted EPS,28.93,18.94,20.51,12.62,5.76,6.93,5.24,36.91,4.26,2.24,4.09,1.56,3.92,9.03,13.71,8.1,3.26,4.65,6.26,7.06,0.35,21.5,7.51,6.54,8.34,9.96,10.09,9.69,11.23,10.19,11.51,70.42,7.59,12.84,7.63,--,0.73
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
