Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Dec '22
Net Sales/Income from operations,761.78,748.2,793.93,720.56,715.56,695.98,673.31,647.24,492.81
Other Operating Income,--,--,--,--,--,--,--,--,--
Total Income From Operations,761.78,748.2,793.93,720.56,715.56,695.98,673.31,647.24,492.81
EXPENDITURE,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--
Employees Cost,343.43,350.99,333.44,326.75,333.91,330.77,314.77,277.73,259.26
Depreciation,21.02,19.89,19.2,19.12,18.39,16.69,16.15,14.95,15.5
Excise Duty,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--
Other Expenses,250.93,250.54,287.55,264.23,246.64,233.28,251.03,251.72,173.37
"P/L Before Other Inc. , Int., Excpt. Items & Tax",146.4,126.78,153.74,110.46,116.62,115.24,91.36,102.84,44.68
Other Income,49.55,16.05,15.47,404.45,9.33,16.23,369.24,10.2,18.75
"P/L Before Int., Excpt. Items & Tax",195.95,142.83,169.21,514.91,125.95,131.47,460.6,113.04,63.43
Interest,3.14,3.8,2.83,2.94,2.55,3.21,2.81,3.06,3.76
P/L Before Exceptional Items & Tax,192.81,139.03,166.38,511.97,123.4,128.26,457.79,109.98,59.67
Exceptional Items,--,--,--,--,--,--,--,--,--
P/L Before Tax,192.81,139.03,166.38,511.97,123.4,128.26,457.79,109.98,59.67
Tax,48.98,35.79,44.1,32.2,43.4,34.19,24.16,30.29,14.94
P/L After Tax from Ordinary Activities,143.83,103.24,122.28,479.77,80.0,94.07,433.63,79.69,44.73
Prior Year Adjustments,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,143.83,103.24,122.28,479.77,80.0,94.07,433.63,79.69,44.73
Equity Share Capital,81.13,81.13,81.13,81.13,81.13,81.13,81.13,81.13,40.57
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,
Basic EPS,3.55,2.54,3.01,11.83,1.97,2.32,10.69,1.96,1.1
Diluted EPS,3.54,2.54,3.01,11.81,1.97,2.32,10.68,--,1.1
EPS After Extra Ordinary,,,,,,,,,
Public Share Holding,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,
Notes,,,,,,,,,
