Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12
Net Sales/Income from operations,1003.19,955.89,906.7,938.31,955.52,886.82,980.83,960.54,977.28,876.06,792.83,798.42,781.98,652.92,616.53,491.92,712.32,566.5,418.71,165.97,404.85,385.11,392.5,591.65,620.25,653.19,663.64,713.56,747.86,615.5,578.24,495.84,551.39,505.58,475.85,512.39,539.36,432.01,404.1,364.39,362.34,300.49,303.66,305.04,298.61,241.43,256.88,248.91,231.95,208.94
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,55.83,53.49,46.12,42.65,46.71,79.14,33.75,37.0,34.41,31.53,29.77,25.47,28.95,28.89,24.3,27.16,25.79,24.81,20.65,20.86,17.69,19.34,18.55,17.0,18.24,15.72,13.91,12.52,12.32
Total Income From Operations,1003.19,955.89,906.7,938.31,955.52,886.82,980.83,960.54,977.28,876.06,792.83,798.42,781.98,652.92,616.53,491.92,712.32,566.5,418.71,165.97,404.85,440.95,446.0,637.76,662.9,699.9,742.78,747.31,784.86,649.91,609.77,525.6,576.85,534.53,504.75,536.68,566.52,457.8,428.92,385.04,383.2,318.18,323.0,323.59,315.61,259.67,272.6,262.82,244.46,221.26
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,600.73,538.31,528.09,544.73,592.4,535.87,604.29,591.6,629.07,555.48,497.39,514.82,522.45,423.2,384.17,319.53,476.0,351.04,240.24,68.54,232.33,252.61,255.65,385.77,474.74,437.65,456.65,465.51,540.11,373.77,406.08,257.45,401.66,335.79,309.74,313.81,381.12,287.76,223.87,228.36,222.48,191.25,189.11,190.44,183.78,142.46,155.65,150.99,129.21,112.77
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,-16.6,3.71,-4.21,10.96,-16.03,8.59,2.37,1.98,-7.21,-3.71,6.46,4.76,-9.33,0.08,6.24,-3.01,-4.89,-4.24,-1.5,9.03,-4.17,2.86,3.04,20.59,-46.49,6.0,-0.74,28.86,-30.69,27.63,-34.08,61.62,-45.46,1.11,3.81,2.95,-33.15,-13.86,30.7,-5.05,5.55,-2.2,0.75,-4.43,-0.83,3.43,3.28,-4.89,3.56,7.31
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,129.22,140.22,132.84,136.26,117.52,115.83,116.16,114.46,102.55,94.55,91.6,88.01,90.19,81.83,82.14,74.53,78.42,70.85,64.17,77.01,67.11,68.63,66.19,63.76,61.28,65.36,66.5,60.49,63.35,57.86,55.9,51.99,49.26,48.78,49.58,43.49,46.69,45.35,41.65,40.1,39.4,34.7,34.38,34.96,33.31,31.03,31.32,29.6,26.3,27.1
Depreciation,31.52,31.42,31.09,28.66,28.68,26.15,27.02,27.64,26.73,28.05,27.32,22.67,20.93,23.95,24.94,22.61,22.64,22.27,22.39,23.1,24.69,22.34,20.89,22.19,20.68,17.73,16.93,16.11,16.03,15.26,15.22,15.22,15.25,16.32,14.9,15.15,14.67,14.2,13.95,13.41,12.09,12.31,11.56,10.7,9.6,8.54,7.37,6.64,7.6,4.98
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
