Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18
Net Sales/Income from operations,66.51,25.28,127.83,12.43,12.43,74.4,67.59,23.16,10.15,39.22,47.78,14.82,14.06,8.4,26.38,40.07,54.8,40.11,8.36,34.5,92.79,45.03,110.01,55.93,81.05,67.46,170.69,163.07
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,66.51,25.28,127.83,12.43,12.43,74.4,67.59,23.16,10.15,39.22,47.78,14.82,14.06,8.4,26.38,40.07,54.8,40.11,8.36,34.5,92.79,45.03,110.01,55.93,81.05,67.46,170.69,163.07
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,12.63,14.47,18.56,14.32,13.73,12.29,8.92,11.93,10.02,10.2,12.39,12.95,14.62,15.18,10.85,14.36,7.55,10.3,9.34,10.61,14.17,9.32,48.31,46.79,32.35,46.5,53.16,69.55
Depreciation,4.29,4.39,4.66,4.17,4.47,3.44,3.72,3.34,3.54,3.19,3.11,2.9,2.82,2.79,2.83,2.83,2.88,2.93,2.87,2.89,2.87,2.92,7.56,7.11,5.5,4.7,3.7,3.39
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,0.03,0.05,0.4,0.04,-0.09,0.01,3.31,0.01,0.2,0.07,-0.03,-0.03,3.14,0.08,0.05,-1.87,1.1,-0.16,1.0,0.0,--,0.0,0.0,0.0,-0.36,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,24.72,13.08,34.09,21.48,42.74,17.81,11.71,9.71,9.1,10.02,5.09,4.2,8.87,5.4,7.27,7.07,6.39,8.27,3.47,6.57,12.3,13.38,32.45,40.48,50.46,40.34,43.6,30.55
