Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Mar '15
Net Sales/Income from operations,25.36,41.19,34.25,37.69,40.21,23.33,27.57,27.53,25.2,21.98,24.04,15.6,14.99,11.35,7.78,6.15,6.5,6.19,4.42,3.15,13.44,12.57,13.77,13.36,11.85,11.71,16.16,11.97,10.03,10.03,9.07,11.76,6.93,6.21,5.89,5.06,2.14,2.03,2.86
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,25.36,41.19,34.25,37.69,40.21,23.33,27.57,27.53,25.2,21.98,24.04,15.6,14.99,11.35,7.78,6.15,6.5,6.19,4.42,3.15,13.44,12.57,13.77,13.36,11.85,11.71,16.16,11.97,10.03,10.03,9.07,11.76,6.93,6.21,5.89,5.06,2.14,2.03,2.86
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,3.81,--,0.77,--,0.46,--,--,--,--,--,1.03,1.4,0.94,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,18.12,16.75,14.0,16.47,14.11,9.47,8.51,8.69,8.67,7.31,7.4,6.59,4.96,4.49,3.69,3.13,2.86,2.48,3.07,1.59,4.25,4.41,4.67,4.99,4.52,4.07,4.13,4.11,3.5,3.21,3.12,2.9,2.57,2.0,1.82,1.9,1.69,1.57,1.12
Depreciation,4.21,3.71,2.97,2.38,1.79,1.43,2.23,0.88,1.03,0.57,0.55,0.45,0.53,0.5,0.47,0.39,0.73,0.39,0.39,0.4,0.63,0.49,0.44,0.35,0.42,0.38,0.37,0.33,0.57,0.68,0.58,0.58,0.43,0.46,0.37,0.34,0.54,0.55,0.72
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,22.61,19.92,19.96,17.1,19.28,17.38,13.22,15.43,15.33,12.4,4.9,8.27,6.89,6.7,3.77,3.35,4.65,3.68,3.79,2.2,5.92,4.74,4.15,4.61,6.59,5.74,6.28,4.76,5.23,4.16,4.22,5.09,4.42,2.27,2.21,2.38,1.91,1.85,2.7
"P/L Before Other Inc. , Int., Excpt. Items & Tax",-19.58,0.81,-2.69,1.75,5.03,-4.95,3.61,2.53,0.16,1.7,7.39,0.28,1.85,-0.34,-0.62,-0.72,-1.74,-0.36,-2.84,-1.04,1.61,1.53,3.56,3.4,0.31,1.53,5.37,2.77,0.73,1.99,1.15,3.18,-0.49,1.48,1.49,0.45,-2.0,-1.94,-1.68
Other Income,23.85,0.51,21.63,0.67,13.03,9.03,12.95,0.44,11.4,8.29,1.41,16.09,11.73,0.9,3.77,0.92,2.29,0.57,1.07,25.98,0.79,0.83,1.39,17.01,1.44,1.13,1.05,5.73,0.51,0.19,5.07,0.31,1.43,0.08,0.09,0.14,1.58,0.03,0.27
"P/L Before Int., Excpt. Items & Tax",4.28,1.32,18.93,2.42,18.06,4.09,16.57,2.98,11.55,9.99,8.79,16.38,13.58,0.56,3.16,0.2,0.55,0.21,-1.77,24.94,2.39,2.36,4.96,20.41,1.75,2.66,6.42,8.5,1.23,2.18,6.22,3.49,0.94,1.56,1.57,0.59,-0.42,-1.91,-1.42
Interest,1.65,0.94,0.78,0.46,0.34,0.31,0.81,0.02,0.02,0.03,0.02,0.02,0.02,0.03,0.02,0.02,0.12,0.0,0.0,0.02,0.04,0.15,0.2,0.21,0.17,0.25,0.18,0.14,0.17,0.12,0.07,0.04,0.07,0.06,0.07,0.06,-0.22,0.02,-0.52
P/L Before Exceptional Items & Tax,2.63,0.38,18.15,1.96,17.72,3.78,15.76,2.96,11.53,9.96,8.77,16.36,13.56,0.53,3.13,0.19,0.43,0.21,-1.77,24.93,2.36,2.22,4.75,20.2,1.58,2.41,6.24,8.36,1.06,2.06,6.14,3.45,0.87,1.51,1.5,0.52,-0.2,-1.93,-0.9
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,2.63,0.38,18.15,1.96,17.72,3.78,15.76,2.96,11.53,9.96,8.77,16.36,13.56,0.53,3.13,0.19,0.43,0.21,-1.77,24.93,2.36,2.22,4.75,20.2,1.58,2.41,6.24,8.36,1.06,2.06,6.14,3.45,0.87,1.51,1.5,0.52,-0.2,-1.93,-0.9
Tax,1.05,0.11,-0.52,0.51,2.7,-1.27,0.97,0.81,0.49,2.36,2.2,0.31,0.97,0.11,0.14,0.05,-1.28,-0.04,-0.04,4.35,0.55,0.61,1.78,3.51,0.43,0.82,2.23,1.85,-0.7,0.62,1.16,1.07,0.11,0.52,0.5,0.15,-0.21,-0.03,0.09
P/L After Tax from Ordinary Activities,1.58,0.27,18.67,1.45,15.02,5.05,14.79,2.15,11.04,7.6,6.57,16.04,12.59,0.42,2.99,0.13,1.71,0.25,-1.73,20.58,1.8,1.61,2.97,16.69,1.16,1.6,4.02,6.51,1.77,1.44,4.98,2.37,0.76,0.99,1.0,0.38,0.01,-1.9,-0.98
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,1.58,0.27,18.67,1.45,15.02,5.05,14.79,2.15,11.04,7.6,6.57,16.04,12.59,0.42,2.99,0.13,1.71,0.25,-1.73,20.58,1.8,1.61,2.97,16.69,1.16,1.6,4.02,6.51,1.77,1.44,4.98,2.37,0.76,0.99,1.0,0.38,0.01,-1.9,-0.98
Equity Share Capital,41.17,41.17,41.17,41.17,41.17,41.17,41.17,41.08,41.06,41.06,20.49,20.49,10.25,10.25,10.25,10.25,10.25,10.25,10.25,10.25,10.25,10.25,10.25,10.25,10.25,10.25,10.25,10.25,10.25,10.25,10.25,10.25,10.25,10.25,10.25,10.25,10.25,10.25,10.25
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,0.04,0.01,0.45,0.04,0.36,9.12,0.36,0.05,0.27,0.19,0.32,0.78,1.23,0.04,0.29,0.01,0.17,0.02,-0.17,2.01,0.18,0.16,0.29,1.63,0.11,0.16,0.39,0.64,0.17,0.14,0.49,0.23,0.75,0.97,0.97,0.37,0.01,-1.85,-0.96
Diluted EPS,0.04,0.01,0.45,0.04,0.36,9.12,0.36,0.05,0.27,0.19,0.32,0.78,1.23,0.04,0.29,0.01,0.17,0.02,-0.17,2.01,0.18,0.16,0.29,1.63,0.11,0.16,0.39,0.64,0.17,0.14,0.49,0.23,0.75,0.97,0.97,0.37,0.01,-1.85,-0.96
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
