Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22
Net Sales/Income from operations,491.96,658.35,453.41,221.53,260.61,216.54,196.72,174.22,484.71,138.92,142.2,96.25
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,491.96,658.35,453.41,221.53,260.61,216.54,196.72,174.22,484.71,138.92,142.2,96.25
EXPENDITURE,,,,,,,,,,,,
Consumption of Raw Materials,--,516.98,394.48,--,--,174.4,168.76,--,--,119.2,119.86,--
Purchase of Traded Goods,0.21,0.03,0.08,0.13,0.13,0.06,0.01,0.02,-0.13,0.13,0.46,0.42
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,42.81,41.63,28.35,23.19,28.0,23.8,17.9,20.49,21.88,18.14,18.24,13.08
Depreciation,5.59,5.49,5.22,4.61,5.38,4.89,4.58,4.35,5.35,5.26,4.93,4.63
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,3.16,--,--,0.68,4.22,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,386.77,64.5,35.89,208.69,238.81,13.37,17.63,148.36,428.74,16.68,53.14,94.24
"P/L Before Other Inc. , Int., Excpt. Items & Tax",53.43,29.72,-10.61,-15.77,-15.93,0.01,-12.16,1.01,28.88,-20.49,-54.43,-16.12
Other Income,47.95,41.92,37.77,35.32,33.6,35.8,24.05,19.87,11.51,19.02,18.6,29.38
"P/L Before Int., Excpt. Items & Tax",101.38,71.64,27.16,19.55,17.67,35.82,11.9,20.88,40.39,-1.47,-35.82,13.27
Interest,38.9,43.89,41.72,32.93,19.31,14.31,23.93,16.94,21.23,30.75,33.82,32.33
P/L Before Exceptional Items & Tax,62.48,27.75,-14.57,-13.38,-1.65,21.51,-12.03,3.93,19.16,-32.22,-69.64,-19.06
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,62.48,27.75,-14.57,-13.38,-1.65,21.51,-12.03,3.93,19.16,-32.22,-69.64,-19.06
Tax,10.32,-0.02,-10.55,--,-10.46,0.02,-1.07,1.12,18.89,15.01,-18.39,-4.75
P/L After Tax from Ordinary Activities,52.16,27.77,-4.02,-13.38,8.81,21.49,-10.96,2.82,0.27,-47.23,-51.26,-14.31
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,52.16,27.77,-4.02,-13.38,8.81,21.49,-10.96,2.82,0.27,-47.23,-51.26,-14.31
Equity Share Capital,14.05,14.05,14.05,14.05,14.05,14.05,14.05,12.49,12.49,12.49,11.38,11.38
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,
Basic EPS,3.71,1.98,-0.29,-0.95,0.63,1.53,-0.88,0.23,0.02,-4.02,-4.5,-1.26
Diluted EPS,3.71,1.98,-0.29,-0.95,0.63,1.53,-0.88,0.23,0.02,-4.02,-4.5,-1.26
EPS After Extra Ordinary,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,
Notes,,,,,,,,,,,,
