Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12
Net Sales/Income from operations,9436.17,8728.47,8598.53,11219.12,9231.06,9638.04,8189.29,11625.67,9029.67,8265.95,8434.86,8703.33,5503.64,4457.85,2950.99,6972.04,4813.51,2836.58,645.2,3838.46,3973.31,3867.99,5611.76,8722.59,6245.21,7480.12,6250.13,8772.49,7113.16,6046.89,4237.78,6617.89,4335.15,4503.17,4175.79,5973.16,4029.46,4878.81,3775.3,4435.53,3290.62,3150.37,2434.62,3020.96,1903.28,2498.28,2313.21,3648.41,2322.5,3222.44
Other Operating Income,42.5,40.36,--,47.57,41.95,--,--,--,--,--,35.37,40.96,31.52,--,--,28.45,--,--,5.67,--,42.34,61.51,72.1,123.34,80.03,140.94,--,--,--,--,--,--,95.75,119.24,83.05,--,84.38,88.37,107.83,70.17,70.37,67.31,43.18,55.82,49.93,51.34,50.6,80.05,58.01,73.61
Total Income From Operations,9478.67,8768.83,8598.53,11266.69,9273.01,9638.04,8189.29,11625.67,9029.67,8265.95,8470.23,8744.29,5535.16,4457.85,2950.99,7000.49,4813.51,2836.58,650.87,3838.46,4015.65,3929.5,5683.86,8845.93,6325.24,7621.06,6250.13,8772.49,7113.16,6046.89,4237.78,6617.89,4430.9,4622.41,4258.84,5973.16,4113.84,4967.18,3883.13,4505.7,3361.0,3217.68,2477.8,3076.78,1953.21,2549.62,2363.81,3728.46,2380.51,3296.05
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,6367.4,5773.54,6198.8,7492.48,6555.36,6992.28,5876.42,8080.23,7203.33,5832.03,6464.65,6429.86,4157.36,3092.54,2233.4,5273.45,3598.12,1922.37,325.02,1955.25,1760.26,2172.61,4496.34,5158.8,5319.2,5346.67,4753.08,3592.54,5406.48,3395.88,2495.83,4356.58,3409.38,2566.77,2728.39,3677.56,2612.66,3258.54,2549.24,2817.96,2036.42,2057.42,1714.84,1857.5,1055.65,1456.7,1539.85,1963.33,1646.42,1880.98
Purchase of Traded Goods,393.39,406.96,416.73,424.52,368.49,355.17,358.23,335.36,292.53,273.85,265.4,267.63,247.56,169.97,211.74,257.6,214.72,199.92,74.42,200.3,227.38,174.39,191.15,191.16,210.59,159.85,525.7,622.95,548.43,446.22,435.23,454.55,385.0,411.16,356.94,218.85,511.6,445.83,354.94,451.83,266.22,400.0,273.14,304.7,370.24,311.8,282.28,447.01,308.94,302.59
Increase/Decrease in Stocks,13.49,60.54,-410.89,173.57,-226.11,-260.9,-197.5,373.08,-610.01,340.7,-767.66,144.68,-91.81,156.03,-257.89,-147.66,-230.43,-102.23,18.01,573.41,965.59,366.3,-713.83,1079.25,-1094.07,-8.89,-927.64,2090.57,-873.12,465.28,11.42,-50.78,-660.69,155.74,-154.82,309.8,-248.77,-243.08,-246.96,8.16,200.54,-89.23,-172.09,154.16,130.94,177.22,-38.44,414.18,-244.74,215.76
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,606.35,598.68,549.75,553.53,569.46,572.83,537.56,591.93,549.47,527.05,701.66,437.58,432.41,400.3,424.31,401.6,454.48,373.62,354.19,409.72,272.79,432.12,500.43,573.48,500.07,525.08,492.99,454.92,491.77,482.49,437.64,411.82,361.6,369.2,358.13,332.55,347.48,376.32,328.71,332.33,277.04,291.5,283.14,247.29,239.62,254.57,258.19,282.14,261.71,263.8
Depreciation,192.33,175.44,172.72,179.69,178.47,180.29,179.36,183.82,188.95,176.79,212.4,195.35,189.65,184.27,183.49,218.45,194.43,171.16,163.67,187.66,157.46,160.04,164.64,159.76,160.66,148.11,143.05,146.3,135.04,141.14,132.13,139.48,119.28,126.11,120.97,131.6,119.42,123.11,113.77,110.08,99.86,103.08,103.32,103.45,88.33,90.08,95.17,100.01,93.11,98.41
