Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Dec '20
Net Sales/Income from operations,46.85,38.89,37.63,30.07,34.31,27.14,13.62,35.22,43.39,31.99,30.3,28.46,31.14,26.42,22.87,22.75,29.88
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,46.85,38.89,37.63,30.07,34.31,27.14,13.62,35.22,43.39,31.99,30.3,28.46,31.14,26.42,22.87,22.75,29.88
EXPENDITURE,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,36.76,34.52,49.03,48.86,47.56,47.41,72.42,71.0,68.55,74.18,119.91,119.33,117.86,166.61,127.74,71.6,32.12
Depreciation,0.84,0.82,0.81,0.81,0.74,0.75,0.75,0.81,0.93,0.94,0.94,0.93,0.94,0.96,0.99,1.01,1.02
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,99.73,--,--,30.47,51.27,--,--,0.08,0.51,0.62,1.09,0.8,0.88,1.53,0.67,0.7,0.71
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,4.96,50.78,49.1,3.58,4.33,15.03,2.29,2.82,2.55,3.41,3.34,4.1,3.33,2.51,12.17,7.03,2.1
"P/L Before Other Inc. , Int., Excpt. Items & Tax",-95.44,-47.23,-61.31,-53.65,-69.59,-36.05,-61.84,-39.5,-29.15,-47.16,-94.99,-96.69,-91.87,-145.18,-118.7,-57.59,-6.08
Other Income,63.22,65.36,67.71,62.2,63.37,63.15,63.9,61.69,58.79,45.04,52.15,38.75,46.16,30.91,18.88,18.3,15.93
"P/L Before Int., Excpt. Items & Tax",-32.22,18.13,6.4,8.55,-6.22,27.1,2.06,22.2,29.64,-2.13,-42.84,-57.94,-45.71,-114.27,-99.82,-39.3,9.85
Interest,0.04,0.05,0.09,0.1,0.13,0.14,0.17,0.18,0.21,0.21,0.23,0.24,0.27,0.27,0.29,0.31,0.34
P/L Before Exceptional Items & Tax,-32.26,18.08,6.31,8.45,-6.35,26.96,1.89,22.02,29.43,-2.34,-43.07,-58.18,-45.99,-114.54,-100.11,-39.61,9.51
Exceptional Items,11.16,--,--,3.22,-0.27,--,--,--,--,--,--,--,6.26,-6.0,-0.09,-0.17,-0.09
P/L Before Tax,-21.1,18.08,6.31,11.67,-6.62,26.96,1.89,22.02,29.43,-2.34,-43.07,-58.18,-39.72,-120.55,-100.2,-39.78,9.43
Tax,-5.31,4.11,0.92,1.77,8.06,--,--,--,--,0.0,--,--,-0.56,--,--,--,1.58
P/L After Tax from Ordinary Activities,-15.79,13.97,5.39,9.9,-14.68,26.96,1.89,22.02,29.43,-2.34,-43.07,-58.18,-39.16,-120.55,-100.2,-39.78,7.85
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,-15.79,13.97,5.39,9.9,-14.68,26.96,1.89,22.02,29.43,-2.34,-43.07,-58.18,-39.16,-120.55,-100.2,-39.78,7.85
Equity Share Capital,91.85,91.84,91.23,91.21,90.24,90.2,90.02,90.02,90.02,90.02,89.9,89.9,89.9,89.9,82.25,89.9,0.05
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,
Basic EPS,-0.34,0.31,0.12,0.22,-0.33,0.6,0.04,0.49,0.66,-0.05,-0.97,-1.32,-0.89,-2.83,-2.44,-0.88,344.1
Diluted EPS,-0.34,0.3,0.12,0.21,-0.33,0.59,0.04,0.48,0.65,-0.05,-0.97,-1.32,-0.89,-2.83,-2.58,--,0.21
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,
