Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16
Net Sales/Income from operations,5225.58,5045.17,5025.57,4503.88,4368.25,4304.81,4306.09,3887.32,3726.03,3792.05,3836.55,3468.22,3317.78,3311.88,3250.29,3152.14,2616.22,2611.41,2462.52,2323.84,2345.55,2456.16,2356.92,2244.89,2197.47,2110.97,2222.02,1844.89,1816.64,1750.51,1810.8,1533.78,208.52,1543.19,1630.31,125.44
Other Operating Income,825.58,1115.94,1121.73,1097.47,998.8,870.17,944.85,807.08,792.69,766.93,832.23,661.09,702.58,695.05,725.86,870.51,546.43,581.78,532.18,508.48,536.02,437.0,497.2,536.72,423.64,397.0,457.51,517.38,323.42,360.48,383.68,465.06,113.68,354.4,362.27,69.3
Total Income From Operations,6051.16,6161.11,6147.3,5601.35,5367.05,5174.98,5250.94,4694.4,4518.72,4558.98,4668.78,4129.31,4020.36,4006.93,3976.15,4022.65,3162.65,3193.19,2994.7,2832.32,2881.57,2893.16,2854.12,2781.61,2621.11,2507.97,2679.53,2362.27,2140.06,2110.99,2194.48,1998.84,322.2,1897.59,1992.58,194.74
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,393.32,391.56,369.59,361.22,325.27,312.5,305.96,312.49,257.83,273.07,278.04,279.01,210.2,239.41,246.35,253.81,191.63,167.07,177.62,203.89,172.19,168.44,164.65,174.41,136.98,142.3,150.17,148.11,116.04,128.44,113.47,135.65,--,109.12,108.28,--
Depreciation,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,2.43,25.65,79.25,94.68,21.8,38.29,42.77,49.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,-3.72,-6.93,-0.2,-35.53,79.99,37.14,40.99,-18.18,-8.93,0.86,88.95,2.96,-10.7,-0.14,5.23,-39.57,7.75,6.81,-66.86,5.66,125.85,25.77,8.03,8.7,21.94,2.06,-18.63,0.79,8.67,55.43,3.58,0.23,8.61,1.17,-0.07,0.27
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,5050.53,4788.59,4758.53,4410.53,4270.61,4250.32,4117.69,3859.8,4625.16,3830.92,3727.85,3402.32,4189.8,3358.92,3136.82,3560.8,2978.74,2606.76,2341.78,2103.58,2299.87,2330.76,2224.51,2132.7,2153.31,2017.55,2111.81,1785.93,1736.92,1618.68,1799.65,1567.38,66.8,1565.75,1663.75,2.73
"P/L Before Other Inc. , Int., Excpt. Items & Tax",608.6,962.24,940.13,770.45,669.38,536.73,743.53,490.79,-355.34,454.13,573.94,445.02,-368.94,408.74,587.75,247.61,-15.47,412.55,542.16,519.19,283.66,368.19,456.93,465.8,308.88,346.06,436.18,427.44,278.43,308.44,277.78,295.58,246.79,221.55,220.62,191.74
Other Income,59.6,-2.13,-21.12,3.54,28.41,37.0,20.12,29.22,927.85,11.13,35.73,20.07,779.39,12.2,6.12,10.65,465.58,5.68,12.41,11.85,86.98,21.73,4.13,9.47,36.61,14.61,12.84,15.79,8.75,13.91,8.51,4.84,1.84,4.19,23.27,0.1
