Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20
Net Sales/Income from operations,422.55,438.43,417.64,380.47,359.53,335.82,329.18,305.65,291.85,308.74,305.63,299.01,317.1,326.82,324.39,295.16,304.05,271.37,250.42
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,422.55,438.43,417.64,380.47,359.53,335.82,329.18,305.65,291.85,308.74,305.63,299.01,317.1,326.82,324.39,295.16,304.05,271.37,250.42
EXPENDITURE,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,95.33,84.65,85.18,85.14,81.51,74.98,76.45,73.75,64.1,66.36,68.02,60.69,64.79,37.66,71.41,64.33,59.07,55.1,54.43
Depreciation,9.46,10.87,9.51,8.88,9.79,8.52,8.89,6.35,8.14,8.37,8.18,8.59,8.71,8.59,8.58,8.69,8.89,9.03,9.17
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,84.0,81.43,82.89,77.0,74.75,67.28,62.36,63.92,70.89,60.57,57.08,58.34,59.63,52.02,55.96,51.57,51.68,57.61,57.44
"P/L Before Other Inc. , Int., Excpt. Items & Tax",233.76,261.48,240.06,209.45,193.48,185.04,181.48,161.63,148.72,173.44,172.35,171.4,183.98,228.55,188.44,170.57,184.4,149.62,129.38
Other Income,71.63,38.04,95.42,94.4,74.04,79.1,55.35,77.45,31.9,48.89,76.36,-30.8,23.53,18.74,40.21,33.07,16.81,43.06,35.7
"P/L Before Int., Excpt. Items & Tax",305.39,299.52,335.48,303.85,267.52,264.14,236.83,239.08,180.62,222.34,248.71,140.6,207.51,247.29,228.66,203.65,201.21,192.68,165.08
Interest,1.09,1.7,1.39,1.4,1.67,1.43,1.67,0.78,0.82,0.93,0.99,1.12,1.14,1.14,1.2,1.34,1.24,1.36,1.42
P/L Before Exceptional Items & Tax,304.3,297.82,334.09,302.45,265.85,262.71,235.16,238.3,179.8,221.41,247.72,139.48,206.37,246.15,227.45,202.31,199.98,191.32,163.66
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,304.3,297.82,334.09,302.45,265.85,262.71,235.16,238.3,179.8,221.41,247.72,139.48,206.37,246.15,227.45,202.31,199.98,191.32,163.66
Tax,76.96,75.43,92.75,68.8,59.19,54.17,58.7,55.73,45.39,56.4,57.73,37.97,50.81,62.74,57.43,50.94,50.99,47.14,38.5
P/L After Tax from Ordinary Activities,227.34,222.39,241.34,233.65,206.66,208.54,176.46,182.57,134.42,165.01,189.99,101.52,155.56,183.41,170.03,151.37,148.98,144.19,125.16
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,227.34,222.39,241.34,233.65,206.66,208.54,176.46,182.57,134.42,165.01,189.99,101.52,155.56,183.41,170.03,151.37,148.98,144.19,125.16
Equity Share Capital,144.24,144.23,144.15,144.05,144.05,144.04,144.04,144.02,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,18.0,18.0,18.0
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,
Basic EPS,7.88,7.71,8.37,8.11,7.17,7.24,6.13,6.34,4.67,5.73,6.6,3.52,5.4,6.37,5.9,5.26,41.38,40.05,34.77
Diluted EPS,7.86,7.69,8.35,8.09,7.16,7.22,6.11,6.32,4.65,5.71,6.58,3.51,5.39,6.35,5.88,5.24,5.17,5.0,4.35
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
