Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12
Net Sales/Income from operations,605.86,634.42,653.23,630.07,706.24,711.35,721.01,630.24,697.0,685.96,588.06,534.27,644.15,507.22,519.17,441.42,475.43,370.3,248.13,377.26,412.82,409.67,498.21,441.09,562.79,551.62,549.6,527.64,518.13,506.95,493.35,518.05,514.87,465.01,428.53,405.78,418.89,401.85,373.11,360.23,401.45,373.04,351.55,344.7,436.28,320.77,324.81,320.31,326.02,344.29
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.51,1.82,1.81,10.71,0.92,2.95,2.1,11.86,11.4,1.63,5.38,2.2,4.02,5.24,6.32,10.71,2.17,0.62
Total Income From Operations,605.86,634.42,653.23,630.07,706.24,711.35,721.01,630.24,697.0,685.96,588.06,534.27,644.15,507.22,519.17,441.42,475.43,370.3,248.13,377.26,412.82,409.67,498.21,441.09,562.79,551.62,549.6,527.64,518.13,506.95,493.35,518.05,523.38,466.84,430.34,416.5,419.81,404.8,375.21,372.1,412.85,374.67,356.92,346.9,440.3,326.01,331.13,331.02,328.19,344.91
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,54.24,47.27,88.0,108.52,123.7,146.62,176.81,129.39,198.48,216.02,143.01,137.74,197.32,94.56,42.32,58.98,69.08,29.48,30.99,41.72,55.7,52.63,123.16,69.29,70.22,67.17,67.31,71.73,41.81,46.51,37.54,65.26,79.9,50.16,29.05,24.68,35.24,33.77,22.76,20.14,21.22,29.69,10.83,31.42,117.15,36.08,27.55,42.85,38.61,71.35
Purchase of Traded Goods,78.9,87.67,88.88,101.56,108.59,103.81,105.03,100.98,107.29,92.14,93.32,46.97,61.73,63.31,98.02,68.13,75.59,47.55,21.56,33.9,25.1,28.22,29.95,31.03,30.19,28.37,33.37,20.58,18.47,17.96,19.88,21.08,17.01,18.23,17.17,17.01,12.83,13.17,12.6,17.31,18.91,18.29,17.83,20.23,10.31,10.87,9.88,8.39,18.35,15.21
Increase/Decrease in Stocks,-0.73,8.98,-1.91,1.49,-3.84,-1.02,-0.51,0.77,-3.56,-3.75,-4.34,4.18,11.2,-1.78,8.45,-15.23,-7.13,5.36,0.08,-2.31,2.6,-1.73,1.11,1.28,-8.68,12.06,-5.19,5.18,2.64,-1.68,-2.53,6.27,-2.43,-4.45,2.14,-1.92,2.79,-2.85,2.4,-0.7,-1.58,0.7,7.99,-6.33,-0.71,-4.74,1.12,0.95,4.2,0.29
Power & Fuel,136.08,--,--,127.34,--,113.35,112.48,102.02,109.55,107.17,94.96,--,100.36,--,--,94.89,96.2,95.35,63.91,91.55,--,--,91.68,87.32,219.92,214.26,236.35,219.59,235.31,240.99,229.96,216.24,210.37,210.95,204.9,191.89,189.33,199.39,184.5,173.65,171.6,156.15,147.62,140.03,124.7,119.11,120.17,118.77,119.33,116.6
Employees Cost,10.34,16.95,12.73,14.88,11.33,12.72,14.88,10.11,13.46,14.24,12.99,13.07,14.69,13.48,13.05,9.03,10.72,15.26,17.99,24.81,27.48,31.3,27.12,27.7,30.95,37.16,32.2,26.99,33.11,27.36,30.58,25.4,29.73,24.81,22.68,24.76,18.03,24.78,24.7,24.92,24.8,22.42,23.14,20.55,17.62,21.92,21.83,20.15,18.89,23.45
Depreciation,55.2,51.73,51.4,51.65,50.63,49.75,48.92,65.79,48.11,47.49,45.77,45.72,46.25,44.97,45.0,45.15,47.24,43.13,41.74,43.89,49.22,42.98,42.75,42.3,46.36,50.12,51.16,51.5,56.61,49.02,49.44,51.18,51.95,52.91,49.64,44.38,42.72,40.0,39.63,39.18,55.21,42.07,44.72,39.36,32.73,32.13,32.39,31.79,39.71,30.67
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,134.88,294.71,281.3,97.76,280.27,162.24,148.33,101.24,103.94,115.95,113.4,200.59,110.79,207.41,221.14,93.52,101.02,90.41,42.52,100.67,202.03,189.63,130.63,111.75,135.42,109.0,100.18,111.4,104.01,92.24,97.99,100.88,116.69,92.36,78.01,86.7,95.11,76.14,79.88,82.38,91.38,80.84,82.05,84.62,94.68,78.56,92.29,77.44,84.35,63.15
