Item,Mar 24,Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12,Mar 11
EQUITIES AND LIABILITIES,,,,,,,,,,,,,,
SHAREHOLDER'S FUNDS,,,,,,,,,,,,,,
Equity Share Capital,4553.41,4104.31,4104.31,3277.66,3277.66,2760.03,1743.72,1055.43,817.29,665.65,643.0,596.64,574.52,547.22
Total Share Capital,4553.41,4104.31,4104.31,3277.66,3277.66,2760.03,1743.72,1055.43,817.29,665.65,643.0,596.64,574.52,547.22
Revaluation Reserve,0.0,0.0,0.0,6251.79,6322.36,6273.34,5549.16,0.0,0.0,0.0,0.0,0.0,1235.89,1319.47
Reserves and Surplus,64327.26,54866.31,51026.93,36156.13,34216.3,32647.79,28247.76,29709.72,30196.28,30781.09,29280.08,23321.51,19151.38,15423.99
Total Reserves and Surplus,64327.26,54866.31,51026.93,42407.93,40538.65,38921.13,33796.93,29709.72,30196.28,30781.09,29280.08,23321.51,20387.27,16743.46
Total ShareHolders Funds,68880.67,58970.62,55131.24,45685.59,43816.32,41681.15,35540.65,30765.16,31013.57,31446.74,29923.08,23918.16,20961.78,17290.68
Deposits,737920.21,669585.77,627895.96,627113.56,555504.98,520862.35,520854.38,540032.01,513004.52,531906.63,476974.05,381839.59,318216.03,298885.81
Borrowings,80924.07,64979.02,26760.37,32464.11,39752.47,44241.17,43588.78,39405.67,51083.14,40057.14,48427.51,35367.58,32114.23,22021.38
Other Liabilities and Provisions,24872.97,22020.2,24826.44,17593.19,17921.72,13800.17,9591.03,14384.52,13509.05,15287.25,17865.56,11477.39,13243.43,12974.69
Total Capital and Liabilities,912597.92,815555.61,734614.01,725856.45,656995.48,625222.84,609574.83,626309.27,609913.93,618697.76,573190.2,452602.72,384535.47,351172.55
ASSETS,,,,,,,,,,,,,,
Cash and Balances with Reserve Bank of India,38556.27,44034.51,40280.58,60697.57,29239.25,29236.56,31347.84,27347.66,33961.61,27170.03,19073.44,21967.04,14986.71,21782.43
Balances with Banks Money at Call and Short Notice,44380.86,40360.81,51277.06,65883.1,57217.05,65574.92,64534.66,68540.29,65179.68,49233.66,42308.85,32868.82,19724.54,15527.56
Investments,227144.47,204397.88,174448.41,187252.85,158572.99,147639.04,137111.11,127826.86,118848.92,119792.04,114152.44,94613.43,86753.59,85872.42
Advances,563144.67,485899.64,420841.79,365686.52,368883.3,341005.94,341380.19,366481.67,359188.95,402025.54,370733.54,289367.5,248833.34,213096.18
Fixed Assets,10226.46,9961.0,9774.95,8914.13,8982.0,8920.04,8265.29,8461.86,8480.31,5885.53,5786.06,2870.13,2771.59,2480.74
Other Assets,29145.19,30901.77,37991.22,37422.28,34100.88,32846.34,26935.73,27650.93,24254.46,14590.96,21135.87,10915.8,11465.69,12413.22
Total Assets,912597.92,815555.61,734614.01,725856.45,656995.48,625222.84,609574.83,626309.27,609913.93,618697.76,573190.2,452602.72,384535.47,351172.55
OTHER ADDITIONAL INFORMATION,,,,,,,,,,,,,,
Number of Branches,0.0,0.0,0.0,5084.0,5107.0,5119.0,5127.0,5016.0,5077.0,4892.0,4650.0,4292.0,4000.0,3490.0
Number of Employees,0.0,0.0,0.0,51459.0,49767.0,48807.0,48680.0,47750.0,0.0,45300.0,18533.0,42146.0,44436.0,39785.0
Capital Adequacy Ratios (%),16.96,16.28,17.04,14.93,13.1,14.19,12.94,12.14,12.01,10.73,9.97,11.02,11.95,12.17
KEY PERFORMANCE INDICATORS,,,,,,,,,,,,,,
Tier 1 (%),0.0,0.0,0.0,11.96,9.9,11.07,9.73,8.9,9.03,8.17,7.24,8.2,8.59,8.33
Tier 2 (%),0.0,0.0,0.0,2.97,3.2,3.12,3.21,3.24,2.98,2.56,2.73,2.82,3.36,3.84
ASSETS QUALITY,,,,,,,,,,,,,,
Gross NPA,29182.77,37685.56,45605.4,56534.94,61550.0,60661.12,62328.46,52044.52,49879.13,22193.24,11868.6,8765.25,5893.97,4811.55
Gross NPA (%),4.98,7.0,10.0,14.0,15.0,16.0,17.0,13.0,13.0,5.0,3.0,3.0,2.0,2.0
Net NPA,6845.25,8053.61,9851.93,12262.02,14311.0,19118.96,28207.27,25305.03,27996.4,13517.57,7417.22,5947.31,3656.42,1944.99
Net NPA (%),1.22,1.66,2.34,3.35,3.88,5.61,8.28,6.9,7.79,3.36,2.0,2.06,1.47,0.91
Net NPA To Advances (%),0.7,0.0,0.0,3.0,4.0,6.0,8.0,7.0,8.0,3.0,2.0,2.0,1.0,1.0
"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,,,,,,,,,
Bills for Collection,0.0,0.0,0.0,24906.92,25056.25,28500.4,32102.67,31621.87,375997.27,65422.65,52079.0,51372.78,45255.1,32505.88
Contingent Liabilities,0.0,0.0,0.0,453634.85,352309.91,311309.21,0.0,391401.3,707618.65,200913.85,273952.28,245916.8,210428.17,176205.41
Equity Share Application Money,,,,3000.0,0.0,4638.0,0.0,1721.92,1303.65,0.0,0.0,0.0,0.0,0.0
Preference Share Capital,,,,,,,,,,,,0.0,0.0,0.0
Money Against Share Warrants,,,,,,,,,,,,0.0,0.0,0.0
Employees Stock Options,,,,,,,,,,,,0.0,0.0,0.0
Preference Share Application Money,,,,,,,,,,,,0.0,0.0,0.0
Share Capital Suspense,,,,,,,,,,,,0.0,0.0,0.0
