Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,165.79,85.71,251.5,123.67,-1.67,22.65,6.09,0.0,85.63,15.13,2.0,17.13,4.24,12.89,12.89,-13.74,26.63,26.63,53.1,1.0,1.0,16.22,61.11,4.34,42.04,16.35
2013-03-31,172.13,9.05,181.18,124.87,6.02,22.24,6.05,0.0,55.86,-33.86,3.41,-30.45,4.34,-34.79,-34.79,-50.53,15.74,15.74,53.1,0.59,0.59,16.22,61.07,4.72,45.66,17.78
2013-06-30,156.5,122.24,278.74,115.21,-7.05,21.39,5.98,0.0,40.05,103.16,2.38,105.54,5.02,100.52,100.52,-0.62,101.14,101.14,53.19,3.81,3.79,16.25,61.12,3.7,35.76,13.9
2013-09-30,190.1,20.54,210.64,133.78,0.77,20.94,5.97,0.0,46.0,3.18,3.52,6.7,5.28,1.42,1.42,-0.57,1.99,1.99,53.19,0.07,0.04,16.19,60.9,3.66,35.22,13.77
2013-12-31,292.27,0.0,292.27,141.74,2.42,22.63,5.94,0.0,42.57,76.97,3.27,80.24,6.02,74.22,74.22,0.54,73.68,73.68,53.22,2.77,2.76,16.21,60.92,3.56,34.25,13.38
2014-03-31,191.65,22.62,214.27,137.73,-1.02,14.46,5.73,0.0,51.46,5.91,3.33,9.24,5.46,3.78,3.78,-4.58,8.36,8.36,53.25,0.31,0.31,16.1,60.46,3.54,33.67,13.32
2014-06-30,0.0,111.76,111.76,0.0,0.0,10.41,1.0,0.0,10.36,89.99,1.65,91.64,0.1,91.54,91.54,10.28,81.26,81.26,53.26,3.05,3.04,15.84,59.5,4.78,44.36,17.96
2014-09-30,14.89,0.0,14.89,0.0,0.0,13.55,1.11,0.0,9.6,-9.37,0.01,-9.36,0.1,-9.46,-9.46,1.84,-11.3,-11.3,53.3,-0.42,-0.42,15.86,59.53,4.4,40.77,16.5
2014-12-31,416.37,0.0,416.37,0.0,0.0,12.94,1.1,0.0,14.9,387.43,0.07,387.5,0.1,387.4,387.4,58.17,329.23,329.23,53.3,12.35,12.29,15.86,59.52,4.02,37.23,15.07
2015-03-31,38.76,0.0,38.76,0.0,0.0,15.74,1.17,0.0,23.67,-1.82,1.15,-0.67,0.16,-0.83,-0.83,7.42,-8.25,-8.25,53.3,-0.31,-0.31,15.86,59.52,3.97,36.81,14.9
