Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21
Net Sales/Income from operations,2022.05,2204.28,2019.96,2006.16,1878.77,2026.85,1771.27,1777.19,1722.78,1683.29,1653.27,1599.32,1677.85,1622.2,1344.09,1266.85
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,2022.05,2204.28,2019.96,2006.16,1878.77,2026.85,1771.27,1777.19,1722.78,1683.29,1653.27,1599.32,1677.85,1622.2,1344.09,1266.85
EXPENDITURE,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,-176.05,13.92,162.13
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,1.58,--,--,--,-0.13,3.49,-6.23
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,320.64,337.31,328.32,309.78,330.92,330.72,333.06,314.41,316.65,297.8,303.44,299.59,286.96,278.38,416.85,195.27
Depreciation,139.49,137.61,126.9,115.31,186.4,169.93,154.4,148.51,181.4,169.71,162.4,143.46,166.8,132.24,97.59,81.54
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,1581.16,1757.72,1639.27,1590.88,1496.78,1573.25,1441.11,1456.28,1390.53,1452.26,1487.57,1498.08,1326.12,1481.44,1416.91,971.07
"P/L Before Other Inc. , Int., Excpt. Items & Tax",-19.25,-28.36,-74.52,-9.81,-135.33,-47.05,-157.3,-142.01,-165.8,-238.06,-300.14,-341.82,-102.02,-93.68,-604.66,-136.93
Other Income,113.27,103.61,124.3,115.21,123.06,138.85,107.21,106.22,78.36,93.24,102.37,57.2,47.35,34.68,36.02,51.81
"P/L Before Int., Excpt. Items & Tax",94.02,75.24,49.78,105.4,-12.27,91.81,-50.08,-35.79,-87.44,-144.82,-197.77,-284.62,-54.67,-59.0,-568.64,-85.12
Interest,33.42,33.19,30.4,28.05,26.96,21.99,19.47,19.32,18.75,21.17,23.21,23.22,22.94,24.14,24.11,22.7
P/L Before Exceptional Items & Tax,60.6,42.05,19.37,77.35,-39.23,69.82,-69.55,-55.11,-106.19,-165.99,-220.98,-307.83,-77.62,-83.14,-592.75,-107.82
Exceptional Items,-77.15,-4.04,-0.29,-5.38,-57.06,-16.84,--,--,-11.31,--,--,--,--,--,--,-2.19
P/L Before Tax,-16.54,38.01,19.08,71.98,-96.29,52.97,-69.55,-55.11,-117.5,-165.99,-220.98,-307.83,-77.62,-83.14,-592.75,-110.01
Tax,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L After Tax from Ordinary Activities,-16.54,38.01,19.08,71.98,-96.29,52.97,-69.55,-55.11,-117.5,-165.99,-220.98,-307.83,-77.62,-83.14,-592.75,-110.01
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,-16.54,38.01,19.08,71.98,-96.29,52.97,-69.55,-55.11,-117.5,-165.99,-220.98,-307.83,-77.62,-83.14,-592.75,-110.01
Equity Share Capital,74.56,74.28,74.0,73.86,73.68,73.5,73.38,73.12,72.87,72.81,72.58,72.45,64.21,64.21,18.72,1.64
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,
Basic EPS,-0.22,0.51,0.26,0.98,-1.31,0.72,-0.94,-0.76,-1.59,-2.24,-3.0,-4.53,-1.3,-1.29,-31.67,-67.16
Diluted EPS,-0.22,0.5,0.25,0.95,-1.31,0.7,-0.94,-0.76,-1.59,-2.24,-3.0,-4.53,-1.3,--,-10.3,-2.05
EPS After Extra Ordinary,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,
