Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Money Received Against Share Warrants,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Equity Share Application Money,Deferred Tax Assets [Net],Current Investments,Revaluation Reserves
2005-06-30,12.33,12.33,62.7,63.0,0.0,75.33,42.54,4.0,0.0,0.0,46.54,51.49,15.16,0.87,1.76,69.27,191.14,53.32,0.0,36.57,0.0,89.89,0.44,0.0,2.13,92.56,20.15,45.73,22.22,10.48,0.0,98.57,191.14,34.21,2.19,0.0,91.73,0.0,0.0,0.43,0.0,0.0,43.44,0.0,1.18,0.0,0.11,0.0,0.3
2006-06-30,12.37,12.37,70.2,70.2,0.0,82.57,72.85,7.12,0.0,0.0,79.97,54.3,20.24,3.82,1.9,80.26,244.19,118.73,0.0,23.69,0.0,142.42,0.54,0.0,1.72,146.2,20.9,61.65,4.72,10.73,0.0,97.99,244.19,67.49,1.74,0.0,133.38,0.0,0.0,0.43,0.0,0.0,70.71,0.0,7.72,1.39,1.51,0.0,0.0
2007-06-30,20.2,20.2,152.62,152.62,0.0,172.82,75.13,9.16,0.0,0.0,84.29,27.28,13.09,4.12,3.17,47.65,306.27,128.2,0.0,71.34,0.0,199.54,18.72,0.0,1.5,220.48,19.89,22.7,27.1,16.1,0.0,85.79,306.27,51.71,21.37,0.0,127.74,0.0,0.0,18.62,0.0,0.0,64.47,0.0,13.84,1.51,0.72,0.0,0.0
2008-06-30,20.23,20.23,158.94,158.94,0.0,179.17,94.07,11.31,0.0,0.0,105.38,17.01,15.02,4.51,3.79,40.34,326.4,136.14,0.0,92.54,0.0,228.68,21.67,0.0,2.27,253.38,29.16,19.51,5.92,18.43,0.0,73.02,326.4,62.91,4.81,0.0,151.42,0.0,0.0,21.57,0.0,0.0,79.28,0.0,5.33,1.51,0.76,0.0,0.0
2009-03-31,21.74,21.74,161.09,161.09,0.0,182.84,100.23,13.96,0.0,0.0,114.19,18.69,23.62,4.3,3.35,49.96,346.98,224.5,0.0,2.02,0.0,226.53,21.67,0.0,1.93,251.73,37.15,30.55,7.5,20.06,0.0,95.25,346.98,81.37,4.97,0.0,188.78,0.0,0.0,21.57,0.0,0.0,114.3,0.0,1.77,0.0,1.6,0.0,0.0
2010-03-31,21.74,21.74,182.11,182.11,0.0,203.85,77.55,17.46,0.0,0.0,95.01,23.18,32.85,5.32,2.93,64.28,363.14,219.56,0.0,2.18,0.0,221.73,22.6,0.0,1.54,249.6,51.6,31.5,9.43,21.01,0.0,113.54,363.14,85.31,8.95,0.0,312.26,0.0,0.0,22.5,0.0,0.0,182.95,0.0,2.81,0.0,3.72,0.0,0.0
2011-03-31,20.06,20.06,202.02,202.02,0.0,222.07,37.83,19.91,0.0,1.19,58.94,47.8,35.25,18.58,3.5,105.12,386.13,204.18,18.81,6.14,0.0,229.12,22.6,10.68,0.12,262.52,60.13,37.55,6.82,2.03,17.07,123.61,386.13,123.49,10.68,0.56,315.6,0.0,0.0,22.5,0.0,0.0,174.94,0.51,12.06,0.0,0.0,0.0,0.0
2012-03-31,20.06,20.06,224.68,224.68,0.0,244.74,88.05,23.09,0.0,1.53,112.68,63.73,64.23,17.04,4.66,149.67,507.08,221.53,15.62,29.08,0.0,266.23,32.8,20.35,0.12,319.49,88.57,53.03,23.65,2.64,19.69,187.59,507.08,181.35,19.61,0.67,482.18,0.0,0.0,32.8,0.0,0.0,216.81,0.95,9.27,0.0,0.0,0.0,0.0
2013-03-31,20.13,20.13,250.37,250.37,0.0,270.49,140.72,25.1,0.0,2.12,167.95,76.71,83.85,13.03,4.71,178.3,617.05,232.4,12.43,91.6,0.0,336.44,41.3,12.53,3.68,393.94,108.49,68.1,6.16,5.65,25.26,223.12,617.05,186.43,22.24,0.89,545.78,0.0,0.0,41.3,9.46,0.0,275.98,1.23,15.08,0.32,0.0,9.46,0.0
2014-03-31,20.28,20.28,324.03,324.03,0.0,344.31,222.09,35.81,0.0,3.7,261.6,77.49,126.25,37.6,8.3,249.64,855.81,326.43,9.24,39.14,0.0,374.82,145.45,3.15,2.56,525.96,120.29,121.82,21.93,3.14,62.67,329.85,855.81,362.92,34.76,0.69,823.96,0.0,0.0,145.45,0.0,0.0,356.96,2.09,9.54,0.25,0.0,0.0,0.0
2015-03-31,20.43,20.43,404.98,404.98,0.0,425.41,244.7,53.28,0.0,5.13,303.11,114.87,183.84,61.63,12.29,372.64,1101.15,435.28,86.89,18.5,0.0,540.67,72.47,18.7,1.84,633.67,179.4,189.81,52.23,3.86,42.18,467.48,1101.15,369.36,30.27,1.19,920.73,0.0,0.0,72.47,0.0,0.0,431.58,3.08,13.29,0.0,0.0,0.0,0.0
2016-03-31,21.67,21.67,614.13,614.13,0.0,662.96,184.21,61.16,0.0,5.28,250.65,147.48,177.15,78.86,6.8,410.3,1323.92,440.47,82.82,35.28,0.0,558.57,88.51,76.78,0.69,724.55,210.13,198.79,110.7,73.19,6.56,599.37,1323.92,453.92,30.39,0.04,1011.9,0.0,0.01,88.51,0.0,27.16,409.06,3.74,6.72,0.0,0.0,0.0,0.0
2017-03-31,22.87,22.87,861.49,861.49,0.0,884.36,124.24,64.03,0.0,7.25,195.52,473.83,209.9,89.76,1.6,775.09,1854.97,530.57,75.01,120.02,12.29,737.89,75.12,179.85,28.61,1021.47,237.59,468.31,39.36,1.39,86.84,833.5,1854.97,303.0,443.84,0.0,0.0,992.64,0.02,75.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,25.38,25.38,1252.81,1252.81,0.0,1278.2,433.13,62.82,0.0,7.7,503.65,525.1,238.38,57.46,2.67,823.61,2605.46,588.54,71.61,271.04,14.99,946.18,75.12,418.74,20.26,1460.3,227.36,681.74,97.41,0.2,138.45,1145.16,2605.46,225.39,42.18,0.0,0.0,1235.23,0.02,75.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,25.42,25.42,1397.81,1397.81,0.0,1423.24,478.78,66.93,0.0,12.58,558.3,454.21,276.89,107.4,4.34,842.84,2824.37,632.66,67.29,308.74,24.28,1032.98,506.46,65.45,10.57,1615.46,314.14,704.21,62.44,0.49,127.64,1208.91,2824.37,195.03,841.86,0.0,0.0,1560.3,0.02,506.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,25.42,25.42,1777.38,1777.38,8.78,1811.59,420.92,44.72,0.0,21.5,487.14,371.69,322.88,146.93,5.96,847.45,3146.18,867.71,59.18,100.86,28.92,1056.66,445.39,154.29,14.95,1671.3,343.95,627.0,272.34,1.76,229.84,1474.88,3146.18,187.47,775.09,0.0,0.0,1843.38,0.03,445.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,24.77,24.77,2127.56,2127.56,10.3,2162.62,333.81,25.89,7.34,24.84,391.88,504.64,507.65,102.69,13.34,1128.33,3682.83,926.31,58.69,146.58,17.43,1149.01,591.53,10.11,54.31,1804.97,461.7,1014.24,241.23,0.28,160.43,1877.87,3682.83,235.95,869.06,0.0,0.0,2652.75,0.05,591.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,24.8,24.8,2493.62,2493.62,12.24,2530.66,233.7,30.07,8.28,28.31,300.36,813.52,606.8,98.44,22.83,1541.6,4372.62,1110.3,60.53,194.15,16.38,1381.36,596.53,13.03,51.05,2041.97,590.74,1210.43,355.08,0.28,174.11,2330.65,4372.62,220.55,103838.87,0.0,0.0,2792.4,0.01,596.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,24.2,24.2,2661.83,2661.83,13.43,2699.46,148.64,23.44,8.7,29.26,210.04,762.18,744.39,72.58,14.62,1593.77,4503.27,1256.06,73.73,63.46,0.0,1393.26,676.53,12.15,103.37,2185.3,593.41,1372.19,202.98,0.0,149.39,2317.97,4503.27,213.49,1411.96,0.0,0.0,3652.58,0.01,676.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,24.24,24.24,3073.0,3073.0,13.71,3110.95,50.01,31.05,7.21,37.86,126.13,1004.24,654.63,97.84,11.84,1768.55,5005.63,1265.52,58.15,52.53,0.41,1376.61,941.4,0.0,53.7,2371.71,578.62,1633.19,228.11,2.73,191.27,2633.92,5005.63,191.59,1008.36,0.0,0.0,3554.52,0.01,941.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
