Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19
Net Sales/Income from operations,316.88,329.13,416.64,386.56,327.48,346.12,311.26,352.45,263.16,280.49,316.26,239.38,262.37,249.01,272.53,275.71,244.24,260.32,225.95,210.05,179.77,219.44,218.08,214.24
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,316.88,329.13,416.64,386.56,327.48,346.12,311.26,352.45,263.16,280.49,316.26,239.38,262.37,249.01,272.53,275.71,244.24,260.32,225.95,210.05,179.77,219.44,218.08,214.24
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,89.52,87.93,94.76,91.77,97.25,87.69,94.9,88.52,91.26,89.77,89.8,86.44,100.97,86.43,89.81,85.25,62.6,107.58,82.42,89.03,100.41,68.61,63.47,76.44
Depreciation,10.63,10.22,10.18,10.16,10.66,9.44,9.45,8.9,9.54,9.74,9.42,9.06,8.98,8.78,8.52,8.49,8.53,9.01,8.69,7.63,9.85,7.98,7.83,7.56
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.28,--,10.02,-10.02
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,46.14,41.47,41.45,36.45,36.71,43.78,38.54,38.4,42.76,32.3,38.79,33.19,35.4,30.4,30.29,35.84,43.43,27.29,26.81,29.34,27.21,32.01,36.18,38.38
"P/L Before Other Inc. , Int., Excpt. Items & Tax",170.59,189.51,270.25,248.18,182.86,205.21,168.37,216.63,119.6,148.68,178.25,110.69,117.02,123.4,143.91,146.13,129.68,116.44,108.03,84.05,42.02,110.84,100.59,101.89
Other Income,1.42,0.82,1.54,3.45,3.12,0.39,0.16,0.17,8.4,0.09,0.16,0.73,0.13,0.13,0.52,4.18,3.42,5.98,10.47,7.72,4.9,7.52,10.74,7.1
"P/L Before Int., Excpt. Items & Tax",172.01,190.33,271.79,251.63,185.98,205.6,168.53,216.8,128.0,148.77,178.41,111.42,117.15,123.53,144.43,150.31,133.1,122.42,118.5,91.77,46.92,118.36,111.33,108.99
Interest,3.25,3.12,2.98,3.07,2.92,2.79,2.74,2.5,2.42,2.45,2.37,2.28,2.23,2.55,2.07,2.3,2.28,2.26,2.32,1.12,3.72,1.87,1.94,1.77
P/L Before Exceptional Items & Tax,168.76,187.21,268.81,248.56,183.06,202.81,165.79,214.3,125.58,146.32,176.04,109.14,114.92,120.98,142.36,148.01,130.82,120.16,116.19,90.65,43.2,116.48,109.38,107.22
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,168.76,187.21,268.81,248.56,183.06,202.81,165.79,214.3,125.58,146.32,176.04,109.14,114.92,120.98,142.36,148.01,130.82,120.16,116.19,90.65,43.2,116.48,109.38,107.22
Tax,44.74,44.72,67.61,62.75,31.74,52.53,31.37,49.8,27.23,38.16,56.84,7.16,40.35,17.16,21.97,29.0,17.36,39.43,27.8,21.57,12.55,29.4,-9.99,35.17
P/L After Tax from Ordinary Activities,124.02,142.49,201.2,185.81,151.32,150.28,134.42,164.5,98.35,108.16,119.2,101.98,74.57,103.82,120.39,119.01,113.46,80.73,88.39,69.09,30.65,87.08,119.37,72.06
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,124.02,142.49,201.2,185.81,151.32,150.28,134.42,164.5,98.35,108.16,119.2,101.98,74.57,103.82,120.39,119.01,113.46,80.73,88.39,69.09,30.65,87.08,119.37,72.06
Equity Share Capital,127.98,127.92,127.48,127.28,127.26,127.24,127.0,126.98,126.98,126.97,126.96,126.96,126.95,126.89,126.83,126.79,126.79,126.79,126.79,126.79,126.79,126.79,126.79,126.79
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
