Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Equity Share Application Money,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Total Non-Current Assets,Cash And Cash Equivalents,Short Term Loans And Advances,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings
2008-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,1000.0,1000.0,1155.65,1155.65,0.0,2155.65,0.0,18321.38,26439.43,44760.81,1253.64,70.3,1323.94,48240.4,265.22,0.0,0.0,265.22,44777.62,0.0,45042.84,2303.4,894.16,3197.56,48240.4,138.84,0.0,0.0
2013-03-31,1000.0,1000.0,1710.05,1710.05,0.0,2710.05,0.0,23082.89,26526.02,49608.9,1354.11,72.47,1426.58,53745.53,275.37,0.0,0.0,275.37,50047.3,0.17,50322.84,2153.19,1269.51,3422.69,53745.53,350.12,0.0,0.0
2014-03-31,1000.0,1000.0,2342.33,2342.33,0.0,3342.33,0.0,27064.36,28589.85,55654.21,1472.71,146.78,1619.49,60616.03,286.11,0.0,0.0,286.11,56274.62,0.64,56561.36,2542.29,1512.38,4054.67,60616.03,446.87,0.0,0.0
2015-03-31,1000.0,1000.0,3039.41,3039.41,0.0,4039.41,0.0,33362.64,34808.61,68171.25,1675.59,207.33,1882.92,74093.58,271.49,0.0,0.0,271.49,69384.78,1.77,69658.04,2523.78,1911.76,4435.54,74093.58,529.97,0.0,0.0
2016-03-31,1000.0,1000.0,3733.1,3733.1,0.0,4733.1,0.0,39969.8,36021.66,75991.46,2502.59,201.92,2704.51,83429.07,447.25,0.0,0.0,447.25,77842.69,123.56,78413.5,2616.76,2398.81,5015.57,83429.07,646.22,0.0,0.0
2017-03-31,1000.0,1000.0,4464.78,4464.78,0.0,5464.78,0.0,54904.55,38855.91,93760.47,2764.07,250.25,3014.32,102239.56,538.47,0.0,0.0,538.47,95830.28,178.2,96546.96,2429.84,3262.77,5692.61,102239.56,528.14,0.0,0.0
2018-03-31,1000.0,1000.0,5527.82,5527.82,0.0,6527.82,0.0,62069.86,49558.08,111627.95,3216.13,348.54,3564.67,121720.44,581.29,0.0,0.0,581.29,114435.87,170.9,115188.06,2644.63,3887.75,6532.37,121720.44,859.98,0.0,0.0
2019-03-31,1000.0,1000.0,6576.36,6576.36,0.0,7576.36,0.0,74829.34,60592.14,135421.48,3377.13,358.88,3736.01,146733.85,563.37,0.0,31.85,595.22,139324.71,172.5,140092.44,2420.63,4220.78,6641.41,146733.85,1504.83,0.0,0.0
2020-03-31,1000.03,1000.03,7743.06,7743.06,0.0,8743.08,0.0,80374.58,73440.22,153814.81,2783.79,238.51,3022.3,165580.19,567.99,0.0,13.19,581.18,158813.21,364.48,159758.88,1423.23,4398.08,5821.31,165580.19,1487.46,0.0,0.0
2021-03-31,1000.07,1000.07,12126.76,12126.76,0.42,13127.25,0.0,100261.24,109203.58,209464.82,3805.01,433.36,4238.37,226830.44,563.94,0.0,1.49,565.43,218756.17,358.08,219679.67,2710.52,4440.25,7150.76,226830.44,1970.62,19.0,7.0
2022-03-31,1000.37,1000.37,10620.74,10620.74,1.2,11622.31,0.0,122131.86,134453.03,256584.89,4558.55,571.24,5129.79,273336.99,523.96,0.0,2.81,526.77,264831.79,362.69,265721.25,3204.22,4411.52,7615.74,273336.99,1623.99,3.0,241.0
2023-03-31,1000.89,1000.89,12016.59,12016.59,0.0,13017.48,0.0,155847.7,140721.37,296569.07,4731.5,368.14,5099.64,314686.2,506.97,13.47,1.07,521.51,304334.48,388.92,305244.91,4164.92,5276.37,9441.29,314686.2,1661.21,13.0,13.0
2024-03-31,1001.47,1001.47,13906.94,13906.94,0.0,14908.41,0.15,211133.68,166740.75,377874.43,5195.22,320.61,5515.82,398298.81,541.31,9.9,5.74,556.96,385590.27,388.79,386536.02,4745.89,7016.89,11762.79,398298.81,1725.77,4.0,17.0
2025-03-31,1002.14,1002.14,15983.1,15983.1,0.0,16985.24,0.11,200579.64,233358.2,433937.84,5790.85,381.42,6172.27,457095.46,590.34,0.0,0.0,590.34,447466.9,481.68,448538.92,1846.63,6709.91,8556.54,457095.46,0.0,0.0,0.0
