Date,Equity Share Capital,Total Share Capital,Revaluation Reserve,Reserves and Surplus,Total Reserves and Surplus,Total ShareHolders Funds,Deposits,Borrowings,Other Liabilities and Provisions,Total Capital and Liabilities,Cash and Balances with Reserve Bank of India,Balances with Banks Money at Call and Short Notice,Investments,Advances,Fixed Assets,Other Assets,Total Assets,Number of Branches,Number of Employees,Capital Adequacy Ratios (%),Tier 1 (%),Tier 2 (%),Gross NPA,Gross NPA (%),Net NPA,Net NPA (%),Net NPA To Advances (%),Bills for Collection,Contingent Liabilities,Equity Share Application Money,Preference Share Capital,Money Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense
2011-03-31,547.22,547.22,1319.47,15423.99,16743.46,17290.68,298885.81,22021.38,12974.69,351172.55,21782.43,15527.56,85872.42,213096.18,2480.74,12413.22,351172.55,3490.0,39785.0,12.17,8.33,3.84,4811.55,2.0,1944.99,0.91,1.0,32505.88,176205.41,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,574.52,574.52,1235.89,19151.38,20387.27,20961.78,318216.03,32114.23,13243.43,384535.47,14986.71,19724.54,86753.59,248833.34,2771.59,11465.69,384535.47,4000.0,44436.0,11.95,8.59,3.36,5893.97,2.0,3656.42,1.47,1.0,45255.1,210428.17,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,596.64,596.64,0.0,23321.51,23321.51,23918.16,381839.59,35367.58,11477.39,452602.72,21967.04,32868.82,94613.43,289367.5,2870.13,10915.8,452602.72,4292.0,42146.0,11.02,8.2,2.82,8765.25,3.0,5947.31,2.06,2.0,51372.78,245916.8,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,643.0,643.0,0.0,29280.08,29280.08,29923.08,476974.05,48427.51,17865.56,573190.2,19073.44,42308.85,114152.44,370733.54,5786.06,21135.87,573190.2,4650.0,18533.0,9.97,7.24,2.73,11868.6,3.0,7417.22,2.0,2.0,52079.0,273952.28,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,665.65,665.65,0.0,30781.09,30781.09,31446.74,531906.63,40057.14,15287.25,618697.76,27170.03,49233.66,119792.04,402025.54,5885.53,14590.96,618697.76,4892.0,45300.0,10.73,8.17,2.56,22193.24,5.0,13517.57,3.36,3.0,65422.65,200913.85,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,817.29,817.29,0.0,30196.28,30196.28,31013.57,513004.52,51083.14,13509.05,609913.93,33961.61,65179.68,118848.92,359188.95,8480.31,24254.46,609913.93,5077.0,0.0,12.01,9.03,2.98,49879.13,13.0,27996.4,7.79,8.0,375997.27,707618.65,1303.65,0.0,0.0,0.0,0.0,0.0
2017-03-31,1055.43,1055.43,0.0,29709.72,29709.72,30765.16,540032.01,39405.67,14384.52,626309.27,27347.66,68540.29,127826.86,366481.67,8461.86,27650.93,626309.27,5016.0,47750.0,12.14,8.9,3.24,52044.52,13.0,25305.03,6.9,7.0,31621.87,391401.3,1721.92,0.0,0.0,0.0,0.0,0.0
2018-03-31,1743.72,1743.72,5549.16,28247.76,33796.93,35540.65,520854.38,43588.78,9591.03,609574.83,31347.84,64534.66,137111.11,341380.19,8265.29,26935.73,609574.83,5127.0,48680.0,12.94,9.73,3.21,62328.46,17.0,28207.27,8.28,8.0,32102.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,2760.03,2760.03,6273.34,32647.79,38921.13,41681.15,520862.35,44241.17,13800.17,625222.84,29236.56,65574.92,147639.04,341005.94,8920.04,32846.34,625222.84,5119.0,48807.0,14.19,11.07,3.12,60661.12,16.0,19118.96,5.61,6.0,28500.4,311309.21,4638.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,3277.66,3277.66,6322.36,34216.3,40538.65,43816.32,555504.98,39752.47,17921.72,656995.48,29239.25,57217.05,158572.99,368883.3,8982.0,34100.88,656995.48,5107.0,49767.0,13.1,9.9,3.2,61550.0,15.0,14311.0,3.88,4.0,25056.25,352309.91,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,3277.66,3277.66,6251.79,36156.13,42407.93,45685.59,627113.56,32464.11,17593.19,725856.45,60697.57,65883.1,187252.85,365686.52,8914.13,37422.28,725856.45,5084.0,51459.0,14.93,11.96,2.97,56534.94,14.0,12262.02,3.35,3.0,24906.92,453634.85,3000.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,4104.31,4104.31,0.0,51026.93,51026.93,55131.24,627895.96,26760.37,24826.44,734614.01,40280.58,51277.06,174448.41,420841.79,9774.95,37991.22,734614.01,0.0,0.0,17.04,0.0,0.0,45605.4,10.0,9851.93,2.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,4104.31,4104.31,0.0,54866.31,54866.31,58970.62,669585.77,64979.02,22020.2,815555.61,44034.51,40360.81,204397.88,485899.64,9961.0,30901.77,815555.61,0.0,0.0,16.28,0.0,0.0,37685.56,7.0,8053.61,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,4553.41,4553.41,0.0,64327.26,64327.26,68880.67,737920.21,80924.07,24872.97,912597.92,38556.27,44380.86,227144.47,563144.67,10226.46,29145.19,912597.92,0.0,0.0,16.96,0.0,0.0,29182.77,4.98,6845.25,1.22,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
