Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Jan '14,Oct '13,Jul '13,Apr '13,Jan '13,Oct '12
Net Sales/Income from operations,2248.32,2349.86,2354.69,2318.19,2255.28,2222.63,2284.71,2330.36,2411.78,2418.89,2370.57,2223.4,2061.32,1944.97,1780.31,1602.95,1539.66,1482.95,1405.64,1133.01,1209.53,1128.53,1048.79,960.3,894.77,862.3,852.42,824.54,855.31,827.87,805.7,785.99,760.57,780.89,763.71,713.39,697.95,731.91,755.9,737.89,737.35,748.62,760.55,779.9,797.32,809.56,826.13,874.18,811.61,827.62
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,2248.32,2349.86,2354.69,2318.19,2255.28,2222.63,2284.71,2330.36,2411.78,2418.89,2370.57,2223.4,2061.32,1944.97,1780.31,1602.95,1539.66,1482.95,1405.64,1133.01,1209.53,1128.53,1048.79,960.3,894.77,862.3,852.42,824.54,855.31,827.87,805.7,785.99,760.57,780.89,763.71,713.39,697.95,731.91,755.9,737.89,737.35,748.62,760.55,779.9,797.32,809.56,826.13,874.18,811.61,827.62
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.02,1.56,14.64,17.68,8.29,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.02,4.08,6.22,3.16,-5.19,-8.29,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,732.87,695.48,701.36,684.37,703.38,665.78,695.68,695.63,723.17,725.86,740.68,702.34,702.1,613.86,571.81,509.55,450.79,439.22,451.0,433.54,439.75,418.04,408.92,395.4,372.22,361.01,353.27,354.64,358.09,342.7,341.28,349.48,339.84,336.21,343.83,336.63,343.56,348.82,347.13,350.68,366.19,375.72,353.25,360.61,370.54,368.65,386.51,412.59,341.84,348.93
Depreciation,44.46,48.47,48.69,47.77,48.47,49.6,47.43,47.38,46.43,45.08,42.8,41.44,39.32,38.04,36.16,35.87,37.21,37.58,37.89,37.88,39.76,38.33,39.18,35.97,10.28,9.92,9.33,8.86,7.91,8.0,8.08,7.8,7.09,6.6,6.99,5.7,8.2,6.42,6.12,8.02,8.14,7.72,8.36,8.85,11.46,15.47,19.32,20.13,24.94,26.17
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,1046.44,1116.59,1126.61,1071.55,1080.83,982.21,1022.25,1085.4,1152.05,1175.54,1152.93,1039.14,949.68,879.89,786.61,670.95,642.65,640.08,544.38,400.69,407.61,374.43,331.57,290.79,287.92,268.32,275.53,261.95,261.72,263.99,252.65,246.0,236.91,247.31,258.61,241.74,233.75,229.49,255.07,250.88,242.63,232.27,237.91,249.25,250.17,277.5,261.82,283.27,288.64,276.57
"P/L Before Other Inc. , Int., Excpt. Items & Tax",424.54,489.32,478.03,514.49,422.6,525.04,519.35,501.95,490.13,472.4,434.16,440.49,370.22,413.19,385.72,386.58,409.0,366.08,372.37,260.91,322.41,297.73,269.12,238.13,224.35,223.05,214.3,199.09,227.6,213.17,203.69,182.72,176.74,190.77,154.25,125.22,104.66,129.39,135.09,128.31,120.39,132.91,161.03,161.19,165.15,147.94,158.48,158.19,156.19,175.95
Other Income,44.09,45.2,40.27,48.92,41.67,33.0,28.69,31.91,28.25,28.83,30.2,31.21,32.89,26.8,30.72,32.81,23.66,26.83,15.92,23.05,243.74,20.83,19.54,39.18,21.64,35.58,33.19,28.18,32.97,22.97,29.3,36.38,36.7,52.68,53.02,44.19,37.8,31.1,48.98,40.33,49.07,44.64,38.14,30.18,28.15,24.0,24.72,29.85,37.3,37.47
"P/L Before Int., Excpt. Items & Tax",468.63,534.52,518.3,563.42,464.27,558.04,548.05,533.86,518.38,501.23,464.36,471.7,403.11,439.99,416.44,419.39,432.67,392.9,388.29,283.95,566.15,318.57,288.65,277.31,245.99,258.63,247.48,227.27,260.56,236.15,232.98,219.1,213.44,243.44,207.27,169.41,142.46,160.48,184.07,168.64,169.46,177.55,199.17,191.37,193.3,171.94,183.2,188.04,193.49,213.42
Interest,15.49,20.48,22.72,15.76,15.62,16.7,16.89,16.88,18.93,19.98,18.76,16.04,15.18,17.57,13.07,12.89,11.92,12.28,12.1,15.76,16.62,14.55,16.55,15.32,2.1,0.96,0.79,2.82,2.26,0.86,1.91,0.21,0.17,0.53,0.21,1.49,0.32,1.04,3.0,2.06,0.4,1.09,2.99,1.43,0.26,8.39,3.72,0.78,0.59,0.93
P/L Before Exceptional Items & Tax,453.14,514.03,495.58,547.66,448.65,541.34,531.16,516.97,499.46,481.25,445.6,455.65,387.93,422.41,403.37,406.51,420.75,380.62,376.19,268.2,549.53,304.01,272.1,261.99,243.89,257.67,246.69,224.45,258.31,235.29,231.08,218.89,213.27,242.92,207.05,167.91,142.14,159.44,181.07,166.58,169.06,176.46,196.18,189.94,193.04,163.55,179.48,187.26,192.9,212.49
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-13.08,--,--,--,-0.82,--,-3.98,--,-31.63,--,--,-10.44,--,--,--,--,-6.44,--,--,--,--,--
P/L Before Tax,453.14,514.03,495.58,547.66,448.65,541.34,531.16,516.97,499.46,481.25,445.6,455.65,387.93,422.41,403.37,406.51,420.75,380.62,376.19,268.2,549.53,304.01,272.1,261.99,243.89,257.67,246.69,224.45,245.23,235.29,231.08,218.89,212.45,242.92,203.08,167.91,110.51,159.44,181.07,156.13,169.06,176.46,196.18,189.94,186.6,163.55,179.48,187.26,192.9,212.49
Tax,83.93,137.61,123.43,132.96,150.38,139.59,158.92,143.1,123.54,109.58,112.3,122.69,76.07,105.13,104.89,98.86,105.36,64.32,97.67,68.05,29.0,35.56,61.84,56.18,53.15,38.62,57.76,53.74,26.07,52.03,58.4,54.09,46.0,66.31,49.43,39.61,27.31,40.59,35.1,47.02,39.7,31.69,52.24,54.97,47.03,39.42,52.0,48.78,43.48,49.31
P/L After Tax from Ordinary Activities,369.22,376.43,372.15,414.7,298.27,401.75,372.24,373.88,375.92,371.67,333.31,332.97,311.85,317.28,298.47,307.64,315.4,316.3,278.52,200.14,520.53,268.45,210.26,205.81,190.74,219.05,188.94,170.71,219.16,183.26,172.67,164.8,166.44,176.61,153.65,128.31,83.2,118.84,145.98,109.12,129.36,144.77,143.94,134.97,139.57,124.13,127.48,138.48,149.42,163.18
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,369.22,376.43,372.15,414.7,298.27,401.75,372.24,373.88,375.92,371.67,333.31,332.97,311.85,317.28,298.47,307.64,315.4,316.3,278.52,200.14,520.53,268.45,210.26,205.81,190.74,219.05,188.94,170.71,219.16,183.26,172.67,164.8,166.44,176.61,153.65,128.31,83.2,118.84,145.98,109.12,129.36,144.77,143.94,134.97,139.57,124.13,127.48,138.48,149.42,163.18
Equity Share Capital,190.08,189.67,189.23,189.1,189.01,188.77,188.59,188.56,188.41,188.33,188.15,188.08,187.83,187.48,187.31,187.18,187.05,186.74,186.63,186.56,186.54,186.45,186.36,186.32,186.23,186.1,193.42,193.32,193.27,193.2,193.17,193.07,210.42,210.39,210.23,210.2,210.19,210.18,210.15,210.15,210.15,210.15,210.15,210.14,210.14,210.13,210.13,210.13,210.12,210.11
Reserves Excluding Revaluation Reserves,--,5659.55,--,5984.29,5531.97,5171.45,4728.74,5292.56,4820.29,4357.53,3976.38,4542.94,4259.83,3918.32,--,4424.65,4123.0,3776.07,3432.66,3734.27,3490.66,3073.02,2802.99,3215.58,3077.4,2818.97,3403.17,3784.54,3714.16,3526.75,3300.26,3554.18,4484.9,4275.66,4606.75,4424.36,4293.86,4194.27,4073.04,4336.96,3839.36,4092.29,3942.83,3798.04,3663.73,3506.62,3767.84,3786.7,3621.49,3422.01
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,19.44,19.87,19.67,21.94,15.79,21.29,19.74,19.84,19.95,19.74,17.72,17.72,16.62,16.93,15.94,16.44,16.87,16.94,14.93,10.73,27.91,14.4,11.28,11.05,10.25,11.34,--,--,11.34,9.49,8.94,8.01,7.91,8.41,7.32,6.11,3.97,5.66,6.96,5.7,6.16,6.89,6.85,6.42,6.64,5.91,6.07,6.59,7.11,7.77
Diluted EPS,19.35,19.72,19.5,21.79,15.66,21.12,19.59,19.75,19.84,19.64,17.6,17.54,16.39,16.73,15.7,16.22,16.65,16.73,14.77,10.68,27.74,14.3,11.19,10.95,10.15,11.23,9.66,8.75,11.27,9.45,8.93,7.99,7.9,8.38,7.3,6.1,3.96,5.65,6.94,5.69,6.15,6.88,6.84,6.42,6.63,5.9,6.06,6.58,7.1,7.75
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,39.51,39.51,39.51,39.51,39.51,39.51,39.51,39.51,39.51,39.51,39.5
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12.71,12.71,12.71,12.71,12.71,12.71,12.71,12.71,12.71,12.71,12.71
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,60.49,60.49,60.49,60.49,60.49,60.49,60.49,60.49,60.49,60.49,60.5
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
